#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
,,658730485,Port:1,0,1746668441,418794080,Enabled,0.416053,0.639048,-0.473204,0.44113,27.6142,70.1803,-1561.38,0.195088,4,OK,-138.159,72.2214,-1524.78,OK,-158.908,27.1594,-1532.11,OK,-123.197,-11.207,-1548.02,OK,-88.3159,42.7157,-1540.32,,658730485,Port:2,0,1746668441,418794080,Enabled,0.942604,0.0496924,0.0453499,0.327067,-120.065,-87.3078,-1380.95,0.174985,3,OK,-119.865,-87.4367,-1380.98,OK,-163.634,-113.808,-1377.47,OK,-158.895,-37.9012,-1373.13,,658730485,Port:65535,0,1746668441,418794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.122,-548.924,-1786.33
,,658730488,Port:1,0,1746668441,468794080,Enabled,0.415942,0.639487,-0.473231,0.440569,27.575,70.1841,-1561.5,0.188099,4,OK,-138.165,72.187,-1524.72,OK,-158.917,27.1319,-1532.1,OK,-123.221,-11.2233,-1548.06,OK,-88.3341,42.6943,-1540.36,,658730488,Port:2,0,1746668441,468794080,Enabled,0.942592,0.0496918,0.0454144,0.327091,-120.065,-87.2999,-1380.96,0.171722,3,OK,-119.868,-87.4258,-1380.99,OK,-163.632,-113.807,-1377.48,OK,-158.895,-37.8938,-1373.14,,658730488,Port:65535,0,1746668441,468794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.124,-548.93,-1786.33
,,658730491,Port:1,0,1746668441,518794080,Enabled,0.415933,0.639164,-0.473333,0.440938,27.6165,70.2187,-1561.37,0.185302,4,OK,-138.153,72.2571,-1524.73,OK,-158.904,27.204,-1532.11,OK,-123.205,-11.1642,-1548.02,OK,-88.313,42.7587,-1540.32,,658730491,Port:2,0,1746668441,518794080,Enabled,0.942582,0.0499354,0.0455027,0.327071,-120.068,-87.3057,-1380.97,0.173791,3,OK,-119.869,-87.433,-1381,OK,-163.635,-113.809,-1377.48,OK,-158.895,-37.9027,-1373.12,,658730491,Port:65535,0,1746668441,518794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.173,-548.978,-1786.51
,,658730494,Port:1,0,1746668441,568794080,Enabled,0.41587,0.639097,-0.473437,0.440982,27.5966,70.2385,-1561.34,0.179683,4,OK,-138.178,72.3007,-1524.74,OK,-158.938,27.237,-1532.14,OK,-123.24,-11.1437,-1548.03,OK,-88.3406,42.7979,-1540.33,,658730494,Port:2,0,1746668441,568794080,Enabled,0.942591,0.0498801,0.0453366,0.327076,-120.067,-87.3024,-1380.97,0.173623,3,OK,-119.867,-87.43,-1381,OK,-163.636,-113.81,-1377.5,OK,-158.896,-37.894,-1373.13,,658730494,Port:65535,0,1746668441,568794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.168,-548.965,-1786.45
,,658730497,Port:1,0,1746668441,618794080,Enabled,0.41559,0.639305,-0.473618,0.44075,27.5608,70.2581,-1561.35,0.187521,4,OK,-138.22,72.2888,-1524.75,OK,-158.974,27.2305,-1532.16,OK,-123.27,-11.1437,-1548.13,OK,-88.3664,42.792,-1540.34,,658730497,Port:2,0,1746668441,618794080,Enabled,0.942614,0.0497899,0.0450847,0.327059,-120.064,-87.303,-1380.94,0.171257,3,OK,-119.868,-87.4294,-1380.98,OK,-163.635,-113.807,-1377.5,OK,-158.893,-37.8935,-1373.13,,658730497,Port:65535,0,1746668441,618794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.15,-548.949,-1786.4
,,658730500,Port:1,0,1746668441,668794080,Enabled,0.415797,0.638886,-0.473611,0.441168,27.5988,70.2513,-1561.24,0.192812,4,OK,-138.197,72.3498,-1524.76,OK,-158.957,27.2888,-1532.14,OK,-123.261,-11.089,-1548.03,OK,-88.3661,42.8305,-1540.29,,658730500,Port:2,0,1746668441,668794080,Enabled,0.942624,0.04961,0.0451586,0.327048,-120.063,-87.3062,-1380.94,0.170223,3,OK,-119.866,-87.429,-1380.97,OK,-163.636,-113.809,-1377.48,OK,-158.889,-37.8974,-1373.15,,658730500,Port:65535,0,1746668441,668794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.176,-548.98,-1786.5
,,658730503,Port:1,0,1746668441,718794080,Enabled,0.415911,0.638798,-0.473531,0.441275,27.5465,70.2755,-1561.29,0.20322,4,OK,-138.259,72.3829,-1524.83,OK,-159.01,27.3242,-1532.16,OK,-123.316,-11.055,-1548.07,OK,-88.4083,42.859,-1540.31,,658730503,Port:2,0,1746668441,718794080,Enabled,0.9426,0.0499325,0.0453294,0.327043,-120.068,-87.2997,-1380.96,0.171745,3,OK,-119.87,-87.4255,-1380.99,OK,-163.64,-113.807,-1377.49,OK,-158.892,-37.8886,-1373.12,,658730503,Port:65535,0,1746668441,718794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.152,-548.976,-1786.45
,,658730506,Port:1,0,1746668441,768794080,Enabled,0.416101,0.638889,-0.473326,0.441183,27.5834,70.2775,-1561.36,0.185434,4,OK,-138.2,72.3727,-1524.79,OK,-158.963,27.3159,-1532.15,OK,-123.263,-11.0664,-1548.02,OK,-88.3502,42.8586,-1540.34,,658730506,Port:2,0,1746668441,768794080,Enabled,0.942609,0.0499,0.0451807,0.327042,-120.063,-87.306,-1380.94,0.168989,3,OK,-119.869,-87.4297,-1380.97,OK,-163.635,-113.81,-1377.49,OK,-158.886,-37.8991,-1373.11,,658730506,Port:65535,0,1746668441,768794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.139,-548.953,-1786.4
