Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.921009,0.00275022,0.030855,0.388307,-24.6708,221.304,-1671.37
2,0.921002,0.00271875,0.0310604,0.388309,-24.6673,221.306,-1671.38
3,0.920998,0.00268505,0.0309886,0.388323,-24.6639,221.303,-1671.37
4,0.920995,0.00271256,0.0311456,0.388319,-24.6617,221.296,-1671.39
5,0.921008,0.00271057,0.0308349,0.388312,-24.6547,221.315,-1671.34
6,0.921001,0.00265017,0.0309424,0.388321,-24.6507,221.306,-1671.35
7,0.921001,0.00264955,0.0311415,0.388304,-24.6473,221.306,-1671.38
8,0.92101,0.00264182,0.0310243,0.388293,-24.6476,221.31,-1671.37
9,0.921005,0.00259671,0.0310826,0.3883,-24.6458,221.308,-1671.36
10,0.920995,0.00270189,0.0312256,0.388312,-24.6439,221.317,-1671.37
11,0.92101,0.00272745,0.0309451,0.388298,-24.6481,221.315,-1671.35
12,0.920998,0.00291524,0.0310238,0.388319,-24.6285,221.298,-1671.36
13,0.921001,0.00290005,0.0310641,0.388308,-24.6354,221.328,-1671.36
14,0.921006,0.00261356,0.0310978,0.388295,-24.6322,221.329,-1671.35
15,0.921007,0.00270108,0.0309579,0.388305,-24.6374,221.334,-1671.35
16,0.921016,0.00281475,0.0309243,0.388286,-24.6344,221.337,-1671.35
17,0.92101,0.00263733,0.0310402,0.388292,-24.636,221.344,-1671.33
18,0.920996,0.00279418,0.0313063,0.388301,-24.6365,221.343,-1671.36
19,0.921003,0.00285489,0.0311506,0.388297,-24.6346,221.344,-1671.35
20,0.92101,0.00277369,0.0310045,0.388294,-24.6353,221.342,-1671.35
21,0.921005,0.0027252,0.0311169,0.388295,-24.6309,221.351,-1671.35
22,0.921004,0.00274241,0.031131,0.388298,-24.6317,221.353,-1671.35
23,0.921008,0.00280712,0.0310908,0.388291,-24.6326,221.35,-1671.34
24,0.921004,0.00258402,0.0311277,0.388298,-24.6334,221.358,-1671.33
25,0.921005,0.00275456,0.0312318,0.388286,-24.631,221.351,-1671.34
