ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz
4,,127605493,Port:1,0,1769352358,218803349,Enabled,0.666243,0.39243,-0.529058,0.349595,-39.6697,116.854,-1801.64,0.406468,4,OK,-39.6086,116.867,-1801.26,OK,-82.3771,92.7896,-1792.29,OK,-77.6397,38.372,-1789.66,OK,-18.1644,61.0407,-1803.33,,127605493,Port:2,0,1769352358,218803349,Missing,,,,,,,,,4,OK,5.5538,434.136,-2046.25,OK,47.8346,419.637,-2000.19,Missing,,,,OK,76.8679,460.649,-1998.9,,127605493,Port:3,0,1769352358,218803349,Enabled,0.921338,0.0342723,0.0207472,0.386693,-21.4704,212.164,-1626.15,0.120724,3,OK,-21.3343,212.239,-1626.15,OK,-61.5691,180.266,-1625.05,OK,-66.4377,256.32,-1621.14,,127605493,Port:65535,0,1769352358,218803349,Missing,,,,,,,,,3,OK,76.8679,460.649,-1998.9,OK,47.8346,419.637,-2000.19,OK,5.5538,434.136,-2046.25
4,,127605502,Port:1,0,1769352358,368803349,Enabled,0.654053,0.394759,-0.532492,0.364461,-47.8185,125.256,-1815.4,0.419744,4,OK,-47.7869,125.259,-1815,OK,-90.0668,100.021,-1807.23,OK,-83.8755,45.7438,-1804.38,OK,-24.7127,70.0603,-1816.46,,127605502,Port:2,0,1769352358,368803349,Missing,,,,,,,,,4,OK,5.53224,434.131,-2046.17,OK,47.8489,419.642,-2000.24,Missing,,,,OK,76.8693,460.664,-1998.91,,127605502,Port:3,0,1769352358,368803349,Enabled,0.921332,0.0341604,0.0206824,0.38672,-21.472,212.17,-1626.16,0.119794,3,OK,-21.3377,212.244,-1626.16,OK,-61.5679,180.268,-1625.06,OK,-66.4423,256.325,-1621.16,,127605502,Port:65535,0,1769352358,368803349,Missing,,,,,,,,,3,OK,76.8693,460.664,-1998.91,OK,47.8489,419.642,-2000.24,OK,5.53224,434.131,-2046.17
4,,127605508,Port:1,0,1769352358,468803349,Enabled,0.654662,0.38783,-0.53501,0.367109,-47.1133,133.148,-1819.65,0.42075,4,OK,-47.0951,133.151,-1819.26,OK,-89.5797,108.273,-1811.64,OK,-83.7588,53.9888,-1808.16,OK,-24.388,77.7944,-1819.9,,127605508,Port:2,0,1769352358,468803349,Missing,,,,,,,,,4,OK,5.54312,434.134,-2046.27,OK,47.8293,419.626,-2000.23,Missing,,,,OK,76.8618,460.655,-1998.94,,127605508,Port:3,0,1769352358,468803349,Enabled,0.921355,0.0340358,0.0202777,0.386697,-21.4675,212.164,-1626.13,0.116417,3,OK,-21.3347,212.234,-1626.13,OK,-61.5641,180.271,-1625.07,OK,-66.4396,256.321,-1621.17,,127605508,Port:65535,0,1769352358,468803349,Missing,,,,,,,,,3,OK,76.8618,460.655,-1998.94,OK,47.8293,419.626,-2000.23,OK,5.54312,434.134,-2046.27
4,,127605514,Port:1,0,1769352358,568803349,Enabled,0.659972,0.387147,-0.524314,0.373696,-46.34,139.792,-1822.58,0.448122,4,OK,-46.3031,139.787,-1822.15,OK,-88.3928,114.561,-1813.5,OK,-81.8533,60.4416,-1808.97,OK,-22.9137,84.7457,-1822.08,,127605514,Port:2,0,1769352358,568803349,Missing,,,,,,,,,4,OK,5.53828,434.128,-2046.24,OK,47.8404,419.627,-2000.18,Missing,,,,OK,76.8742,460.641,-1998.87,,127605514,Port:3,0,1769352358,568803349,Enabled,0.921297,0.0346641,0.0207778,0.386753,-21.469,212.172,-1626.17,0.118594,3,OK,-21.335,212.246,-1626.18,OK,-61.5617,180.271,-1625.08,OK,-66.4397,256.316,-1621.12,,127605514,Port:65535,0,1769352358,568803349,Missing,,,,,,,,,3,OK,76.8742,460.641,-1998.87,OK,47.8404,419.627,-2000.18,OK,5.53828,434.128,-2046.24
4,,127605520,Port:1,0,1769352358,668803349,Enabled,0.659881,0.387493,-0.519273,0.380477,-46.6991,145.213,-1823.04,0.386834,4,OK,-46.671,145.232,-1822.68,OK,-88.3994,119.52,-1813.55,OK,-81.1384,65.5438,-1808.6,OK,-22.5286,90.4724,-1821.95,,127605520,Port:2,0,1769352358,668803349,Missing,,,,,,,,,4,OK,5.54313,434.138,-2046.21,OK,47.8551,419.657,-2000.24,Missing,,,,OK,76.8713,460.656,-1998.92,,127605520,Port:3,0,1769352358,668803349,Enabled,0.921343,0.034316,0.0204494,0.386694,-21.4707,212.171,-1626.14,0.120196,3,OK,-21.3348,212.246,-1626.14,OK,-61.5711,180.277,-1625.07,OK,-66.439,256.323,-1621.14,,127605520,Port:65535,0,1769352358,668803349,Missing,,,,,,,,,3,OK,76.8713,460.656,-1998.92,OK,47.8551,419.657,-2000.24,OK,5.54313,434.138,-2046.21
4,,127605526,Port:1,0,1769352358,768803349,Enabled,0.672117,0.381806,-0.496426,0.395025,-49.5477,149.838,-1820.21,0.39651,4,OK,-49.5086,149.89,-1819.84,OK,-90.4037,123.779,-1808.33,OK,-81.815,70.27,-1800.91,OK,-24.1176,95.7353,-1817.12,,127605526,Port:2,0,1769352358,768803349,Missing,,,,,,,,,4,OK,5.54192,434.145,-2046.24,OK,47.8446,419.681,-2000.37,Missing,,,,OK,76.8663,460.646,-1998.96,,127605526,Port:3,0,1769352358,768803349,Enabled,0.921363,0.0340218,0.0199385,0.386698,-21.4671,212.168,-1626.1,0.117311,3,OK,-21.3344,212.239,-1626.11,OK,-61.5657,180.273,-1625.08,OK,-66.4405,256.327,-1621.16,,127605526,Port:65535,0,1769352358,768803349,Missing,,,,,,,,,3,OK,76.8663,460.646,-1998.96,OK,47.8446,419.681,-2000.37,OK,5.54192,434.145,-2046.24
4,,127605532,Port:1,0,1769352358,868803349,Enabled,0.649938,0.401889,-0.518113,0.38422,-53.9122,152.273,-1809.01,0.427594,4,OK,-53.8812,152.27,-1808.6,OK,-94.8908,125.206,-1800.19,OK,-86.1034,71.3663,-1796.32,OK,-28.1647,98.2403,-1809.15,,127605532,Port:2,0,1769352358,868803349,Missing,,,,,,,,,4,OK,5.54215,434.149,-2046.31,OK,47.8365,419.622,-2000.21,Missing,,,,OK,76.8796,460.651,-1998.96,,127605532,Port:3,0,1769352358,868803349,Enabled,0.921337,0.0344256,0.0203959,0.386701,-21.4709,212.168,-1626.15,0.118684,3,OK,-21.3385,212.243,-1626.15,OK,-61.5685,180.27,-1625.09,OK,-66.4386,256.322,-1621.14,,127605532,Port:65535,0,1769352358,868803349,Missing,,,,,,,,,3,OK,76.8796,460.651,-1998.96,OK,47.8365,419.622,-2000.21,OK,5.54215,434.149,-2046.31
4,,127605538,Port:1,0,1769352358,968803349,Enabled,0.634761,0.427629,-0.519096,0.380463,-58.5175,151.464,-1794.73,0.439633,4,OK,-58.4753,151.458,-1794.31,OK,-98.5195,122.659,-1787.1,OK,-87.9582,68.9969,-1785.96,OK,-31.0725,98.3752,-1797.72,,127605538,Port:2,0,1769352358,968803349,Missing,,,,,,,,,4,OK,5.54952,434.15,-2046.23,OK,47.837,419.626,-2000.21,Missing,,,,OK,76.8604,460.654,-1998.89,,127605538,Port:3,0,1769352358,968803349,Enabled,0.921348,0.0342947,0.0201523,0.386699,-21.4698,212.172,-1626.13,0.115744,3,OK,-21.3385,212.242,-1626.13,OK,-61.566,180.279,-1625.09,OK,-66.4409,256.327,-1621.15,,127605538,Port:65535,0,1769352358,968803349,Missing,,,,,,,,,3,OK,76.8604,460.654,-1998.89,OK,47.837,419.626,-2000.21,OK,5.54952,434.15,-2046.23
4,,127605547,Port:1,0,1769352359,118803349,Enabled,0.624118,0.45831,-0.509535,0.375237,-63.5718,148.633,-1769.45,0.446316,4,OK,-63.4949,148.6,-1769.03,OK,-102.126,117.848,-1762.06,OK,-89.3455,64.6767,-1763.72,OK,-34.1028,96.9598,-1775.68,,127605547,Port:2,0,1769352359,118803349,Missing,,,,,,,,,4,OK,5.54119,434.127,-2046.2,OK,47.832,419.64,-2000.21,Missing,,,,OK,76.8665,460.647,-1998.93,,127605547,Port:3,0,1769352359,118803349,Enabled,0.92135,0.0344336,0.0199103,0.386694,-21.4686,212.169,-1626.12,0.120531,3,OK,-21.3324,212.243,-1626.13,OK,-61.5711,180.273,-1625.11,OK,-66.4401,256.322,-1621.14,,127605547,Port:65535,0,1769352359,118803349,Missing,,,,,,,,,3,OK,76.8665,460.647,-1998.93,OK,47.832,419.64,-2000.21,OK,5.54119,434.127,-2046.2
4,,127605553,Port:1,0,1769352359,218803349,Enabled,0.620641,0.471319,-0.504897,0.371136,-65.569,147.182,-1751.05,0.425798,4,OK,-65.4892,147.159,-1750.66,OK,-103.534,115.672,-1743.66,OK,-89.9822,62.7534,-1746.65,OK,-35.4595,96.0758,-1758.76,,127605553,Port:2,0,1769352359,218803349,Missing,,,,,,,,,4,OK,5.53791,434.158,-2046.33,OK,47.8537,419.63,-2000.24,Missing,,,,OK,76.8646,460.661,-1998.93,,127605553,Port:3,0,1769352359,218803349,Enabled,0.921362,0.034032,0.0202149,0.386684,-21.4674,212.169,-1626.12,0.118945,3,OK,-21.3329,212.241,-1626.12,OK,-61.5672,180.274,-1625.07,OK,-66.4385,256.33,-1621.17,,127605553,Port:65535,0,1769352359,218803349,Missing,,,,,,,,,3,OK,76.8646,460.661,-1998.93,OK,47.8537,419.63,-2000.24,OK,5.53791,434.158,-2046.33
