ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,29334,Port:10,0,0,0,Enabled,0.642898,0.489935,-0.498913,-0.312621,-85.9644,-54.8081,-127.001,0.125809,0
1,,29358,Port:10,0,0,0,Enabled,0.641345,0.49159,-0.497774,-0.31502,-84.5133,-60.7214,-127.685,0.131129,0
1,,29382,Port:10,0,0,0,Enabled,0.640883,0.491872,-0.497193,-0.316434,-82.5568,-65.9018,-128.921,0.138314,0
1,,29398,Port:10,0,0,0,Enabled,0.641857,0.490807,-0.496339,-0.317451,-80.9637,-68.7353,-129.773,0.142946,0
1,,29422,Port:10,0,0,0,Enabled,0.646337,0.48517,-0.492994,-0.322206,-80.0682,-72.4073,-131.567,0.151877,0
1,,29438,Port:10,0,0,0,Enabled,0.644159,0.487004,-0.494575,-0.321374,-80.0566,-74.421,-135.043,0.161471,0
1,,29462,Port:10,0,0,0,Enabled,0.64183,0.491186,-0.491477,-0.32441,-79.2309,-76.962,-139.306,0.169014,0
1,,29478,Port:10,0,0,0,Enabled,0.640812,0.492946,-0.488729,-0.327885,-78.9522,-78.0863,-141.819,0.174212,0
1,,29494,Port:10,0,0,0,Enabled,0.638884,0.493849,-0.488077,-0.331243,-79.1651,-78.2693,-144.706,0.179086,0
1,,29518,Port:10,0,0,0,Enabled,0.635506,0.497904,-0.483886,-0.337756,-79.486,-78.5847,-149.052,0.187276,0
1,,29542,Port:10,0,0,0,Enabled,0.632097,0.503095,-0.478818,-0.343632,-80.2047,-78.9566,-153.33,0.187994,0
1,,29558,Port:10,0,0,0,Enabled,0.629358,0.505194,-0.478695,-0.345744,-81.1101,-78.4674,-156.51,0.190795,0
1,,29574,Port:10,0,0,0,Enabled,0.628616,0.505666,-0.478589,-0.346549,-81.7083,-77.7501,-159.233,0.188324,0
1,,29606,Port:10,0,0,0,Enabled,0.625838,0.507971,-0.474244,-0.354098,-82.2875,-75.704,-164.094,0.192848,0
1,,29622,Port:10,0,0,0,Enabled,0.623741,0.509953,-0.474654,-0.354399,-82.1723,-74.4133,-167.452,0.190539,0
1,,29638,Port:10,0,0,0,Enabled,0.623098,0.510135,-0.473283,-0.357092,-81.4435,-72.7052,-170.21,0.202637,0
1,,29662,Port:10,0,0,0,Enabled,0.622072,0.510405,-0.471162,-0.361276,-80.5687,-70.0041,-176.054,0.206588,0
1,,29686,Port:10,0,0,0,Enabled,0.621367,0.509318,-0.470105,-0.365376,-80.5751,-67.1134,-183.69,0.208013,0
1,,29702,Port:10,0,0,0,Enabled,0.619178,0.510852,-0.466405,-0.371639,-80.6196,-65.757,-189.023,0.213784,0
1,,29726,Port:10,0,0,0,Enabled,0.618185,0.512931,-0.462238,-0.375612,-80.5541,-65.1264,-198.269,0.206281,0
1,,29742,Port:10,0,0,0,Missing,,,,,,,,,0
1,,29766,Port:10,0,0,0,Missing,,,,,,,,,0
1,,29782,Port:10,0,0,0,Enabled,0.614942,0.518409,-0.454505,-0.382783,-79.3738,-63.1917,-217.225,0.21761,0
1,,29806,Port:10,0,0,0,Enabled,0.613515,0.519598,-0.454441,-0.383537,-78.4663,-61.1192,-223.123,0.225266,0
1,,29822,Port:10,0,0,0,Enabled,0.613583,0.518509,-0.452499,-0.387182,-78.1118,-58.9751,-226.116,0.216607,0
1,,29846,Port:10,0,0,0,Enabled,0.612736,0.518297,-0.452683,-0.388589,-76.6943,-55.2424,-230.21,0.217038,0
1,,29862,Port:10,0,0,0,Enabled,0.611374,0.51978,-0.450077,-0.391768,-75.5359,-52.9362,-232.808,0.230193,0
1,,29886,Port:10,0,0,0,Enabled,0.612973,0.516495,-0.450213,-0.393453,-73.7521,-48.0996,-235.728,0.218261,0
1,,29910,Port:10,0,0,0,Enabled,0.613258,0.514275,-0.450817,-0.395222,-72.7726,-42.6349,-239.106,0.194151,0
1,,29926,Port:10,0,0,0,Enabled,0.611982,0.513703,-0.452618,-0.395883,-72.405,-38.5653,-241.099,0.22655,0
1,,29942,Port:10,0,0,0,Enabled,0.612997,0.512007,-0.456869,-0.391606,-71.9499,-34.512,-243.839,0.19508,0
1,,29958,Port:10,0,0,0,Enabled,0.613502,0.510222,-0.45979,-0.38972,-71.1137,-29.4105,-244.346,0.214454,0
1,,29982,Port:10,0,0,0,Enabled,0.619716,0.499452,-0.464133,-0.388691,-69.3879,-20.7318,-243.524,0.192529,0
1,,30006,Port:10,0,0,0,Enabled,0.621039,0.494309,-0.471945,-0.383714,-69.2454,-12.2642,-243.094,0.193029,0
1,,30022,Port:10,0,0,0,Enabled,0.620005,0.493185,-0.479824,-0.377002,-69.2582,-7.45673,-242.542,0.177458,0
1,,30046,Port:10,0,0,0,Enabled,0.6188,0.497844,-0.49049,-0.35869,-69.2559,-1.40243,-241.698,0.161693,0
1,,30062,Port:10,0,0,0,Enabled,0.613506,0.504932,-0.500496,-0.343741,-69.464,2.5906,-241.409,0.185571,0
1,,30086,Port:10,0,0,0,Enabled,0.605288,0.513972,-0.515387,-0.322237,-69.752,8.07075,-240.333,0.185451,0
1,,30110,Port:10,0,0,0,Enabled,0.60271,0.51663,-0.533163,-0.292527,-70.233,12.4575,-237.585,0.15478,0
1,,30118,Port:10,0,0,0,Enabled,0.601667,0.515589,-0.539089,-0.285568,-70.6191,14.2737,-236.18,0.158138,0
1,,30142,Port:10,0,0,0,Enabled,0.598321,0.512528,-0.553583,-0.269951,-71.7663,19.2726,-231.029,0.139051,0
1,,30166,Port:10,0,0,0,Enabled,0.601449,0.506778,-0.562386,-0.255256,-73.0531,22.9766,-224.691,0.0987593,0
1,,30182,Port:10,0,0,0,Enabled,0.602427,0.504063,-0.566084,-0.250103,-73.8064,25.4461,-220.655,0.0996947,0
1,,30198,Port:10,0,0,0,Enabled,0.603992,0.50467,-0.567592,-0.241541,-74.1174,26.9844,-217.214,0.0937814,0
1,,30230,Port:10,0,0,0,Enabled,0.60423,0.500982,-0.575505,-0.229603,-73.4777,31.2274,-211.6,0.0894007,0
1,,30254,Port:10,0,0,0,Enabled,0.606549,0.499806,-0.576813,-0.222664,-72.3774,33.6448,-207.679,0.086773,0
1,,30270,Port:10,0,0,0,Enabled,0.605867,0.500291,-0.577584,-0.221429,-72.0334,35.3658,-205.587,0.0885235,0
1,,30294,Port:10,0,0,0,Enabled,0.60501,0.500201,-0.580979,-0.215002,-71.969,37.5985,-203.047,0.0944143,0
1,,30310,Port:10,0,0,0,Enabled,0.603561,0.500454,-0.582542,-0.214255,-72.3237,39.4509,-201.037,0.0944313,0
1,,30334,Port:10,0,0,0,Enabled,0.602947,0.498934,-0.585947,-0.210204,-73.0555,42.3434,-197.875,0.0993704,0
1,,30358,Port:10,0,0,0,Enabled,0.602326,0.496591,-0.589607,-0.207279,-73.9322,45.8737,-193.784,0.114463,0
1,,30374,Port:10,0,0,0,Enabled,0.603069,0.494558,-0.591312,-0.20511,-74.2215,48.3367,-190.466,0.119018,0
1,,30398,Port:10,0,0,0,Enabled,0.604009,0.491682,-0.593235,-0.203701,-74.48,52.1529,-185.452,0.124648,0
1,,30414,Port:10,0,0,0,Enabled,0.605203,0.48846,-0.594779,-0.203406,-74.5324,54.5778,-181.709,0.13396,0
1,,30438,Port:10,0,0,0,Enabled,0.608853,0.481332,-0.596948,-0.203149,-74.6619,58.0279,-176.065,0.144287,0
1,,30454,Port:10,0,0,0,Enabled,0.611294,0.473173,-0.601924,-0.200286,-74.7948,60.2985,-172.88,0.142369,0
1,,30470,Port:10,0,0,0,Enabled,0.612115,0.473464,-0.601069,-0.199661,-74.8111,62.0496,-169.34,0.160308,0
1,,30494,Port:10,0,0,0,Missing,,,,,,,,,0
1,,30510,Port:10,0,0,0,Enabled,0.618331,0.4614,-0.604482,-0.198439,-73.6515,67.0888,-160.307,0.163953,0
1,,30534,Port:10,0,0,0,Enabled,0.622331,0.453457,-0.606692,-0.197497,-72.3773,69.7942,-154.515,0.176288,0
1,,30550,Port:10,0,0,0,Enabled,0.624509,0.448994,-0.608189,-0.19621,-71.742,71.4917,-150.799,0.185468,0
1,,30574,Port:10,0,0,0,Enabled,0.629196,0.439498,-0.610897,-0.194318,-71.3336,74.3641,-144.756,0.192037,0
1,,30598,Port:10,0,0,0,Enabled,0.632663,0.430854,-0.613182,-0.195217,-71.8153,77.2451,-138.418,0.188032,0
1,,30614,Port:10,0,0,0,Enabled,0.635386,0.423834,-0.615498,-0.194453,-72.4244,78.874,-134.242,0.196525,0
1,,30638,Port:10,0,0,0,Enabled,0.639059,0.41356,-0.618335,-0.195535,-72.6823,81.7764,-127.276,0.197714,0
1,,30662,Port:10,0,0,0,Enabled,0.648149,0.398867,-0.615741,-0.204136,-71.5243,86.0218,-118.407,0.174517,0
