ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,287838,Port:10,0,0,0,Enabled,0.510612,0.554544,-0.479258,-0.449522,-60.5441,9.91432,-163.368,0.129541,0
1,,287854,Port:10,0,0,0,Enabled,0.510727,0.554571,-0.479152,-0.44947,-60.5113,9.84183,-163.386,0.129053,0
1,,287878,Port:10,0,0,0,Enabled,0.510879,0.554472,-0.47918,-0.449389,-60.4718,9.82823,-163.387,0.130357,0
1,,287902,Port:10,0,0,0,Enabled,0.510926,0.554147,-0.479246,-0.449665,-60.4076,9.93354,-163.262,0.130848,0
1,,287918,Port:10,0,0,0,Enabled,0.511093,0.553897,-0.479223,-0.449809,-60.3485,9.99215,-163.141,0.129963,0
1,,287942,Port:10,0,0,0,Enabled,0.511344,0.553602,-0.479252,-0.449856,-60.2741,10.0544,-163.09,0.126181,0
1,,287958,Port:10,0,0,0,Enabled,0.511541,0.553446,-0.479274,-0.4498,-60.2131,10.0938,-163.001,0.124476,0
1,,287974,Port:10,0,0,0,Enabled,0.511702,0.553201,-0.479259,-0.449934,-60.1502,10.1747,-162.877,0.125612,0
1,,287998,Port:10,0,0,0,Enabled,0.51192,0.552693,-0.479143,-0.450434,-59.9943,10.2842,-162.606,0.124934,0
1,,288014,Port:10,0,0,0,Enabled,0.512513,0.552193,-0.477498,-0.452117,-59.1917,9.71886,-161.996,0.122957,0
1,,288038,Port:10,0,0,0,Enabled,0.513491,0.55384,-0.474859,-0.45177,-58.3536,8.15481,-161.699,0.118881,0
1,,288062,Port:10,0,0,0,Enabled,0.514016,0.552461,-0.472585,-0.455234,-57.4366,7.80541,-160.322,0.116269,0
1,,288078,Port:10,0,0,0,Enabled,0.514984,0.551586,-0.470815,-0.457033,-56.6822,7.63795,-158.976,0.115674,0
1,,288102,Port:10,0,0,0,Enabled,0.517664,0.550443,-0.467786,-0.45849,-54.9848,7.0074,-156.5,0.103493,0
1,,288118,Port:10,0,0,0,Enabled,0.519604,0.548913,-0.464621,-0.461339,-53.6035,6.81002,-154.354,0.0979032,0
1,,288142,Port:10,0,0,0,Enabled,0.522918,0.544152,-0.460371,-0.467455,-51.2681,7.03619,-150.46,0.0810618,0
1,,288158,Port:10,0,0,0,Enabled,0.525306,0.541461,-0.45862,-0.469619,-49.9257,6.83562,-148.381,0.0827325,0
1,,288182,Port:10,0,0,0,Enabled,0.528263,0.538738,-0.456911,-0.471097,-48.6127,6.71853,-145.743,0.060707,0
1,,288198,Port:10,0,0,0,Enabled,0.529132,0.536557,-0.455628,-0.473845,-48.0986,7.12076,-144.001,0.0581515,0
1,,288222,Port:10,0,0,0,Enabled,0.531604,0.533551,-0.456378,-0.473752,-47.4179,7.65986,-143.313,0.0558716,0
1,,288238,Port:10,0,0,0,Enabled,0.532397,0.533323,-0.456037,-0.473445,-46.9427,7.35352,-143.68,0.0518005,0
1,,288262,Port:10,0,0,0,Enabled,0.538912,0.531051,-0.456583,-0.468072,-45.5555,6.452,-143.373,0.0539283,0
1,,288278,Port:10,0,0,0,Enabled,0.545095,0.526126,-0.455204,-0.467818,-44.4229,6.62727,-141.382,0.0503863,0
1,,288294,Port:10,0,0,0,Enabled,0.555127,0.517604,-0.45291,-0.467753,-43.6166,7.58802,-138.181,0.0478627,0
1,,288318,Port:10,0,0,0,Enabled,0.576735,0.497742,-0.450721,-0.465275,-42.7281,10.3461,-132.648,0.0582459,0
1,,288342,Port:10,0,0,0,Enabled,0.604545,0.474309,-0.443241,-0.461622,-41.6276,13.5184,-125.77,0.0710404,0
1,,288366,Port:10,0,0,0,Enabled,0.621846,0.450554,-0.440443,-0.465101,-39.8758,18.6247,-119.007,0.0787019,0
1,,288390,Port:10,0,0,0,Enabled,0.641896,0.423764,-0.427142,-0.475335,-36.1674,23.1101,-110.918,0.0806609,0
1,,288406,Port:10,0,0,0,Enabled,0.656032,0.40634,-0.417905,-0.479444,-33.1317,25.2991,-105.849,0.0763642,0
1,,288430,Port:10,0,0,0,Enabled,0.685357,0.381779,-0.391755,-0.480685,-27.0179,25.7369,-98.0351,0.073775,0
1,,288446,Port:10,0,0,0,Enabled,0.70229,0.367893,-0.374969,-0.48046,-22.2579,25.2016,-93.8631,0.0712506,0
1,,288462,Port:10,0,0,0,Enabled,0.718597,0.354898,-0.355958,-0.480584,-16.9623,23.8068,-90.1547,0.075643,0
1,,288486,Port:10,0,0,0,Enabled,0.74056,0.335381,-0.331529,-0.478726,-8.74863,21.6088,-85.5317,0.0838507,0
1,,288502,Port:10,0,0,0,Enabled,0.752701,0.319777,-0.31146,-0.483919,-2.58321,20.4083,-82.0939,0.0754292,0
1,,288526,Port:10,0,0,0,Enabled,0.771047,0.283876,-0.285614,-0.49328,6.96034,21.5303,-76.8908,0.0807193,0
1,,288550,Port:10,0,0,0,Missing,,,,,,,,,0
1,,288566,Port:10,0,0,0,Enabled,0.788106,0.22165,-0.251634,-0.516179,21.3582,26.4474,-68.7709,0.0662221,0
1,,288590,Port:10,0,0,0,Enabled,0.79332,0.195344,-0.241092,-0.523793,26.2072,28.9075,-66.2385,0.0694461,0
1,,288614,Port:10,0,0,0,Enabled,0.793985,0.191703,-0.232683,-0.527917,27.9617,29.3086,-65.3702,0.0603602,0
1,,288630,Port:10,0,0,0,Enabled,0.796337,0.182933,-0.22499,-0.530813,30.105,29.3698,-64.6022,0.06046,0
1,,288646,Port:10,0,0,0,Enabled,0.792864,0.179177,-0.217803,-0.540207,32.7781,29.8603,-63.8412,0.0543764,0
1,,288670,Port:10,0,0,0,Enabled,0.797404,0.171983,-0.214425,-0.537207,35.1163,30.6255,-63.4478,0.0529124,0
1,,288686,Port:10,0,0,0,Enabled,0.79752,0.169407,-0.214417,-0.537854,35.3754,31.2264,-63.4176,0.0530244,0
1,,288710,Port:10,0,0,0,Enabled,0.798065,0.16796,-0.214854,-0.537326,34.9353,32.088,-63.4397,0.0528452,0
1,,288734,Port:10,0,0,0,Enabled,0.799264,0.165558,-0.2156,-0.535989,34.5259,32.8258,-63.3925,0.0549315,0
1,,288750,Port:10,0,0,0,Enabled,0.799697,0.166186,-0.215585,-0.535155,34.0783,32.8664,-63.5691,0.054656,0
1,,288774,Port:10,0,0,0,Enabled,0.800033,0.1695,-0.216605,-0.533197,32.6223,32.5479,-64.3854,0.0556749,0
1,,288798,Port:10,0,0,0,Enabled,0.801642,0.172293,-0.218692,-0.529017,31.0505,32.1386,-65.2922,0.0588532,0
