ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz
4,,127619584,Port:1,0,1769352593,68803346,Enabled,0.645502,0.46352,-0.499235,0.345312,-12.3761,112.86,-1778.44,0.440107,4,OK,-12.2772,112.835,-1778.03,OK,-51.5385,83.4925,-1768.77,OK,-40.9598,29.9019,-1771.73,OK,14.5882,60.1481,-1787.04,,127619584,Port:2,0,1769352593,68803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619584,Port:3,0,1769352593,68803346,Enabled,0.91792,0.110748,-0.0146304,0.380714,-22.2334,212.611,-1636.45,0.121363,3,OK,-22.1045,212.695,-1636.44,OK,-62.7671,181.56,-1640.89,OK,-66.6237,255.932,-1624.31,,127619584,Port:65535,0,1769352593,68803346,Missing,,,,,,,,,2,OK,76.8838,460.647,-1998.92,OK,-60.1101,246.65,-1632.99
4,,127619590,Port:1,0,1769352593,168803346,Enabled,0.644906,0.456515,-0.507217,0.344124,-17.3879,113.833,-1774.21,0.439997,4,OK,-17.2953,113.817,-1773.8,OK,-57.1389,85.0907,-1765.06,OK,-47.3659,31.3352,-1767.78,OK,8.89206,60.6959,-1782.33,,127619590,Port:2,0,1769352593,168803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619590,Port:3,0,1769352593,168803346,Enabled,0.917876,0.111005,-0.0141709,0.380764,-22.231,212.618,-1636.51,0.120883,3,OK,-22.1019,212.701,-1636.5,OK,-62.7606,181.556,-1640.91,OK,-66.6205,255.932,-1624.31,,127619590,Port:65535,0,1769352593,168803346,Missing,,,,,,,,,2,OK,76.8835,460.645,-1998.89,OK,-60.0969,246.63,-1632.97
4,,127619596,Port:1,0,1769352593,268803346,Enabled,0.643194,0.456272,-0.511705,0.340992,-22.2516,111.509,-1765.03,0.456888,4,OK,-22.1517,111.481,-1764.6,OK,-62.2558,82.9915,-1756.31,OK,-52.8538,29.1746,-1759.35,OK,3.67997,58.2589,-1773.43,,127619596,Port:2,0,1769352593,268803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619596,Port:3,0,1769352593,268803346,Enabled,0.917883,0.110874,-0.0143814,0.380777,-22.2339,212.614,-1636.47,0.117905,3,OK,-22.1086,212.696,-1636.46,OK,-62.7605,181.558,-1640.89,OK,-66.6258,255.923,-1624.3,,127619596,Port:65535,0,1769352593,268803346,Missing,,,,,,,,,2,OK,76.8774,460.62,-1998.8,OK,-60.0971,246.648,-1633.01
4,,127619605,Port:1,0,1769352593,418803346,Enabled,0.639311,0.457229,-0.517398,0.338411,-24.0517,105.635,-1751.31,0.448633,4,OK,-23.9647,105.609,-1750.89,OK,-64.2506,77.217,-1743.24,OK,-55.0831,23.4002,-1746.83,OK,1.67096,52.3398,-1760.09,,127619605,Port:2,0,1769352593,418803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619605,Port:3,0,1769352593,418803346,Enabled,0.917908,0.110903,-0.0148176,0.38069,-22.2363,212.607,-1636.46,0.120692,3,OK,-22.1119,212.694,-1636.45,OK,-62.7698,181.557,-1640.92,OK,-66.623,255.927,-1624.31,,127619605,Port:65535,0,1769352593,418803346,Missing,,,,,,,,,2,OK,76.8823,460.634,-1998.86,OK,-60.1084,246.636,-1632.94
4,,127619611,Port:1,0,1769352593,518803346,Enabled,0.637532,0.456506,-0.525448,0.330243,-21.9337,103.353,-1741.74,0.444655,4,OK,-21.8452,103.309,-1741.33,OK,-62.6565,75.5274,-1734.28,OK,-54.3873,21.6195,-1738.63,OK,2.88053,49.7555,-1751.16,,127619611,Port:2,0,1769352593,518803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619611,Port:3,0,1769352593,518803346,Enabled,0.917924,0.110701,-0.0140799,0.380738,-22.2358,212.612,-1636.48,0.11772,3,OK,-22.1099,212.693,-1636.47,OK,-62.765,181.555,-1640.87,OK,-66.622,255.933,-1624.32,,127619611,Port:65535,0,1769352593,518803346,Missing,,,,,,,,,2,OK,76.8822,460.653,-1998.96,OK,-60.0852,246.621,-1632.82
4,,127619617,Port:1,0,1769352593,618803346,Enabled,0.63702,0.457594,-0.526473,0.328084,-21.6497,101.448,-1730.94,0.449808,4,OK,-21.569,101.41,-1730.52,OK,-62.4246,73.6815,-1723.59,OK,-54.2697,19.773,-1728.19,OK,3.03181,47.8248,-1740.64,,127619617,Port:2,0,1769352593,618803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619617,Port:3,0,1769352593,618803346,Enabled,0.917914,0.110756,-0.0151445,0.380706,-22.2352,212.608,-1636.44,0.120481,3,OK,-22.1072,212.691,-1636.43,OK,-62.7669,181.562,-1640.93,OK,-66.632,255.933,-1624.32,,127619617,Port:65535,0,1769352593,618803346,Missing,,,,,,,,,2,OK,76.8692,460.618,-1998.83,OK,-60.0971,246.623,-1632.89
4,,127619623,Port:1,0,1769352593,718803345,Enabled,0.635908,0.457096,-0.531427,0.322908,-21.6208,100.879,-1718.31,0.440749,4,OK,-21.5348,100.833,-1717.91,OK,-62.7141,73.4869,-1711.32,OK,-55.1387,19.5458,-1716.42,OK,2.49288,47.0898,-1728.41,,127619623,Port:2,0,1769352593,718803345,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619623,Port:3,0,1769352593,718803345,Enabled,0.918011,0.11024,-0.0146675,0.38064,-22.2354,212.605,-1636.45,0.122461,3,OK,-22.1033,212.69,-1636.44,OK,-62.7764,181.565,-1640.88,OK,-66.622,255.942,-1624.37,,127619623,Port:65535,0,1769352593,718803345,Missing,,,,,,,,,2,OK,76.8801,460.639,-1998.89,OK,-60.1141,246.666,-1633.08
4,,127619629,Port:1,0,1769352593,818803345,Enabled,0.632939,0.46564,-0.529111,0.320326,-24.4274,96.2093,-1702.51,0.42577,4,OK,-24.3428,96.1574,-1702.13,OK,-65.1945,68.2992,-1695.6,OK,-57.1471,14.542,-1701.58,OK,0.149928,42.8183,-1713.58,,127619629,Port:2,0,1769352593,818803345,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619629,Port:3,0,1769352593,818803345,Enabled,0.917918,0.110829,-0.0145558,0.380699,-22.2339,212.617,-1636.49,0.120112,3,OK,-22.1045,212.699,-1636.48,OK,-62.7674,181.569,-1640.92,OK,-66.6233,255.938,-1624.33,,127619629,Port:65535,0,1769352593,818803345,Missing,,,,,,,,,2,OK,76.8887,460.626,-1998.86,OK,-60.0837,246.6,-1632.83
4,,127619638,Port:1,0,1769352593,968803345,Enabled,0.625679,0.478443,-0.531021,0.312466,-27.0303,85.2094,-1679.82,0.439371,4,OK,-26.94,85.1434,-1679.44,OK,-67.5505,56.8156,-1673.62,OK,-59.1986,3.34803,-1681.38,OK,-2.23049,32.3723,-1692.75,,127619638,Port:2,0,1769352593,968803345,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619638,Port:3,0,1769352593,968803345,Enabled,0.917878,0.111081,-0.0141874,0.380736,-22.2368,212.613,-1636.5,0.124476,3,OK,-22.1039,212.699,-1636.49,OK,-62.7721,181.553,-1640.91,OK,-66.6234,255.925,-1624.3,,127619638,Port:65535,0,1769352593,968803345,Missing,,,,,,,,,2,OK,76.8778,460.623,-1998.82,OK,-60.0881,246.631,-1632.94
4,,127619644,Port:1,0,1769352594,68803345,Enabled,0.623874,0.482862,-0.533124,0.305621,-26.2626,79.0249,-1668.66,0.415105,4,OK,-26.1582,78.9596,-1668.31,OK,-66.8956,50.7234,-1662.68,OK,-58.8326,-2.65664,-1671.39,OK,-1.78108,26.2882,-1682.52,,127619644,Port:2,0,1769352594,68803345,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619644,Port:3,0,1769352594,68803345,Enabled,0.917925,0.110652,-0.0143927,0.380738,-22.2324,212.616,-1636.49,0.119825,3,OK,-22.103,212.697,-1636.48,OK,-62.7628,181.56,-1640.91,OK,-66.6247,255.941,-1624.35,,127619644,Port:65535,0,1769352594,68803345,Missing,,,,,,,,,2,OK,76.8865,460.63,-1998.88,OK,-60.103,246.669,-1633
