ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,Marker4.Status,Tx,Ty,Tz,Marker5.Status,Tx,Ty,Tz,Marker6.Status,Tx,Ty,Tz
4,,127627750,Port:1,0,1769352729,168802661,Enabled,0.444185,0.590624,-0.57254,0.35505,-4.21612,31.2459,-1541.16,0.416682,4,OK,-3.94255,31.1321,-1541.28,OK,-35.8697,-5.63413,-1552.29,OK,-12.1193,-50.7306,-1572.3,OK,35.5459,-8.39311,-1560.49,,127627750,Port:2,0,1769352729,168802661,Missing,,,,,,,,,4,OK,25.6957,355.646,-1823.66,OK,67.8794,348.313,-1776.97,OK,74.0778,415.43,-1824.78,OK,96.3765,389.399,-1780.4,,127627750,Port:3,0,1769352729,168802661,Enabled,0.919957,0.0681865,0.00222973,0.386038,-3.48062,165.184,-1420.07,0.100931,3,OK,-3.3722,165.252,-1420.07,OK,-43.6475,133.428,-1421.73,OK,-48.3664,208.963,-1412.03,,127627750,Port:65535,0,1769352729,168802661,Missing,,,,,,,,,7,OK,5.71117,490.717,-2088.51,OK,-1.85206,534.21,-2091.34,OK,-2.44476,524.052,-2017.47,OK,96.3765,389.399,-1780.4,OK,74.0778,415.43,-1824.78,OK,67.8794,348.313,-1776.97,OK,25.6957,355.646,-1823.66
4,,127627756,Port:1,0,1769352729,268802661,Enabled,0.449781,0.589517,-0.568342,0.356586,-2.48787,31.0997,-1540.68,0.417463,4,OK,-2.21101,30.9781,-1540.8,OK,-34.1831,-5.95028,-1551.13,OK,-10.5402,-51.2633,-1570.73,OK,37.1758,-8.72383,-1559.82,,127627756,Port:2,0,1769352729,268802661,Missing,,,,,,,,,4,OK,25.7063,355.659,-1823.7,OK,67.8695,348.307,-1776.95,OK,74.0743,415.424,-1824.73,OK,96.3824,389.414,-1780.41,,127627756,Port:3,0,1769352729,268802661,Enabled,0.919954,0.0680937,0.00255585,0.386059,-3.48179,165.19,-1420.08,0.102947,3,OK,-3.37083,165.259,-1420.08,OK,-43.6494,133.431,-1421.71,OK,-48.367,208.965,-1412.04,,127627756,Port:65535,0,1769352729,268802661,Missing,,,,,,,,,7,OK,5.72652,490.733,-2088.46,OK,-1.83571,534.179,-2091.32,OK,-2.41784,524.002,-2017.29,OK,96.3824,389.414,-1780.41,OK,74.0743,415.424,-1824.73,OK,67.8695,348.307,-1776.95,OK,25.7063,355.659,-1823.7
4,,127627762,Port:1,0,1769352729,368802661,Enabled,0.463324,0.580127,-0.568,0.355189,0.720854,36.2257,-1541.6,0.404377,4,OK,0.977479,36.1061,-1541.69,OK,-31.8594,-0.3705,-1550.88,OK,-9.3755,-46.5971,-1569.63,OK,39.3266,-4.89182,-1560.25,,127627762,Port:2,0,1769352729,368802661,Missing,,,,,,,,,4,OK,25.6938,355.631,-1823.58,OK,67.8677,348.305,-1776.93,OK,74.0639,415.412,-1824.66,OK,96.3753,389.387,-1780.31,,127627762,Port:3,0,1769352729,368802661,Enabled,0.919959,0.068139,0.00240384,0.386039,-3.47963,165.184,-1420.08,0.100716,3,OK,-3.37092,165.252,-1420.08,OK,-43.647,133.43,-1421.72,OK,-48.3637,208.959,-1412.04,,127627762,Port:65535,0,1769352729,368802661,Missing,,,,,,,,,7,OK,5.72393,490.726,-2088.47,OK,-2.42175,524.03,-2017.38,OK,-1.82835,534.183,-2091.22,OK,96.3753,389.387,-1780.31,OK,74.0639,415.412,-1824.66,OK,67.8677,348.305,-1776.93,OK,25.6938,355.631,-1823.58
4,,127627771,Port:1,0,1769352729,518802661,Enabled,0.514429,0.541428,-0.563352,0.353347,5.71067,52.0367,-1549.49,0.349534,4,OK,5.87457,51.9039,-1549.42,OK,-29.8802,17.443,-1554.2,OK,-11.6436,-32.0195,-1568.83,OK,40.4232,6.36729,-1565.44,,127627771,Port:2,0,1769352729,518802661,Missing,,,,,,,,,4,OK,25.7121,355.637,-1823.64,OK,67.8734,348.324,-1776.97,OK,74.0938,415.431,-1824.75,OK,96.3807,389.396,-1780.38,,127627771,Port:3,0,1769352729,518802661,Enabled,0.91994,0.068247,0.00240527,0.386067,-3.47881,165.186,-1420.09,0.0987504,3,OK,-3.3705,165.25,-1420.09,OK,-43.6411,133.429,-1421.74,OK,-48.3678,208.963,-1412.03,,127627771,Port:65535,0,1769352729,518802661,Missing,,,,,,,,,7,OK,5.71674,490.699,-2088.43,OK,-1.83651,534.224,-2091.4,OK,-2.42661,524.045,-2017.36,OK,96.3807,389.396,-1780.38,OK,74.0938,415.431,-1824.75,OK,67.8734,348.324,-1776.97,OK,25.7121,355.637,-1823.64
4,,127627777,Port:1,0,1769352729,618802661,Enabled,0.544391,0.509894,-0.564674,0.353256,9.41362,63.6884,-1557.48,0.343223,4,OK,9.5316,63.545,-1557.33,OK,-28.1946,31.0278,-1559.75,OK,-13.0054,-20.2502,-1571.18,OK,41.2908,15.113,-1570.83,,127627777,Port:2,0,1769352729,618802661,Missing,,,,,,,,,4,OK,25.7019,355.64,-1823.7,OK,67.8754,348.291,-1776.9,OK,74.08,415.417,-1824.73,OK,96.3784,389.395,-1780.42,,127627777,Port:3,0,1769352729,618802661,Enabled,0.919944,0.0682365,0.00244994,0.386057,-3.47867,165.181,-1420.07,0.0991231,3,OK,-3.37052,165.247,-1420.07,OK,-43.643,133.427,-1421.72,OK,-48.3648,208.954,-1412.02,,127627777,Port:65535,0,1769352729,618802661,Missing,,,,,,,,,7,OK,5.72899,490.684,-2088.36,OK,-2.42515,524.009,-2017.32,OK,-1.83631,534.185,-2091.33,OK,96.3784,389.395,-1780.42,OK,74.08,415.417,-1824.73,OK,67.8754,348.291,-1776.9,OK,25.7019,355.64,-1823.7
4,,127627783,Port:1,0,1769352729,718802660,Enabled,0.575249,0.473041,-0.574921,0.338801,17.2703,75.9146,-1564.06,0.370082,4,OK,17.3426,75.8026,-1563.78,OK,-23.1681,46.7194,-1564.48,OK,-12.7465,-6.23161,-1573.35,OK,44.5662,24.0377,-1575.46,,127627783,Port:2,0,1769352729,718802660,Missing,,,,,,,,,4,OK,25.699,355.634,-1823.65,OK,67.8713,348.303,-1776.91,OK,74.0678,415.425,-1824.68,OK,96.3756,389.394,-1780.38,,127627783,Port:3,0,1769352729,718802660,Enabled,0.919975,0.067991,0.0021236,0.38603,-3.47405,165.178,-1420.06,0.101827,3,OK,-3.36308,165.246,-1420.05,OK,-43.6437,133.428,-1421.73,OK,-48.3613,208.957,-1412.05,,127627783,Port:65535,0,1769352729,718802660,Missing,,,,,,,,,7,OK,5.73381,490.711,-2088.43,OK,-2.42322,524.064,-2017.43,OK,-1.82779,534.229,-2091.36,OK,96.3756,389.394,-1780.38,OK,74.0678,415.425,-1824.68,OK,67.8713,348.303,-1776.91,OK,25.699,355.634,-1823.65
4,,127627789,Port:1,0,1769352729,818802660,Enabled,0.617013,0.438483,-0.575077,0.310345,29.1847,86.1973,-1566.73,0.425947,4,OK,29.2333,86.111,-1566.34,OK,-13.9549,61.308,-1563.85,OK,-9.32936,7.21419,-1570.42,OK,50.6042,31.3133,-1576.99,,127627789,Port:2,0,1769352729,818802660,Missing,,,,,,,,,4,OK,25.7004,355.648,-1823.66,OK,67.8761,348.302,-1776.93,OK,74.0812,415.423,-1824.71,OK,96.3827,389.398,-1780.37,,127627789,Port:3,0,1769352729,818802660,Enabled,0.919967,0.068011,0.00239321,0.386044,-3.47542,165.183,-1420.07,0.099802,3,OK,-3.36755,165.25,-1420.07,OK,-43.6408,133.427,-1421.72,OK,-48.3614,208.964,-1412.05,,127627789,Port:65535,0,1769352729,818802660,Missing,,,,,,,,,7,OK,5.74548,490.741,-2088.58,OK,-1.83974,534.239,-2091.44,OK,-2.43559,524.073,-2017.5,OK,96.3827,389.398,-1780.37,OK,74.0812,415.423,-1824.71,OK,67.8761,348.302,-1776.93,OK,25.7004,355.648,-1823.66
4,,127627795,Port:1,0,1769352729,918802660,Enabled,0.653741,0.407571,-0.572891,0.27983,43.267,92.564,-1566.66,0.422455,4,OK,43.3302,92.4947,-1566.27,OK,-1.79814,71.9966,-1560.63,OK,-2.58476,17.5111,-1565.3,OK,58.9373,35.5679,-1575.85,,127627795,Port:2,0,1769352729,918802660,Missing,,,,,,,,,4,OK,25.6958,355.645,-1823.65,OK,67.8674,348.301,-1776.9,OK,74.0819,415.434,-1824.76,OK,96.3798,389.399,-1780.39,,127627795,Port:3,0,1769352729,918802660,Enabled,0.919965,0.0682764,0.00194468,0.386003,-3.47858,165.18,-1420.07,0.100869,3,OK,-3.36743,165.246,-1420.07,OK,-43.6491,133.434,-1421.76,OK,-48.365,208.957,-1412.03,,127627795,Port:65535,0,1769352729,918802660,Missing,,,,,,,,,7,OK,5.72837,490.721,-2088.5,OK,-2.42516,524.003,-2017.28,OK,-1.84169,534.178,-2091.28,OK,96.3798,389.399,-1780.39,OK,74.0819,415.434,-1824.76,OK,67.8674,348.301,-1776.9,OK,25.6958,355.645,-1823.65
4,,127627801,Port:1,0,1769352730,18802660,Enabled,0.683023,0.378247,-0.572226,0.250929,57.9316,96.6456,-1566.29,0.41748,4,OK,58.0089,96.5954,-1565.9,OK,11.5185,80.2917,-1557.81,OK,5.84211,25.9817,-1560.74,OK,68.2554,38.2319,-1574.34,,127627801,Port:2,0,1769352730,18802660,Missing,,,,,,,,,4,OK,25.693,355.635,-1823.61,OK,67.8829,348.31,-1776.98,OK,74.0866,415.431,-1824.75,OK,96.3787,389.406,-1780.42,,127627801,Port:3,0,1769352730,18802660,Enabled,0.919971,0.0682384,0.0018379,0.385998,-3.47924,165.176,-1420.06,0.0989628,3,OK,-3.37312,165.244,-1420.06,OK,-43.6482,133.43,-1421.77,OK,-48.3633,208.955,-1412.04,,127627801,Port:65535,0,1769352730,18802660,Missing,,,,,,,,,7,OK,5.72908,490.718,-2088.48,OK,-1.82002,534.197,-2091.34,OK,-2.43025,524.018,-2017.31,OK,96.3787,389.406,-1780.42,OK,74.0866,415.431,-1824.75,OK,67.8829,348.31,-1776.98,OK,25.693,355.635,-1823.61
4,,127627810,Port:1,0,1769352730,168802660,Enabled,0.716167,0.305491,-0.593008,0.205236,82.1143,103.002,-1571.02,0.396433,4,OK,82.2018,102.987,-1570.65,OK,33.6427,95.6929,-1561.42,OK,18.3711,43.1689,-1560.99,OK,81.8705,43.2834,-1575.45,,127627810,Port:2,0,1769352730,168802660,Missing,,,,,,,,,4,OK,25.6923,355.635,-1823.65,OK,67.871,348.316,-1776.92,OK,74.08,415.438,-1824.77,OK,96.3769,389.398,-1780.38,,127627810,Port:3,0,1769352730,168802660,Enabled,0.919935,0.0682981,0.00236643,0.386069,-3.47702,165.183,-1420.1,0.0991527,3,OK,-3.36974,165.249,-1420.09,OK,-43.6399,133.426,-1421.75,OK,-48.3646,208.957,-1412.04,,127627810,Port:65535,0,1769352730,168802660,Missing,,,,,,,,,7,OK,5.71479,490.717,-2088.55,OK,-1.83827,534.209,-2091.36,OK,-2.43941,524.041,-2017.41,OK,96.3769,389.398,-1780.38,OK,74.08,415.438,-1824.77,OK,67.871,348.316,-1776.92,OK,25.6923,355.635,-1823.65
