Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.627427,0.509947,-0.41844,-0.41376,-33.7284,2.60441,-146.832
2,0.618437,0.424369,-0.543238,-0.377279,-33.6297,24.72,-111.976
3,0.441777,0.530515,-0.500206,-0.522668,-68.488,17.9848,-240.735
4,0.756631,0.134656,-0.431649,-0.472288,-19.746,71.0799,-86.4779
5,0.562995,0.542051,-0.55183,-0.291033,-38.0655,35.2367,-169.556
6,0.670496,0.0958273,-0.442832,-0.587497,-63.971,-9.34391,-162.846
7,0.74717,0.190523,-0.445782,-0.454661,-52.0422,26.2688,-90.8421
8,0.408635,-0.677078,0.548542,-0.271449,-14.1115,-0.392485,-136.551
9,0.663077,0.199617,-0.477444,-0.540859,-74.8959,19.5916,-93.1975
10,0.690221,0.183818,-0.541518,-0.443354,-57.799,93.3521,-80.2067
11,0.515242,0.415924,-0.631262,-0.403784,1.41147,54.5723,-186.583
12,0.327879,0.586814,-0.624158,-0.39821,-0.906871,32.5109,-237.529
13,0.680813,0.144009,-0.437434,-0.569567,-71.3064,-63.2623,-129.028
14,0.490721,0.441046,-0.51763,-0.54473,-40.6083,-64.2696,-245.142
15,0.475619,0.396766,-0.658876,-0.426903,-66.9445,-41.2712,-159.685
16,0.696745,0.279519,-0.490924,-0.442052,-62.9259,16.4089,-92.8857
17,0.512142,0.440302,-0.606559,-0.419441,-58.783,-24.1665,-141.26
18,0.608599,-0.00988019,-0.525447,-0.594488,-16.3709,4.64465,-138.218
19,0.475591,0.191937,-0.657813,-0.551593,-35.6459,20.1791,-146.496
20,0.516825,0.425479,-0.690948,-0.272858,-73.377,17.9405,-174.277
21,0.767655,0.170826,-0.408232,-0.463541,-39.8815,-1.4127,-160.334
22,0.741435,0.0437,-0.482321,-0.464468,-78.8119,-38.7599,-75.0586
23,0.373385,0.448185,-0.781813,-0.220188,-59.4097,-10.3624,-180.434
24,0.532305,0.508415,-0.588833,-0.333827,-35.8458,38.4857,-172.842
25,0.661772,0.217343,-0.482966,-0.530626,-39.9377,-46.7224,-190.369
