#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,20590,Port:10,0,0,0,Enabled,0.511408,-0.638909,-0.200873,0.538431,-75.7985,-10.0311,-66.5066,0.227936,0
,,20598,Port:10,0,0,0,Enabled,0.511382,-0.638895,-0.200979,0.538433,-75.9192,-10.0571,-66.305,0.229992,0
,,20606,Port:10,0,0,0,Enabled,0.51108,-0.639145,-0.200898,0.538453,-76.0625,-10.0889,-66.1388,0.232541,0
,,20622,Port:10,0,0,0,Enabled,0.511513,-0.639601,-0.20117,0.537398,-76.4088,-10.0164,-65.8806,0.233883,0
,,20646,Port:10,0,0,0,Enabled,0.511403,-0.639881,-0.2014,0.537082,-76.8152,-10.0945,-65.6126,0.2344,0
,,20662,Port:10,0,0,0,Enabled,0.51151,-0.639683,-0.202617,0.536758,-76.9995,-10.3382,-65.5666,0.232158,0
,,20670,Port:10,0,0,0,Enabled,0.511649,-0.639708,-0.202248,0.536735,-76.9472,-10.3181,-65.5441,0.231042,0
,,20686,Port:10,0,0,0,Enabled,0.512399,-0.6399,-0.201565,0.536048,-76.7501,-10.1702,-65.6431,0.23154,0
,,20702,Port:10,0,0,0,Enabled,0.511751,-0.639682,-0.201082,0.537107,-76.5439,-10.4856,-65.7038,0.228536,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,22310,Port:10,0,0,0,Enabled,0.576724,-0.658647,-0.181697,0.447838,-15.3485,-72.5421,-87.7296,0.0592811,0
,,22318,Port:10,0,0,0,Enabled,0.576342,-0.658965,-0.181095,0.448108,-15.2457,-72.4604,-87.799,0.0608699,0
,,22326,Port:10,0,0,0,Enabled,0.576656,-0.658777,-0.180917,0.448052,-15.0988,-72.4463,-87.7669,0.0611647,0
,,22342,Port:10,0,0,0,Enabled,0.57702,-0.658038,-0.181924,0.448261,-15.1815,-72.7468,-87.9011,0.059087,0
,,22358,Port:10,0,0,0,Enabled,0.577506,-0.657972,-0.181008,0.448103,-14.9447,-72.8541,-87.8724,0.0591719,0
,,22374,Port:10,0,0,0,Enabled,0.577248,-0.658083,-0.18042,0.44851,-14.8841,-72.9304,-88.0725,0.0631429,0
