#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,649724026,Port:1,0,1746518333,768810284,Enabled,0.473855,0.553326,-0.505992,0.461805,-5.32207,28.6239,-1480.72,0.215639,4,OK,-170.601,60.7546,-1458.91,OK,-197.814,18.8026,-1462.03,OK,-167.792,-26.3754,-1469.82,OK,-125.267,22.1879,-1466.18,,649724026,Port:2,0,1746518333,768810284,Enabled,0.94961,0.0597306,0.0121683,0.30745,-114.004,-121.609,-1303.24,0.172732,3,OK,-113.789,-121.717,-1303.27,OK,-158.87,-146.18,-1303.16,OK,-150.951,-70.7624,-1295.59,,649724026,Port:65535,0,1746518333,768810284,Missing,,,,,,,,,0
,,649724029,Port:1,0,1746518333,818810284,Enabled,0.474972,0.552894,-0.504185,0.46315,-5.17221,28.8895,-1480.51,0.232112,4,OK,-170.489,60.8149,-1458.72,OK,-197.631,18.8097,-1461.56,OK,-167.537,-26.3498,-1469.22,OK,-125.083,22.3112,-1465.8,,649724029,Port:2,0,1746518333,818810284,Enabled,0.949585,0.059939,0.0123188,0.307479,-114.004,-121.604,-1303.27,0.173942,3,OK,-113.788,-121.714,-1303.29,OK,-158.867,-146.178,-1303.17,OK,-150.954,-70.7622,-1295.58,,649724029,Port:65535,0,1746518333,818810284,Missing,,,,,,,,,0
,,649724032,Port:1,0,1746518333,868810286,Enabled,0.475042,0.553147,-0.504494,0.462438,-4.87982,28.9897,-1480.12,0.199756,4,OK,-170.146,61.0372,-1458.11,OK,-197.339,19.0459,-1461.08,OK,-167.269,-26.1308,-1468.72,OK,-124.795,22.4859,-1465.36,,649724032,Port:2,0,1746518333,868810286,Enabled,0.949598,0.0597713,0.0124614,0.307467,-114.006,-121.6,-1303.27,0.174553,3,OK,-113.788,-121.71,-1303.29,OK,-158.871,-146.175,-1303.16,OK,-150.954,-70.7549,-1295.59,,649724032,Port:65535,0,1746518333,868810286,Missing,,,,,,,,,0
,,649724035,Port:1,0,1746518333,918810286,Enabled,0.47668,0.553548,-0.502642,0.46229,-4.76517,29.1969,-1480.49,0.223761,4,OK,-169.971,61.1788,-1457.96,OK,-197.132,19.1527,-1460.62,OK,-167.073,-26.0166,-1468.31,OK,-124.613,22.6472,-1465.21,,649724035,Port:2,0,1746518333,918810286,Enabled,0.949597,0.0599721,0.0120612,0.307447,-114.003,-121.609,-1303.25,0.176363,3,OK,-113.782,-121.718,-1303.28,OK,-158.873,-146.181,-1303.19,OK,-150.952,-70.7632,-1295.57,,649724035,Port:65535,0,1746518333,918810286,Missing,,,,,,,,,0
,,649724038,Port:1,0,1746518333,968810287,Enabled,0.475402,0.552572,-0.503696,0.463623,-4.53075,29.3911,-1480.07,0.199865,4,OK,-169.846,61.3159,-1458.27,OK,-196.993,19.2925,-1461.14,OK,-166.868,-25.8728,-1468.63,OK,-124.451,22.8004,-1465.38,,649724038,Port:2,0,1746518333,968810287,Enabled,0.949606,0.0598977,0.0121618,0.30743,-114.003,-121.609,-1303.26,0.173675,3,OK,-113.788,-121.721,-1303.29,OK,-158.868,-146.178,-1303.18,OK,-150.948,-70.7612,-1295.59,,649724038,Port:65535,0,1746518333,968810287,Missing,,,,,,,,,0
,,649724041,Port:1,0,1746518334,18810287,Enabled,0.47503,0.552751,-0.50345,0.464059,-4.30783,29.638,-1480.15,0.201197,4,OK,-169.674,61.3635,-1458.44,OK,-196.756,19.3035,-1461.31,OK,-166.592,-25.8217,-1468.78,OK,-124.225,22.9085,-1465.51,,649724041,Port:2,0,1746518334,18810287,Enabled,0.949582,0.0600583,0.0122718,0.307466,-114.002,-121.6,-1303.26,0.174656,3,OK,-113.786,-121.713,-1303.28,OK,-158.865,-146.177,-1303.17,OK,-150.951,-70.7498,-1295.56,,649724041,Port:65535,0,1746518334,18810287,Missing,,,,,,,,,0
,,649724044,Port:1,0,1746518334,68810287,Enabled,0.474955,0.552806,-0.503478,0.46404,-4.19185,29.8664,-1480.21,0.20603,4,OK,-169.562,61.5765,-1458.49,OK,-196.641,19.5171,-1461.37,OK,-166.465,-25.6041,-1468.86,OK,-124.115,23.1172,-1465.57,,649724044,Port:2,0,1746518334,68810287,Enabled,0.949583,0.0600088,0.0123414,0.307471,-114.009,-121.605,-1303.27,0.173899,3,OK,-113.795,-121.719,-1303.29,OK,-158.869,-146.181,-1303.17,OK,-150.958,-70.7575,-1295.57,,649724044,Port:65535,0,1746518334,68810287,Missing,,,,,,,,,0
,,649724047,Port:1,0,1746518334,118810286,Enabled,0.475394,0.552362,-0.50318,0.464443,-4.11403,30.0971,-1480.16,0.221339,4,OK,-169.477,61.8592,-1458.55,OK,-196.574,19.8011,-1461.31,OK,-166.401,-25.3303,-1468.77,OK,-124.034,23.3961,-1465.52,,649724047,Port:2,0,1746518334,118810286,Enabled,0.949601,0.0597522,0.012061,0.307478,-114.003,-121.608,-1303.25,0.171382,3,OK,-113.789,-121.714,-1303.27,OK,-158.869,-146.18,-1303.18,OK,-150.953,-70.7674,-1295.59,,649724047,Port:65535,0,1746518334,118810286,Missing,,,,,,,,,0
