Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.666147,0.416352,-0.515966,0.341582,-38.9893,-57.5928,-1820.96
2,0.733093,0.331675,-0.404801,0.434399,-45.8637,30.5064,-1866.57
3,0.693723,0.509031,-0.340048,0.379478,-27.5842,-10.7265,-1806.71
4,0.612711,0.551152,-0.358605,0.438429,-78.0273,8.02938,-1712.21
5,0.695803,0.57154,-0.332884,0.279981,27.715,-17.7098,-1730.08
6,0.548101,0.623364,-0.412668,0.375109,-63.5905,-78.0138,-1711.74
7,0.723094,0.522327,-0.318141,0.321085,10.9582,-17.6212,-1810.96
8,0.648881,0.601325,-0.373343,0.279244,-41.6756,-44.0425,-1724.85
9,0.65782,0.554689,-0.277703,0.42717,-60.4877,-22.8375,-1776.75
10,0.560851,-0.198119,-0.800444,0.0740518,18.1383,-22.1715,-1781.26
11,0.710242,0.233004,-0.594627,0.296116,-10.5035,25.1892,-1771.29
12,0.748695,0.446241,-0.342061,0.351167,8.49073,-4.81409,-1865.39
13,0.321772,0.739223,-0.374269,0.458186,-56.9872,-82.4963,-1728.12
14,0.485035,0.408173,-0.662993,0.398216,-24.3816,-41.7399,-1705.93
15,0.456928,0.398828,-0.646878,0.462279,-45.2404,-72.6083,-1851.22
16,0.350081,0.675797,-0.289534,0.580441,-68.5368,-50.4601,-1807.15
17,0.526922,0.403287,-0.53253,0.525476,-53.4039,12.9241,-1778.16
18,0.474706,0.484767,-0.476145,0.559411,-30.4627,-46.2711,-1838.5
19,0.284638,0.669434,-0.280712,0.626131,-35.3788,-61.3289,-1745.94
20,0.39623,0.534775,-0.452532,0.593492,-96.6155,-12.1108,-1788.59
21,0.439016,0.615022,-0.374843,0.537127,-21.6788,-32.459,-1818.12
22,0.479997,0.596271,-0.495052,0.41108,24.6234,-39.4305,-1724.91
23,0.45471,0.507566,-0.481117,0.551491,-70.8533,-13.3786,-1853.09
24,0.491386,0.607467,-0.477711,0.401641,36.6379,-40.2562,-1735.11
25,0.508129,0.503856,-0.475664,0.511545,-53.1426,18.2852,-1807.82
