Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.919728,-0.00490575,0.0386468,0.390618,-30.7347,104.28,-1686.71
2,0.919719,-0.00489428,0.0389007,0.390616,-30.7416,104.296,-1686.71
3,0.919709,-0.00485929,0.0389056,0.390639,-30.7889,104.357,-1686.72
4,0.919722,-0.00479097,0.0387647,0.390623,-30.7863,104.372,-1686.69
5,0.919719,-0.00486059,0.0386951,0.390636,-30.7961,104.385,-1686.68
6,0.919722,-0.0047652,0.0386591,0.390634,-30.7946,104.387,-1686.69
7,0.919724,-0.00483086,0.0386952,0.390624,-30.8115,104.405,-1686.69
8,0.919737,-0.00483303,0.0388818,0.390575,-30.844,104.448,-1686.69
9,0.919708,-0.00479657,0.0389712,0.390634,-30.8318,104.438,-1686.69
10,0.919718,-0.00500512,0.0389193,0.390613,-30.8365,104.44,-1686.68
11,0.919706,-0.00489829,0.0390882,0.390626,-30.8399,104.447,-1686.68
12,0.919717,-0.00484054,0.0389708,0.390614,-30.8438,104.452,-1686.69
13,0.919717,-0.00497124,0.0390507,0.390604,-30.8471,104.45,-1686.69
14,0.919721,-0.00495532,0.0388041,0.390618,-30.8504,104.458,-1686.68
15,0.919715,-0.00487388,0.0390562,0.390608,-30.8554,104.466,-1686.69
16,0.919723,-0.00489726,0.0387692,0.390618,-30.8573,104.475,-1686.67
17,0.919713,-0.00487343,0.0388968,0.39063,-30.861,104.479,-1686.67
18,0.919725,-0.00484162,0.0388922,0.390602,-30.8637,104.484,-1686.68
19,0.919709,-0.00474834,0.0391762,0.390613,-30.8699,104.492,-1686.69
20,0.919701,-0.00487967,0.0393563,0.390612,-30.8737,104.5,-1686.68
21,0.919718,-0.00491817,0.0391333,0.390594,-30.8738,104.504,-1686.67
22,0.919717,-0.00478716,0.0391449,0.390596,-30.8745,104.511,-1686.69
23,0.919714,-0.00480352,0.0391254,0.390605,-30.8789,104.515,-1686.67
24,0.919709,-0.00482152,0.0391878,0.390609,-30.8755,104.517,-1686.68
25,0.91972,-0.00485615,0.0390704,0.390596,-30.8796,104.526,-1686.67
