ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,166798,Port:10,0,0,0,Enabled,0.672198,0.459098,-0.423257,-0.397784,-55.3694,-4.54101,-113.696,0.0472369,0
1,,166822,Port:10,0,0,0,Enabled,0.673402,0.458217,-0.42239,-0.397685,-54.4472,-3.78599,-113.173,0.0488372,0
1,,166838,Port:10,0,0,0,Enabled,0.674989,0.458295,-0.420859,-0.396527,-53.4927,-3.48837,-112.953,0.0485812,0
1,,166862,Port:10,0,0,0,Enabled,0.67669,0.456985,-0.419107,-0.396995,-51.6475,-2.62435,-112.398,0.0440379,0
1,,166878,Port:10,0,0,0,Enabled,0.677169,0.456565,-0.418343,-0.397467,-50.2856,-2.20651,-112.232,0.0455304,0
1,,166910,Port:10,0,0,0,Enabled,0.680778,0.454073,-0.415171,-0.397482,-47.168,-1.76024,-111.137,0.0415573,0
1,,166926,Port:10,0,0,0,Enabled,0.683161,0.449591,-0.411869,-0.401899,-46.1401,-1.86516,-109.992,0.0395729,0
1,,166950,Port:10,0,0,0,Enabled,0.685066,0.447894,-0.409621,-0.402846,-45.1628,-3.08817,-109.038,0.0409447,0
1,,166974,Port:10,0,0,0,Enabled,0.687177,0.44322,-0.404742,-0.409302,-43.763,-3.35296,-107.197,0.0390817,0
1,,166998,Port:10,0,0,0,Enabled,0.691337,0.442404,-0.392286,-0.415262,-41.4172,-4.76177,-105.132,0.0375973,0
1,,167014,Port:10,0,0,0,Enabled,0.698884,0.437341,-0.384694,-0.415096,-39.7551,-5.69771,-103.784,0.0380874,0
1,,167038,Port:10,0,0,0,Enabled,0.706157,0.428497,-0.376513,-0.419488,-38.0944,-5.8832,-103.076,0.0371636,0
1,,167062,Port:10,0,0,0,Enabled,0.706658,0.422787,-0.373876,-0.426735,-38.415,-5.36592,-103.595,0.0368998,0
1,,167086,Port:10,0,0,0,Enabled,0.709016,0.418603,-0.371671,-0.42887,-39.9028,-5.41685,-103.808,0.0394119,0
1,,167110,Port:10,0,0,0,Enabled,0.708712,0.418034,-0.374015,-0.427888,-41.2931,-5.09649,-103.407,0.0385506,0
1,,167126,Port:10,0,0,0,Enabled,0.711768,0.413519,-0.374133,-0.427098,-41.2879,-4.10314,-101.498,0.0397299,0
1,,167150,Port:10,0,0,0,Enabled,0.717244,0.400053,-0.369197,-0.434986,-40.4481,-1.09311,-96.181,0.0409574,0
1,,167174,Port:10,0,0,0,Enabled,0.727061,0.383014,-0.361993,-0.440049,-38.7171,1.55281,-89.7872,0.0390487,0
1,,167190,Port:10,0,0,0,Enabled,0.737296,0.37066,-0.345192,-0.447044,-35.3994,2.42636,-84.3913,0.0413656,0
1,,167222,Port:10,0,0,0,Enabled,0.767142,0.331837,-0.300404,-0.459493,-24.543,4.87007,-72.3385,0.0513734,0
1,,167238,Port:10,0,0,0,Enabled,0.778164,0.312706,-0.283874,-0.464856,-19.3549,5.87906,-67.6459,0.0506058,0
1,,167254,Port:10,0,0,0,Missing,,,,,,,,,0
