ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,140472952,Port:1,0,1769566815,868781167,Enabled,0.69966,0.444376,-0.390761,0.400389,-83.4379,-178.167,-1686.13,0.127293,4,OK,-83.5043,-178.313,-1686.08,OK,-117.078,-208.345,-1665.06,OK,-100.245,-260.362,-1659.78,OK,-51.0096,-228.531,-1687.68,,140472952,Port:2,0,1769566815,868781167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140472952,Port:3,0,1769566815,868781167,Enabled,0.898385,-0.121509,0.0839401,0.413635,-147.665,-47.5263,-1677.65,0.104161,3,OK,-147.55,-47.4585,-1677.68,OK,-185.218,-80.2951,-1665.82,OK,-195.947,-7.82744,-1687.06,,140472952,Port:65535,0,1769566815,868781167,Missing,,,,,,,,,0
4,,140472958,Port:1,0,1769566815,968781169,Enabled,0.702614,0.43952,-0.393088,0.398293,-82.2033,-176.27,-1687.73,0.119017,4,OK,-82.2727,-176.396,-1687.66,OK,-116.254,-205.955,-1666.61,OK,-100.014,-258.114,-1660.92,OK,-50.3103,-227.011,-1688.91,,140472958,Port:2,0,1769566815,968781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140472958,Port:3,0,1769566815,968781169,Enabled,0.898347,-0.12182,0.0841022,0.413593,-147.665,-47.5336,-1677.66,0.107334,3,OK,-147.542,-47.4681,-1677.69,OK,-185.22,-80.2948,-1665.8,OK,-195.95,-7.83562,-1687.09,,140472958,Port:65535,0,1769566815,968781169,Missing,,,,,,,,,0
4,,140472964,Port:1,0,1769566816,68781169,Enabled,0.705063,0.4359,-0.392821,0.398208,-81.1118,-174.237,-1689.87,0.115894,4,OK,-81.1769,-174.372,-1689.82,OK,-115.311,-203.607,-1668.52,OK,-99.3269,-255.8,-1662.48,OK,-49.454,-225.122,-1690.65,,140472964,Port:2,0,1769566816,68781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140472964,Port:3,0,1769566816,68781169,Enabled,0.898319,-0.121956,0.0840715,0.413621,-147.663,-47.5314,-1677.65,0.107792,3,OK,-147.541,-47.4657,-1677.67,OK,-185.215,-80.3003,-1665.78,OK,-195.951,-7.83455,-1687.1,,140472964,Port:65535,0,1769566816,68781169,Missing,,,,,,,,,0
4,,140472970,Port:1,0,1769566816,168781169,Enabled,0.706641,0.435303,-0.390109,0.398729,-80.9395,-172.963,-1691.07,0.117192,4,OK,-81.003,-173.11,-1691.05,OK,-115.011,-202.268,-1669.41,OK,-98.9249,-254.421,-1663.25,OK,-49.2182,-223.802,-1691.71,,140472970,Port:2,0,1769566816,168781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140472970,Port:3,0,1769566816,168781169,Enabled,0.898387,-0.121667,0.0837239,0.413628,-147.668,-47.5287,-1677.64,0.102352,3,OK,-147.551,-47.4648,-1677.67,OK,-185.222,-80.2935,-1665.82,OK,-195.949,-7.83534,-1687.08,,140472970,Port:65535,0,1769566816,168781169,Missing,,,,,,,,,0
4,,140472979,Port:1,0,1769566816,318781169,Enabled,0.70914,0.427539,-0.394019,0.398849,-80.2964,-169.409,-1694.5,0.125642,4,OK,-80.3555,-169.55,-1694.41,OK,-114.917,-198.116,-1672.94,OK,-99.4704,-250.361,-1665.98,OK,-49.1519,-220.61,-1694.35,,140472979,Port:2,0,1769566816,318781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140472979,Port:3,0,1769566816,318781169,Enabled,0.898333,-0.121836,0.084268,0.413586,-147.668,-47.5328,-1677.65,0.107721,3,OK,-147.547,-47.4659,-1677.67,OK,-185.22,-80.2951,-1665.77,OK,-195.954,-7.83162,-1687.08,,140472979,Port:65535,0,1769566816,318781169,Missing,,,,,,,,,0
4,,140472985,Port:1,0,1769566816,418781169,Enabled,0.710378,0.422976,-0.394669,0.400863,-81.3337,-167.03,-1695.9,0.121949,4,OK,-81.3953,-167.159,-1695.82,OK,-116.127,-195.482,-1674.27,OK,-100.844,-247.685,-1666.8,OK,-50.3151,-218.304,-1695.14,,140472985,Port:2,0,1769566816,418781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140472985,Port:3,0,1769566816,418781169,Enabled,0.898367,-0.121847,0.0838487,0.413594,-147.67,-47.5307,-1677.63,0.106215,3,OK,-147.552,-47.4625,-1677.66,OK,-185.227,-80.2995,-1665.79,OK,-195.949,-7.83291,-1687.08,,140472985,Port:65535,0,1769566816,418781169,Missing,,,,,,,,,0
4,,140472991,Port:1,0,1769566816,518781169,Enabled,0.711453,0.41829,-0.396217,0.402344,-83.2689,-164.574,-1696.61,0.114019,4,OK,-83.3343,-164.703,-1696.55,OK,-118.309,-192.727,-1674.97,OK,-103.275,-244.942,-1667.05,OK,-52.4394,-215.955,-1695.26,,140472991,Port:2,0,1769566816,518781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140472991,Port:3,0,1769566816,518781169,Enabled,0.89838,-0.121472,0.0846483,0.413512,-147.671,-47.5437,-1677.68,0.112694,3,OK,-147.549,-47.4667,-1677.71,OK,-185.23,-80.296,-1665.78,OK,-195.946,-7.83551,-1687.05,,140472991,Port:65535,0,1769566816,518781169,Missing,,,,,,,,,0
4,,140473000,Port:1,0,1769566816,668781169,Enabled,0.711499,0.411622,-0.398839,0.406528,-88.9711,-162.725,-1698.71,0.120989,4,OK,-89.033,-162.863,-1698.64,OK,-124.323,-190.596,-1677.23,OK,-109.488,-242.74,-1668.53,OK,-58.242,-214.121,-1696.43,,140473000,Port:2,0,1769566816,668781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140473000,Port:3,0,1769566816,668781169,Enabled,0.898412,-0.121357,0.0838795,0.413633,-147.666,-47.5323,-1677.65,0.103782,3,OK,-147.55,-47.4651,-1677.68,OK,-185.22,-80.2979,-1665.83,OK,-195.946,-7.83394,-1687.04,,140473000,Port:65535,0,1769566816,668781169,Missing,,,,,,,,,0
4,,140473006,Port:1,0,1769566816,768781169,Enabled,0.712569,0.404243,-0.402923,0.408027,-90.4773,-162.103,-1701.23,0.133309,4,OK,-90.5405,-162.239,-1701.13,OK,-126.316,-189.497,-1679.96,OK,-111.991,-241.655,-1670.55,OK,-60.1983,-213.727,-1698.13,,140473006,Port:2,0,1769566816,768781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140473006,Port:3,0,1769566816,768781169,Enabled,0.898374,-0.121397,0.0843387,0.413611,-147.669,-47.5386,-1677.69,0.11071,3,OK,-147.548,-47.4653,-1677.72,OK,-185.224,-80.3038,-1665.82,OK,-195.952,-7.83573,-1687.06,,140473006,Port:65535,0,1769566816,768781169,Missing,,,,,,,,,0
4,,140473012,Port:1,0,1769566816,868781169,Enabled,0.713803,0.397135,-0.405456,0.410335,-91.2821,-161.266,-1704.42,0.137277,4,OK,-91.3565,-161.411,-1704.31,OK,-127.49,-188.225,-1683.22,OK,-113.55,-240.349,-1673.1,OK,-61.3135,-213.021,-1700.44,,140473012,Port:2,0,1769566816,868781169,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140473012,Port:3,0,1769566816,868781169,Enabled,0.898392,-0.121677,0.0838544,0.413589,-147.671,-47.534,-1677.65,0.106901,3,OK,-147.551,-47.4669,-1677.68,OK,-185.23,-80.3015,-1665.82,OK,-195.952,-7.8319,-1687.08,,140473012,Port:65535,0,1769566816,868781169,Missing,,,,,,,,,0
