ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,140434291,Port:1,0,1769566171,518809512,Enabled,0.637278,0.473457,-0.473267,0.381752,-29.5217,-12.0385,-1785.92,0.130502,4,OK,-29.5687,-12.2355,-1785.94,OK,-66.07,-44.1473,-1774.72,OK,-50.8172,-96.8597,-1776.83,OK,2.10813,-62.5073,-1792.42,,140434291,Port:2,0,1769566171,518809512,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434291,Port:3,0,1769566171,518809512,Enabled,0.919635,-0.004579,0.0394701,0.39076,-31.0221,104.784,-1686.51,0.119284,3,OK,-30.8842,104.857,-1686.52,OK,-70.7356,72.6512,-1682.49,OK,-76.4935,148.676,-1685.09,,140434291,Port:65535,0,1769566171,518809512,Missing,,,,,,,,,0
4,,140434297,Port:1,0,1769566171,618809511,Enabled,0.639203,0.472133,-0.47258,0.381024,-27.3186,-11.4147,-1787.29,0.131972,4,OK,-27.3529,-11.6082,-1787.32,OK,-63.9306,-43.3816,-1775.9,OK,-48.8511,-96.1531,-1777.86,OK,4.12985,-61.985,-1793.69,,140434297,Port:2,0,1769566171,618809511,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434297,Port:3,0,1769566171,618809511,Enabled,0.919647,-0.00483422,0.039529,0.390723,-31.0229,104.781,-1686.49,0.119244,3,OK,-30.8822,104.849,-1686.5,OK,-70.7381,72.6536,-1682.46,OK,-76.4952,148.677,-1685.1,,140434297,Port:65535,0,1769566171,618809511,Missing,,,,,,,,,0
4,,140434303,Port:1,0,1769566171,718809511,Enabled,0.641661,0.471054,-0.472571,0.378227,-24.2524,-10.6311,-1788.57,0.121277,4,OK,-24.3007,-10.8215,-1788.56,OK,-61.0422,-42.3391,-1777.02,OK,-46.2839,-95.2083,-1778.93,OK,6.86614,-61.4333,-1795.08,,140434303,Port:2,0,1769566171,718809511,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434303,Port:3,0,1769566171,718809511,Enabled,0.919641,-0.00479862,0.0394015,0.39075,-31.0197,104.785,-1686.5,0.121995,3,OK,-30.8753,104.853,-1686.51,OK,-70.7359,72.6512,-1682.48,OK,-76.4965,148.683,-1685.1,,140434303,Port:65535,0,1769566171,718809511,Missing,,,,,,,,,0
4,,140434312,Port:1,0,1769566171,868809511,Enabled,0.647932,0.459671,-0.477664,0.375134,-19.1775,-7.76745,-1789.71,0.135627,4,OK,-19.2328,-7.95492,-1789.74,OK,-56.7625,-38.4128,-1777.92,OK,-43.3161,-91.6558,-1779.1,OK,10.7021,-59.3838,-1795.28,,140434312,Port:2,0,1769566171,868809511,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434312,Port:3,0,1769566171,868809511,Enabled,0.919622,-0.00468855,0.0399262,0.390742,-31.0262,104.784,-1686.54,0.115795,3,OK,-30.8906,104.852,-1686.55,OK,-70.7332,72.6556,-1682.48,OK,-76.4976,148.681,-1685.11,,140434312,Port:65535,0,1769566171,868809511,Missing,,,,,,,,,0
4,,140434318,Port:1,0,1769566171,968809514,Enabled,0.650744,0.454412,-0.481302,0.372008,-17.0229,-5.93715,-1788.71,0.135208,4,OK,-17.0877,-6.12091,-1788.73,OK,-55.0736,-35.9954,-1776.94,OK,-42.4159,-89.4218,-1777.86,OK,12.1208,-58.0038,-1794,,140434318,Port:2,0,1769566171,968809514,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434318,Port:3,0,1769566171,968809514,Enabled,0.919633,-0.00446824,0.039757,0.390735,-31.025,104.788,-1686.54,0.11807,3,OK,-30.8868,104.857,-1686.55,OK,-70.7368,72.6604,-1682.5,OK,-76.4944,148.68,-1685.1,,140434318,Port:65535,0,1769566171,968809514,Missing,,,,,,,,,0
4,,140434324,Port:1,0,1769566172,68809514,Enabled,0.654023,0.45038,-0.489105,0.360815,-13.2344,-3.67702,-1787.6,0.127687,4,OK,-13.2966,-3.86385,-1787.61,OK,-52.1344,-32.7509,-1776.09,OK,-40.9588,-86.5107,-1777.43,OK,14.4632,-56.4884,-1793.36,,140434324,Port:2,0,1769566172,68809514,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434324,Port:3,0,1769566172,68809514,Enabled,0.919651,-0.00445542,0.0396009,0.390711,-31.0246,104.782,-1686.54,0.119335,3,OK,-30.8843,104.852,-1686.55,OK,-70.7405,72.6565,-1682.52,OK,-76.4927,148.678,-1685.1,,140434324,Port:65535,0,1769566172,68809514,Missing,,,,,,,,,0
4,,140434330,Port:1,0,1769566172,168809514,Enabled,0.667566,0.436397,-0.491273,0.350091,-8.35019,-1.43052,-1787.52,0.133891,4,OK,-8.41673,-1.61546,-1787.54,OK,-48.2303,-28.7354,-1775.09,OK,-39.1949,-82.9021,-1775.56,OK,17.1635,-55.3877,-1792.55,,140434330,Port:2,0,1769566172,168809514,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434330,Port:3,0,1769566172,168809514,Enabled,0.919644,-0.00433895,0.0393405,0.390755,-31.0245,104.785,-1686.51,0.119329,3,OK,-30.8816,104.851,-1686.52,OK,-70.7388,72.656,-1682.51,OK,-76.5001,148.679,-1685.07,,140434330,Port:65535,0,1769566172,168809514,Missing,,,,,,,,,0
4,,140434339,Port:1,0,1769566172,318809514,Enabled,0.672388,0.421309,-0.502728,0.343013,-7.47734,-2.17509,-1788.04,0.138591,4,OK,-7.56026,-2.37308,-1788.05,OK,-48.5473,-27.8346,-1775.96,OK,-41.5506,-82.2997,-1775.79,OK,16.0784,-57.1008,-1792.19,,140434339,Port:2,0,1769566172,318809514,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434339,Port:3,0,1769566172,318809514,Enabled,0.919632,-0.00458216,0.0396113,0.390751,-31.0242,104.783,-1686.51,0.120883,3,OK,-30.8797,104.851,-1686.52,OK,-70.7388,72.6574,-1682.48,OK,-76.4998,148.674,-1685.08,,140434339,Port:65535,0,1769566172,318809514,Missing,,,,,,,,,0
4,,140434345,Port:1,0,1769566172,418809514,Enabled,0.671852,0.420591,-0.503018,0.344518,-9.72784,-2.30672,-1787.92,0.135274,4,OK,-9.81206,-2.499,-1787.9,OK,-50.7862,-27.9966,-1775.93,OK,-43.7102,-82.4646,-1775.6,OK,13.9016,-57.2109,-1791.92,,140434345,Port:2,0,1769566172,418809514,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434345,Port:3,0,1769566172,418809514,Enabled,0.919614,-0.00461559,0.0400543,0.39075,-31.0241,104.783,-1686.53,0.120132,3,OK,-30.8854,104.856,-1686.54,OK,-70.7339,72.65,-1682.45,OK,-76.4942,148.678,-1685.08,,140434345,Port:65535,0,1769566172,418809514,Missing,,,,,,,,,0
4,,140434351,Port:1,0,1769566172,518809514,Enabled,0.677009,0.409607,-0.505131,0.344562,-9.1795,2.14079,-1791.22,0.131071,4,OK,-9.26666,1.9559,-1791.21,OK,-50.7201,-22.6626,-1778.99,OK,-44.5261,-77.2174,-1777.68,OK,13.5689,-53.2122,-1794.12,,140434351,Port:2,0,1769566172,518809514,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140434351,Port:3,0,1769566172,518809514,Enabled,0.919646,-0.00427151,0.0395763,0.390726,-31.0234,104.783,-1686.54,0.120605,3,OK,-30.8791,104.851,-1686.55,OK,-70.7395,72.6581,-1682.52,OK,-76.4952,148.678,-1685.08,,140434351,Port:65535,0,1769566172,518809514,Missing,,,,,,,,,0
