ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,140501485,Port:1,0,1769567291,418804535,Enabled,0.694745,0.27696,-0.429579,0.506047,-160.029,-199.298,-1827.62,0.142264,4,OK,-160.097,-199.475,-1827.49,OK,-199.871,-223.36,-1809.49,OK,-187.914,-271.305,-1785.64,OK,-131.083,-247.212,-1806.15,,140501485,Port:2,0,1769567291,418804535,Enabled,0.96083,-0.26005,0.0613158,-0.0736222,-7.0366,-272.994,-1764.72,0.204939,4,OK,-6.88979,-272.963,-1764.64,OK,-20.1468,-217.576,-1794.25,OK,-82.3319,-259.842,-1758.68,OK,-69.2325,-213.593,-1787.41,,140501485,Port:3,0,1769567291,418804535,Enabled,0.906204,-0.0613171,0.0596868,0.414091,-146.445,-54.2533,-1663.44,0.113304,3,OK,-146.32,-54.1751,-1663.46,OK,-184.287,-87.9247,-1655.75,OK,-194.36,-13.2187,-1667.34,,140501485,Port:65535,0,1769567291,418804535,Missing,,,,,,,,,0
4,,140501494,Port:1,0,1769567291,568804535,Enabled,0.695324,0.27538,-0.429267,0.50638,-159.79,-198.569,-1828.38,0.13978,4,OK,-159.864,-198.748,-1828.25,OK,-199.683,-222.505,-1810.22,OK,-187.795,-270.418,-1786.2,OK,-130.927,-246.459,-1806.73,,140501494,Port:2,0,1769567291,568804535,Enabled,0.960285,-0.261726,0.0611396,-0.0749303,-6.95474,-272.364,-1765.28,0.220674,4,OK,-6.80878,-272.336,-1765.17,OK,-19.9086,-217.022,-1795.06,OK,-82.2253,-259.027,-1759.36,OK,-69.004,-212.895,-1788.19,,140501494,Port:3,0,1769567291,568804535,Enabled,0.906177,-0.0610643,0.0607132,0.414038,-146.45,-54.255,-1663.5,0.115808,3,OK,-146.332,-54.1666,-1663.52,OK,-184.285,-87.9242,-1655.71,OK,-194.355,-13.2118,-1667.31,,140501494,Port:65535,0,1769567291,568804535,Missing,,,,,,,,,0
4,,140501500,Port:1,0,1769567291,668804535,Enabled,0.696777,0.273241,-0.428729,0.505996,-159.243,-197.305,-1829.13,0.135847,4,OK,-159.314,-197.474,-1829,OK,-199.226,-221.024,-1810.88,OK,-187.503,-268.894,-1786.65,OK,-130.544,-245.213,-1807.3,,140501500,Port:2,0,1769567291,668804535,Enabled,0.959748,-0.263299,0.0608391,-0.076528,-6.75903,-271.393,-1765.69,0.233338,4,OK,-6.60987,-271.356,-1765.58,OK,-19.5288,-216.13,-1795.7,OK,-82.0077,-257.835,-1759.91,OK,-68.6059,-211.822,-1788.88,,140501500,Port:3,0,1769567291,668804535,Enabled,0.906243,-0.0608138,0.0600239,0.414032,-146.449,-54.2593,-1663.49,0.112117,3,OK,-146.327,-54.1797,-1663.51,OK,-184.289,-87.9261,-1655.78,OK,-194.355,-13.2127,-1667.31,,140501500,Port:65535,0,1769567291,668804535,Missing,,,,,,,,,0
4,,140501506,Port:1,0,1769567291,768804535,Enabled,0.697581,0.272851,-0.429593,0.504364,-158.279,-195.956,-1829.56,0.125402,4,OK,-158.353,-196.127,-1829.48,OK,-198.347,-219.534,-1811.29,OK,-186.826,-267.502,-1787.21,OK,-129.76,-243.997,-1807.75,,140501506,Port:2,0,1769567291,768804535,Enabled,0.960159,-0.261708,0.0607609,-0.0768854,-6.02702,-270.549,-1766.15,0.197807,4,OK,-5.86748,-270.519,-1766.09,OK,-18.7435,-215.182,-1795.9,OK,-81.2609,-256.916,-1760.33,OK,-67.8229,-210.882,-1789.26,,140501506,Port:3,0,1769567291,768804535,Enabled,0.906206,-0.0608864,0.0603728,0.414052,-146.446,-54.2548,-1663.49,0.112758,3,OK,-146.327,-54.1722,-1663.51,OK,-184.283,-87.9173,-1655.74,OK,-194.353,-13.2167,-1667.3,,140501506,Port:65535,0,1769567291,768804535,Missing,,,,,,,,,0
4,,140501512,Port:1,0,1769567291,868804535,Enabled,0.699307,0.271406,-0.429472,0.502853,-157.299,-194.549,-1829.9,0.130242,4,OK,-157.363,-194.724,-1829.82,OK,-197.455,-217.916,-1811.53,OK,-186.169,-265.863,-1787.4,OK,-129.017,-242.679,-1808.04,,140501512,Port:2,0,1769567291,868804535,Enabled,0.959608,-0.262977,0.0612204,-0.0790444,-5.44139,-269.703,-1766.3,0.222691,4,OK,-5.29334,-269.669,-1766.19,OK,-17.9126,-214.364,-1796.28,OK,-80.618,-255.75,-1760.56,OK,-66.9723,-209.824,-1789.51,,140501512,Port:3,0,1769567291,868804535,Enabled,0.90617,-0.0610151,0.0604535,0.4141,-146.449,-54.2547,-1663.48,0.112286,3,OK,-146.329,-54.173,-1663.5,OK,-184.279,-87.9249,-1655.73,OK,-194.362,-13.2173,-1667.3,,140501512,Port:65535,0,1769567291,868804535,Missing,,,,,,,,,0
4,,140501518,Port:1,0,1769567291,968804535,Enabled,0.699229,0.270443,-0.431163,0.502034,-156.366,-193.259,-1829.99,0.115799,4,OK,-156.443,-193.412,-1829.93,OK,-196.649,-216.511,-1811.76,OK,-185.557,-264.558,-1787.65,OK,-128.268,-241.515,-1808.07,,140501518,Port:2,0,1769567291,968804535,Enabled,0.959579,-0.2625,0.0620837,-0.0803031,-4.76218,-268.936,-1766.43,0.214394,4,OK,-4.60967,-268.898,-1766.34,OK,-17.0975,-213.535,-1796.34,OK,-79.9002,-254.758,-1760.6,OK,-66.136,-208.87,-1789.54,,140501518,Port:3,0,1769567291,968804535,Enabled,0.906158,-0.0610391,0.0609695,0.414046,-146.448,-54.2577,-1663.52,0.112419,3,OK,-146.332,-54.1723,-1663.55,OK,-184.277,-87.9213,-1655.72,OK,-194.355,-13.2159,-1667.32,,140501518,Port:65535,0,1769567291,968804535,Missing,,,,,,,,,0
4,,140501524,Port:1,0,1769567292,68804538,Enabled,0.698681,0.269119,-0.435981,0.499339,-154.644,-191.44,-1830.37,0.148687,4,OK,-154.724,-191.632,-1830.25,OK,-195.227,-214.53,-1812.6,OK,-184.625,-262.722,-1788.63,OK,-127.032,-240.003,-1808.57,,140501524,Port:2,0,1769567292,68804538,Enabled,0.959796,-0.261138,0.0600567,-0.0836233,-3.91624,-268.257,-1766.23,0.20188,4,OK,-3.77135,-268.221,-1766.15,OK,-15.7776,-212.732,-1796.08,OK,-78.9962,-253.676,-1760.8,OK,-64.8275,-207.817,-1789.61,,140501524,Port:3,0,1769567292,68804538,Enabled,0.906176,-0.0613347,0.0600602,0.414096,-146.444,-54.2489,-1663.45,0.10988,3,OK,-146.327,-54.1698,-1663.47,OK,-184.277,-87.9209,-1655.73,OK,-194.358,-13.2124,-1667.33,,140501524,Port:65535,0,1769567292,68804538,Missing,,,,,,,,,0
4,,140501533,Port:1,0,1769567292,218804531,Enabled,0.699499,0.27136,-0.435956,0.496998,-154.361,-189.984,-1828.47,0.146066,4,OK,-154.431,-190.155,-1828.32,OK,-194.908,-213.08,-1810.67,OK,-184.32,-261.411,-1786.89,OK,-126.774,-238.707,-1807.04,,140501533,Port:2,0,1769567292,218804531,Enabled,0.960192,-0.259216,0.0621491,-0.0835207,-3.5765,-267.338,-1765.18,0.208846,4,OK,-3.43613,-267.307,-1765.08,OK,-15.4794,-211.656,-1794.77,OK,-78.6308,-252.716,-1759.41,OK,-64.5033,-206.732,-1788.05,,140501533,Port:3,0,1769567292,218804531,Enabled,0.90618,-0.0612816,0.0601557,0.414082,-146.446,-54.2575,-1663.48,0.111418,3,OK,-146.329,-54.1762,-1663.5,OK,-184.28,-87.93,-1655.75,OK,-194.358,-13.219,-1667.35,,140501533,Port:65535,0,1769567292,218804531,Missing,,,,,,,,,0
4,,140501539,Port:1,0,1769567292,318804538,Enabled,0.700216,0.269291,-0.439742,0.493768,-152.652,-188.768,-1827.67,0.14015,4,OK,-152.718,-188.947,-1827.56,OK,-193.497,-211.558,-1810.11,OK,-183.476,-260.055,-1786.51,OK,-125.611,-237.797,-1806.25,,140501539,Port:2,0,1769567292,318804538,Enabled,0.960356,-0.257378,0.0613522,-0.0878035,-2.86442,-267.586,-1763.86,0.222606,4,OK,-2.72223,-267.553,-1763.75,OK,-14.1864,-211.723,-1793.36,OK,-77.8352,-252.392,-1758.36,OK,-63.2125,-206.417,-1786.78,,140501539,Port:3,0,1769567292,318804538,Enabled,0.906182,-0.0611905,0.0603698,0.41406,-146.446,-54.2557,-1663.47,0.114003,3,OK,-146.322,-54.1749,-1663.49,OK,-184.282,-87.9205,-1655.72,OK,-194.358,-13.2175,-1667.31,,140501539,Port:65535,0,1769567292,318804538,Missing,,,,,,,,,0
4,,140501545,Port:1,0,1769567292,418804538,Enabled,0.701189,0.269954,-0.441855,0.490126,-150.56,-187.436,-1824.85,0.129815,4,OK,-150.626,-187.603,-1824.75,OK,-191.544,-210.047,-1807.4,OK,-181.829,-258.763,-1784.08,OK,-123.841,-236.769,-1803.72,,140501545,Port:2,0,1769567292,418804538,Enabled,0.960821,-0.2544,0.0625079,-0.090537,-1.24256,-267.556,-1761.61,0.196189,4,OK,-1.09624,-267.529,-1761.53,OK,-12.2335,-211.457,-1790.73,OK,-76.1061,-251.912,-1755.99,OK,-61.2297,-205.903,-1784.2,,140501545,Port:3,0,1769567292,418804538,Enabled,0.906218,-0.0611621,0.0595928,0.414097,-146.448,-54.2519,-1663.46,0.109114,3,OK,-146.329,-54.176,-1663.48,OK,-184.286,-87.9274,-1655.78,OK,-194.361,-13.2117,-1667.34,,140501545,Port:65535,0,1769567292,418804538,Missing,,,,,,,,,0
