#Tools
ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
4,,140332477,Port:1,0,1769564474,618785096,Enabled,0.733134,0.331739,-0.404741,0.434337,-45.8665,30.5102,-1866.57,0.321513,4,OK,-45.7688,30.4829,-1866.25,OK,-84.2389,7.4664,-1844.49,OK,-72.7487,-43.1217,-1826.52,OK,-18.2045,-21.1366,-1854.5,,140332477,Port:2,0,1769564474,618785096,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332477,Port:3,0,1769564474,618785096,Enabled,0.919749,-0.00480363,0.0383609,0.390598,-30.737,104.296,-1686.69,0.116344,3,OK,-30.5988,104.362,-1686.71,OK,-70.4679,72.1814,-1682.78,OK,-76.1988,148.203,-1685.36,,140332477,Port:65535,0,1769564474,618785096,Missing,,,,,,,,,1,OK,42.3843,375.49,-2011.89
4,,140332483,Port:1,0,1769564474,718785097,Enabled,0.733145,0.332017,-0.404819,0.434033,-45.8604,30.5187,-1866.57,0.325872,4,OK,-45.7754,30.4812,-1866.23,OK,-84.2392,7.47756,-1844.5,OK,-72.75,-43.1226,-1826.56,OK,-18.1884,-21.1541,-1854.55,,140332483,Port:2,0,1769564474,718785097,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332483,Port:3,0,1769564474,718785097,Enabled,0.919714,-0.00503525,0.0389905,0.390616,-30.7381,104.292,-1686.69,0.120321,3,OK,-30.599,104.365,-1686.7,OK,-70.4669,72.172,-1682.7,OK,-76.1988,148.197,-1685.34,,140332483,Port:65535,0,1769564474,718785097,Missing,,,,,,,,,1,OK,42.3975,375.527,-2012.11
4,,140332492,Port:1,0,1769564474,868785099,Enabled,0.733047,0.331379,-0.404776,0.434726,-45.8677,30.4962,-1866.56,0.32423,4,OK,-45.7758,30.4742,-1866.23,OK,-84.2449,7.46995,-1844.5,OK,-72.745,-43.1264,-1826.46,OK,-18.2025,-21.139,-1854.43,,140332492,Port:2,0,1769564474,868785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332492,Port:3,0,1769564474,868785099,Enabled,0.91971,-0.005005,0.0389701,0.390627,-30.7426,104.299,-1686.7,0.12028,3,OK,-30.6006,104.367,-1686.72,OK,-70.4691,72.1762,-1682.72,OK,-76.2087,148.21,-1685.36,,140332492,Port:65535,0,1769564474,868785099,Missing,,,,,,,,,1,OK,42.3903,375.514,-2012.03
4,,140332498,Port:1,0,1769564474,968785099,Enabled,0.732946,0.33134,-0.404914,0.434797,-45.8608,30.5022,-1866.58,0.312425,4,OK,-45.7696,30.4761,-1866.27,OK,-84.2468,7.47038,-1844.52,OK,-72.7549,-43.1225,-1826.51,OK,-18.1864,-21.1292,-1854.44,,140332498,Port:2,0,1769564474,968785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332498,Port:3,0,1769564474,968785099,Enabled,0.919721,-0.00504256,0.0388186,0.390616,-30.7401,104.296,-1686.72,0.11737,3,OK,-30.6024,104.364,-1686.73,OK,-70.4662,72.1753,-1682.75,OK,-76.2038,148.207,-1685.39,,140332498,Port:65535,0,1769564474,968785099,Missing,,,,,,,,,1,OK,42.39,375.487,-2011.91
4,,140332504,Port:1,0,1769564475,68785099,Enabled,0.732887,0.331355,-0.405033,0.434775,-45.8562,30.4996,-1866.56,0.300149,4,OK,-45.7632,30.4747,-1866.26,OK,-84.2488,7.45811,-1844.49,OK,-72.7482,-43.1182,-1826.53,OK,-18.2004,-21.1417,-1854.41,,140332504,Port:2,0,1769564475,68785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332504,Port:3,0,1769564475,68785099,Enabled,0.919684,-0.00451694,0.039584,0.390634,-30.7475,104.299,-1686.78,0.122996,3,OK,-30.6032,104.37,-1686.79,OK,-70.4722,72.1756,-1682.75,OK,-76.2097,148.204,-1685.35,,140332504,Port:65535,0,1769564475,68785099,Missing,,,,,,,,,1,OK,42.3806,375.512,-2012.03
4,,140332510,Port:1,0,1769564475,168785100,Enabled,0.732948,0.331544,-0.405063,0.4345,-45.8476,30.5043,-1866.53,0.295563,4,OK,-45.7601,30.4768,-1866.24,OK,-84.2368,7.46091,-1844.45,OK,-72.7544,-43.1173,-1826.54,OK,-18.1966,-21.1532,-1854.41,,140332510,Port:2,0,1769564475,168785100,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332510,Port:3,0,1769564475,168785100,Enabled,0.919706,-0.00487236,0.0391454,0.390621,-30.7391,104.294,-1686.73,0.11869,3,OK,-30.6008,104.364,-1686.74,OK,-70.4641,72.1735,-1682.74,OK,-76.2007,148.201,-1685.36,,140332510,Port:65535,0,1769564475,168785100,Missing,,,,,,,,,1,OK,42.3893,375.528,-2012.08
4,,140332516,Port:1,0,1769564475,268785099,Enabled,0.7334,0.332217,-0.404522,0.433725,-45.8705,30.5115,-1866.56,0.346393,4,OK,-45.7664,30.4748,-1866.21,OK,-84.2409,7.46184,-1844.46,OK,-72.7546,-43.1237,-1826.5,OK,-18.2022,-21.1565,-1854.6,,140332516,Port:2,0,1769564475,268785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332516,Port:3,0,1769564475,268785099,Enabled,0.919738,-0.00466887,0.0387938,0.390583,-30.7405,104.294,-1686.7,0.114944,3,OK,-30.6059,104.362,-1686.71,OK,-70.468,72.1808,-1682.75,OK,-76.1972,148.201,-1685.33,,140332516,Port:65535,0,1769564475,268785099,Missing,,,,,,,,,1,OK,42.391,375.506,-2011.98
4,,140332522,Port:1,0,1769564475,368785099,Enabled,0.733171,0.331735,-0.404705,0.434311,-45.8631,30.5067,-1866.6,0.321581,4,OK,-45.7655,30.4811,-1866.28,OK,-84.2376,7.46446,-1844.51,OK,-72.7508,-43.1223,-1826.54,OK,-18.1936,-21.1415,-1854.53,,140332522,Port:2,0,1769564475,368785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332522,Port:3,0,1769564475,368785099,Enabled,0.919721,-0.00501029,0.0386931,0.39063,-30.7432,104.297,-1686.7,0.112735,3,OK,-30.6094,104.362,-1686.71,OK,-70.466,72.1846,-1682.75,OK,-76.2076,148.199,-1685.37,,140332522,Port:65535,0,1769564475,368785099,Missing,,,,,,,,,1,OK,42.3967,375.512,-2012.05
4,,140332531,Port:1,0,1769564475,518785099,Enabled,0.732911,0.3318,-0.405033,0.434394,-45.8573,30.5183,-1866.52,0.331108,4,OK,-45.7692,30.4833,-1866.18,OK,-84.2351,7.45847,-1844.48,OK,-72.7525,-43.1229,-1826.51,OK,-18.192,-21.1337,-1854.47,,140332531,Port:2,0,1769564475,518785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332531,Port:3,0,1769564475,518785099,Enabled,0.919696,-0.00493547,0.039196,0.390639,-30.7433,104.296,-1686.72,0.119224,3,OK,-30.6034,104.365,-1686.73,OK,-70.4667,72.1735,-1682.72,OK,-76.2084,148.203,-1685.35,,140332531,Port:65535,0,1769564475,518785099,Missing,,,,,,,,,1,OK,42.4019,375.498,-2011.99
4,,140332537,Port:1,0,1769564475,618785099,Enabled,0.733159,0.331592,-0.404661,0.434481,-45.8652,30.5023,-1866.59,0.329222,4,OK,-45.7666,30.4863,-1866.27,OK,-84.242,7.46077,-1844.52,OK,-72.7454,-43.1185,-1826.5,OK,-18.1898,-21.1425,-1854.51,,140332537,Port:2,0,1769564475,618785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140332537,Port:3,0,1769564475,618785099,Enabled,0.919725,-0.00470347,0.0389328,0.390599,-30.7399,104.297,-1686.71,0.118493,3,OK,-30.6015,104.367,-1686.72,OK,-70.4683,72.1791,-1682.74,OK,-76.1985,148.204,-1685.33,,140332537,Port:65535,0,1769564475,618785099,Missing,,,,,,,,,1,OK,42.394,375.497,-2011.92
