#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,32254,Port:10,0,0,0,Enabled,0.349654,-0.1571,0.0518683,0.922156,13.3031,-25.5564,-54.6488,0.0391988,0
,,32262,Port:10,0,0,0,Enabled,0.349853,-0.156882,0.0517982,0.922121,13.3036,-25.5119,-54.6629,0.0389231,0
,,32270,Port:10,0,0,0,Enabled,0.350274,-0.15722,0.0522585,0.921878,13.4095,-25.58,-54.8317,0.0388136,0
,,32286,Port:10,0,0,0,Enabled,0.350576,-0.15708,0.0523243,0.921783,13.5336,-25.7441,-54.8806,0.0386721,0
,,32302,Port:10,0,0,0,Enabled,0.35044,-0.156699,0.0521774,0.921908,13.5876,-25.9174,-54.8559,0.0384518,0
,,32318,Port:10,0,0,0,Enabled,0.350929,-0.156634,0.0520014,0.921743,13.4175,-26.0562,-54.68,0.038149,0
,,32334,Port:10,0,0,0,Enabled,0.350313,-0.156983,0.0509318,0.921978,13.0703,-26.227,-54.4573,0.0389322,0
,,32350,Port:10,0,0,0,Enabled,0.350944,-0.156838,0.0512825,0.921743,12.7675,-26.0409,-54.2169,0.0381951,0
,,32366,Port:10,0,0,0,Enabled,0.350804,-0.157683,0.0509181,0.921672,12.4464,-26.0254,-54.0703,0.0388624,0
,,32382,Port:10,0,0,0,Enabled,0.350808,-0.156981,0.0516709,0.921749,12.6112,-26.0076,-53.8528,0.038079,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,34206,Port:10,0,0,0,Enabled,0.440507,-0.208946,0.0111603,0.873024,20.6903,34.1124,-57.1207,0.0475557,0
,,34214,Port:10,0,0,0,Enabled,0.441114,-0.208894,0.0110355,0.872731,20.8099,34.0472,-57.309,0.0471414,0
,,34222,Port:10,0,0,0,Enabled,0.4409,-0.20885,0.0114051,0.872845,20.9348,33.9924,-57.5141,0.0481429,0
,,34238,Port:10,0,0,0,Enabled,0.442138,-0.209046,0.0117518,0.872167,21.1071,33.8439,-57.9694,0.0473836,0
,,34254,Port:10,0,0,0,Enabled,0.442088,-0.208693,0.0120601,0.872273,21.253,33.6391,-58.3286,0.0476764,0
,,34270,Port:10,0,0,0,Enabled,0.44217,-0.208772,0.011588,0.872219,21.3598,33.6394,-58.5704,0.0479021,0
,,34286,Port:10,0,0,0,Enabled,0.442197,-0.209787,0.0131015,0.87194,21.0078,34.0075,-58.8184,0.0481749,0
,,34302,Port:10,0,0,0,Enabled,0.442748,-0.209662,0.0117343,0.87171,20.8377,33.9997,-58.9296,0.0474088,0
,,34318,Port:10,0,0,0,Enabled,0.442581,-0.210249,0.0122298,0.871647,20.5269,34.2033,-59.2131,0.0472897,0
,,34334,Port:10,0,0,0,Enabled,0.442488,-0.210743,0.0125261,0.871571,20.1273,34.4629,-59.5467,0.0477708,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,36318,Port:10,0,0,0,Enabled,0.384739,-0.691454,-0.385953,0.474244,-96.328,-22.3497,-101.152,0.091899,0
,,36326,Port:10,0,0,0,Enabled,0.384257,-0.691921,-0.384834,0.474863,-95.7944,-22.4322,-101.094,0.0911044,0
,,36334,Port:10,0,0,0,Enabled,0.384941,-0.691396,-0.3855,0.474534,-96.2142,-22.4056,-101.12,0.0898919,0
,,36350,Port:10,0,0,0,Enabled,0.384009,-0.692491,-0.384552,0.474462,-95.8997,-22.5153,-101.281,0.0908918,0
,,36366,Port:10,0,0,0,Enabled,0.384202,-0.692004,-0.384866,0.474761,-95.7553,-22.9053,-101.3,0.0898053,0
,,36382,Port:10,0,0,0,Enabled,0.384428,-0.692493,-0.384075,0.474506,-95.5671,-22.9344,-101.356,0.0900656,0
,,36398,Port:10,0,0,0,Enabled,0.383735,-0.692753,-0.383974,0.474769,-95.6123,-23.0169,-101.521,0.0900095,0
,,36414,Port:10,0,0,0,Enabled,0.38387,-0.692486,-0.384383,0.474719,-95.7408,-23.0247,-101.588,0.0901703,0
,,36430,Port:10,0,0,0,Enabled,0.383298,-0.692945,-0.383871,0.474925,-95.8752,-22.787,-101.609,0.0895056,0
,,36446,Port:10,0,0,0,Enabled,0.382802,-0.693337,-0.383795,0.474813,-96.2107,-22.5725,-101.592,0.0898872,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,37422,Port:10,0,0,0,Enabled,0.301033,-0.525306,-0.19167,0.772461,-69.708,-40.7714,-74.1766,0.108148,0
,,37430,Port:10,0,0,0,Enabled,0.301118,-0.525051,-0.191771,0.772575,-69.6795,-40.8151,-74.2589,0.106665,0
,,37438,Port:10,0,0,0,Enabled,0.300817,-0.525246,-0.191041,0.772742,-69.6293,-40.7988,-74.2732,0.104208,0
,,37454,Port:10,0,0,0,Enabled,0.301656,-0.525593,-0.19085,0.772225,-69.845,-40.8264,-74.2796,0.107525,0
,,37470,Port:10,0,0,0,Enabled,0.30132,-0.525202,-0.191938,0.772353,-70.1133,-41.4323,-74.2153,0.101076,0
,,37486,Port:10,0,0,0,Enabled,0.302384,-0.524116,-0.193485,0.772289,-70.1661,-41.9339,-74.1463,0.100494,0
,,37502,Port:10,0,0,0,Enabled,0.302149,-0.525045,-0.191658,0.772206,-70.1367,-41.6829,-74.2272,0.099917,0
,,37518,Port:10,0,0,0,Enabled,0.302355,-0.524835,-0.191342,0.772346,-69.9726,-41.66,-74.3541,0.100954,0
,,37534,Port:10,0,0,0,Enabled,0.302895,-0.524271,-0.192474,0.772237,-69.9168,-41.6525,-74.4758,0.100128,0
,,37550,Port:10,0,0,0,Enabled,0.303803,-0.524646,-0.191084,0.77197,-69.7417,-41.2471,-74.6329,0.101329,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,38486,Port:10,0,0,0,Enabled,0.620858,-0.382228,-0.29695,0.61665,-71.4401,-59,-65.2061,0.0942694,0
,,38494,Port:10,0,0,0,Enabled,0.619852,-0.382439,-0.296836,0.617586,-71.5423,-58.8767,-65.2785,0.0943395,0
,,38510,Port:10,0,0,0,Enabled,0.619278,-0.383387,-0.296266,0.617847,-71.5588,-58.4958,-65.5687,0.0929411,0
,,38526,Port:10,0,0,0,Enabled,0.61782,-0.383967,-0.295833,0.619154,-71.3773,-58.3985,-65.7946,0.0917733,0
,,38542,Port:10,0,0,0,Enabled,0.617471,-0.384324,-0.295763,0.619313,-71.229,-58.4068,-66.0058,0.0920202,0
,,38558,Port:10,0,0,0,Enabled,0.617004,-0.384631,-0.295341,0.61979,-71.1158,-58.4592,-66.0683,0.0917033,0
,,38574,Port:10,0,0,0,Enabled,0.616136,-0.38517,-0.294889,0.620533,-71.0683,-58.5011,-65.9924,0.0912507,0
,,38590,Port:10,0,0,0,Enabled,0.61512,-0.385873,-0.294539,0.621271,-71.2239,-58.45,-65.907,0.092367,0
,,38606,Port:10,0,0,0,Enabled,0.614354,-0.386348,-0.294576,0.621716,-71.3543,-58.4246,-65.8566,0.0934231,0
,,38622,Port:10,0,0,0,Enabled,0.612949,-0.386911,-0.294086,0.622982,-71.3342,-58.4475,-65.8545,0.092356,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,39918,Port:10,0,0,0,Enabled,0.547828,-0.281499,-0.187966,0.765056,-13.826,-15.638,-68.3343,0.241992,0
,,39926,Port:10,0,0,0,Enabled,0.547558,-0.281531,-0.188082,0.76521,-13.9554,-15.8758,-68.3279,0.246054,0
,,39942,Port:10,0,0,0,Enabled,0.54695,-0.281908,-0.188336,0.765444,-14.1485,-16.0733,-68.3346,0.270496,0
,,39958,Port:10,0,0,0,Enabled,0.546642,-0.281903,-0.188516,0.765621,-14.1966,-16.2166,-68.326,0.284297,0
,,39974,Port:10,0,0,0,Enabled,0.546508,-0.281908,-0.188283,0.765772,-14.1985,-16.3234,-68.3897,0.263929,0
,,39982,Port:10,0,0,0,Enabled,0.546214,-0.282863,-0.188282,0.76563,-14.2347,-16.1872,-68.4722,0.272071,0
,,40006,Port:10,0,0,0,Enabled,0.54639,-0.282726,-0.188167,0.765583,-14.3405,-16.2652,-68.735,0.273862,0
,,40014,Port:10,0,0,0,Enabled,0.546052,-0.282862,-0.188379,0.765722,-14.3631,-16.2659,-68.8441,0.280814,0
,,40038,Port:10,0,0,0,Enabled,0.545804,-0.283138,-0.188174,0.765847,-14.222,-16.1458,-69.11,0.282019,0
,,40054,Port:10,0,0,0,Enabled,0.547168,-0.283553,-0.188067,0.764746,-14.1759,-15.9167,-69.268,0.256877,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,40814,Port:10,0,0,0,Enabled,0.574673,-0.266901,-0.195068,0.748641,-14.619,-42.1521,-70.8918,0.503303,0
,,40822,Port:10,0,0,0,Enabled,0.573473,-0.266969,-0.195407,0.749448,-14.0088,-39.329,-72.6519,0.617832,0
,,40838,Port:10,0,0,0,Enabled,0.573396,-0.268725,-0.193596,0.74935,-14.0876,-39.9908,-72.3326,0.540569,0
,,40854,Port:10,0,0,0,Enabled,0.571727,-0.270532,-0.19203,0.750377,-13.757,-39.9218,-72.5067,0.535024,0
,,40870,Port:10,0,0,0,Enabled,0.572298,-0.273634,-0.189109,0.749558,-14.081,-41.7678,-71.5792,0.406575,0
,,40886,Port:10,0,0,0,Enabled,0.573623,-0.273164,-0.190237,0.74843,-14.3284,-43.1123,-70.669,0.386193,0
,,40902,Port:10,0,0,0,Enabled,0.573589,-0.274188,-0.189363,0.748304,-14.298,-43.4127,-70.5308,0.341366,0
,,40918,Port:10,0,0,0,Enabled,0.573021,-0.276507,-0.187264,0.748414,-14.1079,-42.9428,-71.2371,0.342999,0
,,40934,Port:10,0,0,0,Enabled,0.572836,-0.274712,-0.188787,0.748834,-14.0586,-43.5996,-70.6794,0.333567,0
,,40950,Port:10,0,0,0,Enabled,0.572685,-0.276303,-0.187916,0.748583,-14.0559,-43.8294,-70.5306,0.318663,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,41918,Port:10,0,0,0,Enabled,0.564568,-0.296839,-0.16208,0.752914,3.06461,-85.3668,-66.5989,0.0165294,0
,,41926,Port:10,0,0,0,Enabled,0.564806,-0.296853,-0.162158,0.752714,3.0456,-85.2954,-66.6136,0.0162802,0
,,41942,Port:10,0,0,0,Enabled,0.565066,-0.296773,-0.162148,0.752552,3.03643,-85.1677,-66.6892,0.0163668,0
,,41958,Port:10,0,0,0,Enabled,0.564731,-0.296861,-0.161941,0.752814,3.05876,-85.1369,-66.7948,0.0458958,0
,,41974,Port:10,0,0,0,Enabled,0.565227,-0.296643,-0.162067,0.7525,2.91298,-84.8489,-66.8422,0.0156986,0
,,41990,Port:10,0,0,0,Enabled,0.565352,-0.29633,-0.162161,0.752509,2.63198,-84.731,-66.8914,0.0158588,0
,,42006,Port:10,0,0,0,Enabled,0.563628,-0.296928,-0.163554,0.753265,2.0709,-84.5627,-67.1642,0.0176545,0
,,42022,Port:10,0,0,0,Enabled,0.563799,-0.297212,-0.163002,0.753144,2.09639,-84.5511,-67.2683,0.0181312,0
,,42038,Port:10,0,0,0,Enabled,0.562739,-0.297691,-0.162874,0.753775,2.02254,-84.6236,-67.4017,0.018331,0
,,42054,Port:10,0,0,0,Enabled,0.563961,-0.297077,-0.163855,0.752891,1.83139,-84.7002,-67.5938,0.0153977,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,42990,Port:10,0,0,0,Missing,,,,,,,,,0
,,42998,Port:10,0,0,0,Enabled,0.554775,-0.299533,-0.113032,0.767938,31.3828,-35.5885,-78.6394,0.0606623,0
,,43014,Port:10,0,0,0,Enabled,0.554414,-0.299596,-0.113594,0.768091,31.0607,-35.8377,-78.723,0.0605539,0
,,43030,Port:10,0,0,0,Enabled,0.554442,-0.299687,-0.113281,0.768082,30.7516,-35.9777,-78.704,0.0607159,0
,,43046,Port:10,0,0,0,Enabled,0.554752,-0.299583,-0.11414,0.767771,30.3879,-36.1968,-78.647,0.0596464,0
