#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,,,,
,,649708672,Port:1,0,1746518077,868835963,Enabled,0.137984,0.473836,-0.58487,0.643714,68.2781,52.2191,-1388.09,0.177313,4,OK,-74.2899,38.6043,-1479.63,OK,-76.6156,-5.55334,-1502.56,OK,-34.8386,-38.983,-1491.27,OK,-23.5612,15.1369,-1457.22,,649708672,Port:2,0,1746518077,868835963,Enabled,0.949593,0.0599602,0.0118536,0.307468,-114.001,-121.594,-1303.28,0.17425,3,OK,-113.783,-121.702,-1303.3,OK,-158.869,-146.165,-1303.23,OK,-150.953,-70.7529,-1295.61,,649708672,Port:65535,0,1746518077,868835963,Missing,,,,,,,,,0,,,,
,,649708675,Port:1,0,1746518077,918835963,Enabled,0.138466,0.473581,-0.585289,0.643417,68.1302,51.977,-1388.07,0.187623,4,OK,-74.4819,38.6036,-1479.57,OK,-76.8913,-5.57298,-1502.49,OK,-35.1648,-39.0549,-1491.28,OK,-23.7898,15.0717,-1457.15,,649708675,Port:2,0,1746518077,918835963,Enabled,0.94961,0.059776,0.0121248,0.307442,-114,-121.594,-1303.27,0.173244,3,OK,-113.784,-121.702,-1303.3,OK,-158.867,-146.163,-1303.2,OK,-150.947,-70.749,-1295.61,,649708675,Port:65535,0,1746518077,918835963,Missing,,,,,,,,,0,,,,
,,649708678,Port:1,0,1746518077,968835963,Enabled,0.1387,0.473613,-0.585373,0.643266,67.9917,51.8526,-1388.18,0.192121,4,OK,-74.662,38.5338,-1479.62,OK,-77.1015,-5.63172,-1502.52,OK,-35.3856,-39.1285,-1491.34,OK,-23.9731,14.9891,-1457.21,,649708678,Port:2,0,1746518077,968835963,Enabled,0.949583,0.0601651,0.0121506,0.30745,-114.003,-121.595,-1303.3,0.174517,3,OK,-113.786,-121.707,-1303.32,OK,-158.868,-146.172,-1303.23,OK,-150.95,-70.7463,-1295.59,,649708678,Port:65535,0,1746518077,968835963,Missing,,,,,,,,,0,,,,
,,649708681,Port:1,0,1746518078,18835963,Enabled,0.139169,0.473778,-0.585435,0.642987,67.9832,51.8383,-1388.45,0.182145,4,OK,-74.7769,38.5968,-1479.74,OK,-77.2542,-5.54749,-1502.65,OK,-35.533,-39.0781,-1491.48,OK,-24.0817,15.0004,-1457.42,,649708681,Port:2,0,1746518078,18835963,Enabled,0.949597,0.0598916,0.012,0.307464,-114.003,-121.591,-1303.28,0.175346,3,OK,-113.784,-121.699,-1303.31,OK,-158.871,-146.16,-1303.22,OK,-150.954,-70.7492,-1295.62,,649708681,Port:65535,0,1746518078,18835963,Missing,,,,,,,,,0,,,,
,,649708684,Port:1,0,1746518078,68835963,Enabled,0.138956,0.474183,-0.585566,0.642615,68.1092,51.8781,-1388.49,0.175007,4,OK,-74.6883,38.647,-1479.69,OK,-77.1546,-5.49115,-1502.68,OK,-35.4325,-38.9991,-1491.55,OK,-23.9849,15.0693,-1457.45,,649708684,Port:2,0,1746518078,68835963,Enabled,0.949603,0.0598413,0.0120562,0.307453,-114,-121.596,-1303.29,0.173812,3,OK,-113.782,-121.702,-1303.31,OK,-158.868,-146.167,-1303.22,OK,-150.948,-70.752,-1295.62,,649708684,Port:65535,0,1746518078,68835963,Missing,,,,,,,,,0,,,,
,,649708687,Port:1,0,1746518078,118835963,Enabled,0.138942,0.474215,-0.58557,0.642591,68.2644,52.0061,-1388.32,0.157991,4,OK,-74.5393,38.7805,-1479.5,OK,-77.0239,-5.37022,-1502.54,OK,-35.2722,-38.8742,-1491.36,OK,-23.812,15.2017,-1457.27,,649708687,Port:2,0,1746518078,118835963,Enabled,0.949613,0.0596682,0.011843,0.307466,-113.999,-121.596,-1303.27,0.172092,3,OK,-113.785,-121.704,-1303.29,OK,-158.865,-146.168,-1303.22,OK,-150.951,-70.7488,-1295.63,,649708687,Port:65535,0,1746518078,118835963,Missing,,,,,,,,,0,,,,
,,649708690,Port:1,0,1746518078,168835963,Enabled,0.139331,0.473896,-0.585252,0.643032,68.4951,52.2234,-1388.07,0.164992,4,OK,-74.2804,38.9266,-1479.28,OK,-76.773,-5.24065,-1502.24,OK,-35.0582,-38.7509,-1491.03,OK,-23.5956,15.3674,-1457.01,,649708690,Port:2,0,1746518078,168835963,Enabled,0.949583,0.0600126,0.0120268,0.307482,-114.003,-121.591,-1303.29,0.171333,3,OK,-113.79,-121.7,-1303.31,OK,-158.866,-146.166,-1303.22,OK,-150.953,-70.7495,-1295.6,,649708690,Port:65535,0,1746518078,168835963,Missing,,,,,,,,,0,,,,
,,649708693,Port:1,0,1746518078,218835963,Enabled,0.139553,0.473682,-0.585144,0.643239,68.7159,52.3878,-1387.8,0.158424,4,OK,-74.0503,39.0845,-1479.02,OK,-76.5636,-5.09688,-1501.97,OK,-34.8509,-38.6137,-1490.71,OK,-23.3648,15.5218,-1456.73,,649708693,Port:2,0,1746518078,218835963,Enabled,0.949587,0.0599119,0.0120806,0.307489,-114.004,-121.592,-1303.28,0.177211,3,OK,-113.782,-121.702,-1303.31,OK,-158.871,-146.166,-1303.21,OK,-150.958,-70.7501,-1295.61,,649708693,Port:65535,0,1746518078,218835963,Missing,,,,,,,,,0,,,,
