ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,370694020,Port:1,0,1773403833,668691791,Enabled,0.644899,0.449828,-0.471668,0.399111,-126.304,64.1066,-1746.44,0.216081,4,OK,-126.116,63.9643,-1746.58,OK,-163.473,32.6736,-1734.29,OK,-148.314,-20.0569,-1733.29,OK,-94.7901,13.3633,-1749.32,,370694020,Port:2,0,1773403833,668691791,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694020,Port:3,0,1773403833,668691791,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694020,Port:65535,0,1773403833,668691791,Missing,,,,,,,,,0
4,,370694023,Port:1,0,1773403833,718691791,Enabled,0.645535,0.447643,-0.472749,0.39926,-125.731,64.9389,-1747.17,0.234977,4,OK,-125.549,64.8114,-1747.36,OK,-163.023,33.6665,-1734.99,OK,-148.048,-19.1226,-1733.9,OK,-94.3986,14.0712,-1749.79,,370694023,Port:2,0,1773403833,718691791,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694023,Port:3,0,1773403833,718691791,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694023,Port:65535,0,1773403833,718691791,Missing,,,,,,,,,0
4,,370694026,Port:1,0,1773403833,768691792,Enabled,0.646508,0.446391,-0.472709,0.399135,-125.288,65.8614,-1748.15,0.242614,4,OK,-125.106,65.7272,-1748.34,OK,-162.64,34.692,-1735.88,OK,-147.797,-18.1251,-1734.67,OK,-94.0467,14.9361,-1750.65,,370694026,Port:2,0,1773403833,768691792,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694026,Port:3,0,1773403833,768691792,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694026,Port:65535,0,1773403833,768691792,Missing,,,,,,,,,0
4,,370694029,Port:1,0,1773403833,818691791,Enabled,0.647308,0.444306,-0.472653,0.400229,-125.136,66.6293,-1749.33,0.231778,4,OK,-124.952,66.4955,-1749.51,OK,-162.544,35.559,-1737.01,OK,-147.76,-17.2711,-1735.51,OK,-93.9593,15.6561,-1751.56,,370694029,Port:2,0,1773403833,818691791,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694029,Port:3,0,1773403833,818691791,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694029,Port:65535,0,1773403833,818691791,Missing,,,,,,,,,0
4,,370694032,Port:1,0,1773403833,868691790,Enabled,0.646675,0.443274,-0.47412,0.400662,-125.302,67.0542,-1750.15,0.222948,4,OK,-125.117,66.9283,-1750.32,OK,-162.789,36.0269,-1737.99,OK,-148.082,-16.8231,-1736.4,OK,-94.179,16.0423,-1752.27,,370694032,Port:2,0,1773403833,868691790,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694032,Port:3,0,1773403833,868691790,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694032,Port:65535,0,1773403833,868691790,Missing,,,,,,,,,0
4,,370694035,Port:1,0,1773403833,918691790,Enabled,0.646002,0.443249,-0.474809,0.400959,-125.353,67.1527,-1750.38,0.236127,4,OK,-125.166,67.0201,-1750.57,OK,-162.858,36.1126,-1738.29,OK,-148.126,-16.7445,-1736.76,OK,-94.2147,16.1523,-1752.47,,370694035,Port:2,0,1773403833,918691790,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694035,Port:3,0,1773403833,918691790,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694035,Port:65535,0,1773403833,918691790,Missing,,,,,,,,,0
4,,370694038,Port:1,0,1773403833,968691791,Enabled,0.647001,0.442603,-0.474025,0.400989,-125.084,67.2625,-1750.28,0.215587,4,OK,-124.907,67.1272,-1750.44,OK,-162.587,36.283,-1738.09,OK,-147.888,-16.5824,-1736.41,OK,-93.9862,16.2279,-1752.31,,370694038,Port:2,0,1773403833,968691791,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694038,Port:3,0,1773403833,968691791,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694038,Port:65535,0,1773403833,968691791,Missing,,,,,,,,,0
4,,370694041,Port:1,0,1773403834,18691791,Enabled,0.647445,0.442667,-0.473102,0.401291,-125.008,67.2359,-1750.21,0.216405,4,OK,-124.826,67.1037,-1750.37,OK,-162.467,36.2313,-1737.93,OK,-147.725,-16.6141,-1736.19,OK,-93.8632,16.234,-1752.22,,370694041,Port:2,0,1773403834,18691791,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694041,Port:3,0,1773403834,18691791,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694041,Port:65535,0,1773403834,18691791,Missing,,,,,,,,,0
4,,370694044,Port:1,0,1773403834,68691791,Enabled,0.64792,0.442334,-0.472696,0.40137,-125.033,67.453,-1750.46,0.215171,4,OK,-124.85,67.3163,-1750.61,OK,-162.495,36.4726,-1738.12,OK,-147.765,-16.3732,-1736.31,OK,-93.8956,16.4448,-1752.43,,370694044,Port:2,0,1773403834,68691791,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694044,Port:3,0,1773403834,68691791,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694044,Port:65535,0,1773403834,68691791,Missing,,,,,,,,,0
4,,370694047,Port:1,0,1773403834,118691790,Enabled,0.646996,0.442022,-0.47453,0.401041,-124.973,67.9099,-1750.79,0.227305,4,OK,-124.788,67.7765,-1750.97,OK,-162.523,36.9618,-1738.62,OK,-147.88,-15.9105,-1736.92,OK,-93.9153,16.8538,-1752.76,,370694047,Port:2,0,1773403834,118691790,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370694047,Port:3,0,1773403834,118691790,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370694047,Port:65535,0,1773403834,118691790,Missing,,,,,,,,,0
