Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.933786,-0.0237416,0.0561201,0.352605,-73.8997,146.433,-1515.01
2,0.933796,-0.0236278,0.0560014,0.352607,-73.899,146.432,-1515.01
3,0.933776,-0.0237265,0.0562461,0.352614,-73.8991,146.434,-1515.02
4,0.933787,-0.0236035,0.0560635,0.35262,-73.8991,146.433,-1515
5,0.933778,-0.0236574,0.0563258,0.3526,-73.8992,146.43,-1515.02
6,0.933775,-0.0237594,0.0562378,0.352616,-73.9006,146.431,-1515.01
7,0.933788,-0.0236376,0.0561473,0.352603,-73.8988,146.432,-1515.01
8,0.933773,-0.0236251,0.0563,0.352618,-73.9012,146.433,-1515.01
9,0.933782,-0.0236298,0.0561636,0.352617,-73.8999,146.433,-1515
10,0.933797,-0.0236472,0.0560092,0.3526,-73.9014,146.432,-1515
11,0.933789,-0.0235578,0.0561012,0.352614,-73.9006,146.433,-1515
12,0.933785,-0.0236373,0.0560811,0.35262,-73.9025,146.434,-1515
13,0.933781,-0.0238141,0.0561412,0.352611,-73.9026,146.432,-1515.01
14,0.933795,-0.0235555,0.0561096,0.352597,-73.9007,146.429,-1515.01
15,0.933782,-0.0237488,0.0560584,0.352625,-73.8995,146.432,-1515
16,0.93379,-0.0236894,0.0561407,0.352594,-73.901,146.428,-1515
17,0.933795,-0.0236937,0.0559362,0.352615,-73.8985,146.43,-1514.98
18,0.933786,-0.0236634,0.0560084,0.352628,-73.8992,146.431,-1514.99
19,0.93378,-0.0236133,0.0563249,0.352599,-73.9015,146.429,-1515.01
20,0.933778,-0.0236528,0.0561877,0.352621,-73.9009,146.431,-1515
21,0.933781,-0.023616,0.0561841,0.352616,-73.8996,146.429,-1515
22,0.933785,-0.0237321,0.0561427,0.352606,-73.9001,146.429,-1515
23,0.933788,-0.0236263,0.0561115,0.352608,-73.8993,146.43,-1514.99
24,0.933787,-0.023617,0.0561537,0.352605,-73.9016,146.429,-1515
25,0.933777,-0.0236456,0.0561983,0.352623,-73.9021,146.428,-1515
26,0.933781,-0.0236325,0.0561969,0.352613,-73.9013,146.429,-1515
27,0.933781,-0.023694,0.056295,0.352594,-73.8997,146.427,-1514.99
28,0.933781,-0.0235966,0.0562854,0.352602,-73.9005,146.428,-1515
29,0.933784,-0.0236011,0.0562509,0.352599,-73.9021,146.43,-1515
30,0.933792,-0.0236345,0.056101,0.352601,-73.9021,146.43,-1514.99
