ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,370778119,Port:1,0,1773405235,318614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778119,Port:2,0,1773405235,318614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778119,Port:3,0,1773405235,318614663,Enabled,0.734597,0.0671179,-0.341466,-0.582463,-41.6749,30.9836,-1740.91,0.326678,4,OK,-41.7743,30.7903,-1740.76,OK,6.17842,67.8458,-1719.07,OK,-48.5139,100.168,-1773.62,OK,-2.98204,111.261,-1743,,370778119,Port:65535,0,1773405235,318614663,Missing,,,,,,,,,0
4,,370778122,Port:1,0,1773405235,368614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778122,Port:2,0,1773405235,368614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778122,Port:3,0,1773405235,368614663,Enabled,0.734588,0.0673456,-0.341488,-0.582435,-41.6443,30.9976,-1740.94,0.326492,4,OK,-41.7488,30.8085,-1740.81,OK,6.20756,67.8643,-1719.05,OK,-48.5008,100.186,-1773.64,OK,-2.95769,111.281,-1743.01,,370778122,Port:65535,0,1773405235,368614663,Missing,,,,,,,,,0
4,,370778125,Port:1,0,1773405235,418614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778125,Port:2,0,1773405235,418614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778125,Port:3,0,1773405235,418614663,Enabled,0.734425,0.066855,-0.342032,-0.582379,-41.7498,31.2172,-1741.23,0.298915,4,OK,-41.8574,31.0284,-1741.11,OK,6.08479,68.1125,-1719.39,OK,-48.517,100.346,-1773.97,OK,-3.03143,111.472,-1743.41,,370778125,Port:65535,0,1773405235,418614663,Missing,,,,,,,,,0
4,,370778128,Port:1,0,1773405235,468614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778128,Port:2,0,1773405235,468614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778128,Port:3,0,1773405235,468614663,Enabled,0.735106,0.066292,-0.343602,-0.580658,-41.7687,31.3375,-1741.49,0.326454,4,OK,-41.8776,31.1425,-1741.36,OK,5.96394,68.429,-1719.72,OK,-48.7132,100.337,-1774.56,OK,-3.25869,111.696,-1743.92,,370778128,Port:65535,0,1773405235,468614663,Missing,,,,,,,,,0
4,,370778131,Port:1,0,1773405235,518614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778131,Port:2,0,1773405235,518614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778131,Port:3,0,1773405235,518614663,Enabled,0.737404,0.0652426,-0.343773,-0.577753,-41.6908,31.4628,-1741.72,0.312966,4,OK,-41.8029,31.2704,-1741.61,OK,5.85802,68.9545,-1720.19,OK,-49.1341,100.277,-1775.03,OK,-3.68088,112.034,-1744.57,,370778131,Port:65535,0,1773405235,518614663,Missing,,,,,,,,,0
4,,370778134,Port:1,0,1773405235,568614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778134,Port:2,0,1773405235,568614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778134,Port:3,0,1773405235,568614663,Enabled,0.739369,0.0637823,-0.346308,-0.573879,-41.7262,31.9102,-1742,0.316835,4,OK,-41.8439,31.7287,-1741.87,OK,5.54932,69.8932,-1720.76,OK,-49.5802,100.389,-1775.9,OK,-4.25068,112.707,-1745.41,,370778134,Port:65535,0,1773405235,568614663,Missing,,,,,,,,,0
4,,370778137,Port:1,0,1773405235,618614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778137,Port:2,0,1773405235,618614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778137,Port:3,0,1773405235,618614663,Enabled,0.744445,0.0622913,-0.343995,-0.568849,-41.3039,31.6737,-1741.62,0.314622,4,OK,-41.4081,31.4811,-1741.48,OK,5.64349,70.3122,-1720.88,OK,-50.2694,99.9355,-1775.68,OK,-4.88393,112.929,-1745.65,,370778137,Port:65535,0,1773405235,618614663,Missing,,,,,,,,,0
4,,370778140,Port:1,0,1773405235,668614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778140,Port:2,0,1773405235,668614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778140,Port:3,0,1773405235,668614663,Enabled,0.749158,0.0590841,-0.345282,-0.562185,-41.2425,32.0377,-1742.04,0.302898,4,OK,-41.3422,31.8356,-1741.91,OK,5.26036,71.5175,-1721.95,OK,-51.2041,99.7803,-1776.8,OK,-5.89541,113.713,-1747.18,,370778140,Port:65535,0,1773405235,668614663,Missing,,,,,,,,,0
4,,370778143,Port:1,0,1773405235,718614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778143,Port:2,0,1773405235,718614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778143,Port:3,0,1773405235,718614663,Enabled,0.757905,0.0559471,-0.341367,-0.5531,-40.5773,31.2988,-1741.41,0.293626,4,OK,-40.67,31.118,-1741.31,OK,5.34731,71.9313,-1722.23,OK,-52.5183,98.5288,-1776.5,OK,-7.09756,113.667,-1747.7,,370778143,Port:65535,0,1773405235,718614663,Missing,,,,,,,,,0
4,,370778146,Port:1,0,1773405235,768614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778146,Port:2,0,1773405235,768614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778146,Port:3,0,1773405235,768614663,Enabled,0.766532,0.0516016,-0.337259,-0.544078,-39.8609,30.8925,-1740.84,0.293314,4,OK,-39.9527,30.7056,-1740.73,OK,5.51407,72.6572,-1722.78,OK,-53.7663,97.5322,-1776.37,OK,-8.19024,113.86,-1748.38,,370778146,Port:65535,0,1773405235,768614663,Missing,,,,,,,,,0
4,,370778149,Port:1,0,1773405235,818614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778149,Port:2,0,1773405235,818614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778149,Port:3,0,1773405235,818614663,Enabled,0.77539,0.0406404,-0.334681,-0.533955,-39.452,31.8712,-1740.68,0.277149,4,OK,-39.5213,31.6714,-1740.58,OK,5.46614,74.8184,-1724.44,OK,-55.2447,97.4742,-1777.24,OK,-9.48677,115.206,-1750.76,,370778149,Port:65535,0,1773405235,818614663,Missing,,,,,,,,,0
4,,370778152,Port:1,0,1773405235,868614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778152,Port:2,0,1773405235,868614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778152,Port:3,0,1773405235,868614663,Enabled,0.782666,0.0309555,-0.332811,-0.525084,-39.452,32.9833,-1740.39,0.284864,4,OK,-39.5155,32.7811,-1740.3,OK,5.07557,76.9027,-1725.78,OK,-56.8715,97.6147,-1777.93,OK,-10.9591,116.552,-1752.64,,370778152,Port:65535,0,1773405235,868614663,Missing,,,,,,,,,0
4,,370778155,Port:1,0,1773405235,918614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778155,Port:2,0,1773405235,918614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778155,Port:3,0,1773405235,918614663,Enabled,0.785992,0.0284881,-0.333722,-0.519649,-39.9747,33.5776,-1739.97,0.299406,4,OK,-40.0251,33.3668,-1739.88,OK,4.1526,78.0663,-1725.84,OK,-58.1865,97.7232,-1778.02,OK,-12.39,117.322,-1753.04,,370778155,Port:65535,0,1773405235,918614663,Missing,,,,,,,,,0
4,,370778158,Port:1,0,1773405235,968614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778158,Port:2,0,1773405235,968614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778158,Port:3,0,1773405235,968614663,Enabled,0.790306,0.0222711,-0.334491,-0.51287,-40.52,35.1013,-1739.67,0.290629,4,OK,-40.5805,34.8947,-1739.58,OK,3.21173,80.2871,-1726.59,OK,-59.7043,98.4303,-1778.54,OK,-13.9594,118.94,-1754.23,,370778158,Port:65535,0,1773405235,968614663,Missing,,,,,,,,,0
4,,370778161,Port:1,0,1773405236,18614662,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778161,Port:2,0,1773405236,18614662,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778161,Port:3,0,1773405236,18614662,Enabled,0.795604,0.0157331,-0.334725,-0.504704,-41.2663,36.6449,-1739.59,0.311915,4,OK,-41.3113,36.4383,-1739.51,OK,1.97156,82.6287,-1727.6,OK,-61.7286,99.0824,-1779.29,OK,-16.0317,120.584,-1755.8,,370778161,Port:65535,0,1773405236,18614662,Missing,,,,,,,,,0
4,,370778164,Port:1,0,1773405236,68614662,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778164,Port:2,0,1773405236,68614662,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778164,Port:3,0,1773405236,68614662,Enabled,0.798231,0.00378557,-0.33774,-0.498743,-42.3308,39.6133,-1739.79,0.288023,4,OK,-42.3858,39.4125,-1739.71,OK,0.779713,86.0771,-1729.45,OK,-63.3516,100.885,-1780.89,OK,-17.5868,123.208,-1758.4,,370778164,Port:65535,0,1773405236,68614662,Missing,,,,,,,,,0
4,,370778167,Port:1,0,1773405236,118614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778167,Port:2,0,1773405236,118614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778167,Port:3,0,1773405236,118614663,Enabled,0.803083,-0.0145364,-0.335727,-0.49207,-42.4764,42.9642,-1738.93,0.293561,4,OK,-42.5208,42.7539,-1738.82,OK,0.715778,89.8488,-1731.14,OK,-64.7267,102.858,-1781.44,OK,-18.4985,125.988,-1760.79,,370778167,Port:65535,0,1773405236,118614663,Missing,,,,,,,,,0
4,,370778170,Port:1,0,1773405236,168614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778170,Port:2,0,1773405236,168614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778170,Port:3,0,1773405236,168614663,Enabled,0.805123,-0.0260973,-0.334959,-0.488772,-42.7366,45.7398,-1737.65,0.29199,4,OK,-42.783,45.5403,-1737.54,OK,0.581901,92.747,-1731.39,OK,-65.5603,104.782,-1781.01,OK,-19.0447,128.289,-1761.5,,370778170,Port:65535,0,1773405236,168614663,Missing,,,,,,,,,0
4,,370778173,Port:1,0,1773405236,218614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778173,Port:2,0,1773405236,218614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778173,Port:3,0,1773405236,218614663,Enabled,0.805196,-0.0315874,-0.337021,-0.486907,-43.5909,47.7368,-1736.11,0.303079,4,OK,-43.6254,47.5223,-1735.95,OK,-0.23204,94.7775,-1730.55,OK,-66.4933,106.281,-1780.19,OK,-19.9156,129.993,-1760.96,,370778173,Port:65535,0,1773405236,218614663,Missing,,,,,,,,,0
4,,370778176,Port:1,0,1773405236,268614662,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778176,Port:2,0,1773405236,268614662,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778176,Port:3,0,1773405236,268614662,Enabled,0.805533,-0.0334154,-0.338876,-0.484936,-44.6292,48.8747,-1734.21,0.319501,4,OK,-44.6556,48.6553,-1734.04,OK,-1.37078,96.0375,-1728.9,OK,-67.6446,107.113,-1778.69,OK,-21.1414,131.038,-1759.54,,370778176,Port:65535,0,1773405236,268614662,Missing,,,,,,,,,0
4,,370778179,Port:1,0,1773405236,318614662,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778179,Port:2,0,1773405236,318614662,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778179,Port:3,0,1773405236,318614662,Enabled,0.806276,-0.0330976,-0.339261,-0.483452,-45.6312,49.6095,-1732.08,0.31366,4,OK,-45.6555,49.4058,-1731.91,OK,-2.51632,96.9294,-1726.79,OK,-68.8519,107.731,-1776.64,OK,-22.4037,131.81,-1757.44,,370778179,Port:65535,0,1773405236,318614662,Missing,,,,,,,,,0
4,,370778182,Port:1,0,1773405236,368614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778182,Port:2,0,1773405236,368614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778182,Port:3,0,1773405236,368614663,Enabled,0.809487,-0.0335996,-0.335499,-0.480669,-46.3057,50.1277,-1729.23,0.312591,4,OK,-46.3312,49.908,-1729.07,OK,-3.50354,97.7417,-1724.27,OK,-70.2945,108.134,-1773.47,OK,-23.8856,132.534,-1754.74,,370778182,Port:65535,0,1773405236,368614663,Missing,,,,,,,,,0
4,,370778185,Port:1,0,1773405236,418614663,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778185,Port:2,0,1773405236,418614663,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778185,Port:3,0,1773405236,418614663,Enabled,0.810212,-0.0343622,-0.335358,-0.479489,-47.4441,51.3058,-1726.81,0.304936,4,OK,-47.4735,51.091,-1726.65,OK,-4.73051,99.0282,-1722.01,OK,-71.6271,109.174,-1771.13,OK,-25.2281,133.704,-1752.49,,370778185,Port:65535,0,1773405236,418614663,Missing,,,,,,,,,0
4,,370778188,Port:1,0,1773405236,468614662,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370778188,Port:2,0,1773405236,468614662,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370778188,Port:3,0,1773405236,468614662,Enabled,0.810648,-0.0343269,-0.33566,-0.478543,-48.5913,52.4697,-1724.58,0.312637,4,OK,-48.6205,52.2679,-1724.4,OK,-5.95193,100.271,-1719.83,OK,-72.9004,110.248,-1768.99,OK,-26.5389,134.892,-1750.29,,370778188,Port:65535,0,1773405236,468614662,Missing,,,,,,,,,0
