Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.567544,0.544874,-0.591284,-0.177173,-63.2233,20.6534,-178.623
2,0.596976,0.196905,-0.294636,-0.719748,-57.5136,-4.73779,-85.4272
3,0.43244,0.608429,-0.642887,-0.171774,-69.8728,-38.0491,-205.929
4,0.586372,0.356426,-0.398476,-0.60856,-46.0471,34.0035,-92
5,0.528589,0.718277,-0.366401,-0.265372,-106.639,34.0925,-98.4253
6,0.675598,0.266756,-0.38136,-0.571815,-46.7527,54.9179,-101.507
7,0.661384,0.388436,-0.358988,-0.531805,-58.6209,8.92295,-97.1037
8,0.808078,0.250062,-0.221426,-0.485232,-57.4745,-22.7646,-112.879
9,0.61806,0.570264,-0.420854,-0.34012,-76.9991,35.8528,-133.014
10,0.571666,0.449374,-0.613028,-0.308962,-77.1038,37.5453,-112.191
11,0.572657,0.599261,-0.522773,-0.199145,-97.7933,-38.4179,-156.59
12,0.624013,0.534811,-0.494425,-0.283069,-112.79,-19.9654,-155.372
13,0.526299,0.431369,-0.539617,-0.495725,-86.1625,20.9195,-168.382
14,0.712961,0.263183,-0.230933,-0.607529,-57.7185,-31.6793,-104.613
15,0.634177,0.475068,-0.528919,-0.303933,-88.576,27.6591,-135.678
16,0.325377,0.21677,-0.555504,-0.733864,16.4555,23.016,-120.492
17,0.628904,0.681804,-0.305363,-0.215351,-63.4282,-10.3367,-146.166
18,0.670672,0.231663,-0.285664,-0.644149,-70.2701,16.29,-121.529
19,0.524352,0.497579,-0.633005,-0.277082,-77.04,15.3996,-169.181
20,0.327462,0.351884,-0.59147,-0.647387,39.2703,-65.6964,-178.75
21,0.508138,0.213124,-0.497692,-0.669833,-51.0793,29.7239,-128.899
22,0.597828,0.689944,-0.372081,-0.167735,-107.325,-21.1492,-132.631
23,0.613693,0.468999,-0.465457,-0.432169,-61.5261,16.4562,-85.987
24,0.761896,0.156625,-0.283043,-0.561133,-74.0007,56.5885,-82.69
25,0.68687,0.521167,-0.478447,-0.166381,-103.799,-22.4559,-131.081
26,0.480577,0.213727,-0.543616,-0.654101,-11.9279,17.0842,-110.157
27,0.663965,0.145787,-0.286325,-0.675214,-53.5583,17.3469,-134.879
28,0.602421,0.62788,-0.421768,-0.254887,-86.2592,43.5167,-107.065
29,0.4446,0.339195,-0.530371,-0.637168,8.80901,-45.1062,-160.766
30,0.636209,0.618423,-0.440995,-0.135333,-85.9495,17.4461,-152.617
