ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,370661554,Port:1,0,1773403292,568808412,Enabled,0.514576,0.363231,-0.652779,0.420898,-85.5051,30.6266,-1780.83,0.15661,4,OK,-85.3633,30.5218,-1780.86,OK,-126.541,3.53427,-1790.57,OK,-117.687,-50.5081,-1791.08,OK,-60.1897,-23.5235,-1777.71,,370661554,Port:2,0,1773403292,568808412,Enabled,0.933872,-0.0208533,0.0557351,0.352621,-78.1795,142.475,-1560.19,0.139728,3,OK,-78.0048,142.528,-1560.21,OK,-120.267,113.839,-1554.15,OK,-119.993,189.921,-1560.17,,370661554,Port:3,0,1773403292,568808412,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661554,Port:65535,0,1773403292,568808412,Missing,,,,,,,,,0
4,,370661557,Port:1,0,1773403292,618808412,Enabled,0.515696,0.362223,-0.652809,0.420348,-84.7126,31.2152,-1781.42,0.155719,4,OK,-84.5781,31.106,-1781.47,OK,-125.831,4.24034,-1791.07,OK,-117.134,-49.8451,-1791.57,OK,-59.5465,-23.0043,-1778.25,,370661557,Port:2,0,1773403292,618808412,Enabled,0.933879,-0.0211273,0.0553557,0.352646,-78.1769,142.474,-1560.17,0.137309,3,OK,-78.0056,142.523,-1560.19,OK,-120.263,113.832,-1554.16,OK,-119.995,189.922,-1560.2,,370661557,Port:3,0,1773403292,618808412,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661557,Port:65535,0,1773403292,618808412,Missing,,,,,,,,,0
4,,370661560,Port:1,0,1773403292,668808412,Enabled,0.514221,0.361721,-0.654411,0.420097,-84.3491,31.6139,-1782.14,0.150873,4,OK,-84.2138,31.5057,-1782.14,OK,-125.455,4.68508,-1792.06,OK,-116.801,-49.3861,-1792.55,OK,-59.2367,-22.6352,-1779.03,,370661560,Port:2,0,1773403292,668808412,Enabled,0.933875,-0.0212046,0.055595,0.352615,-78.1784,142.468,-1560.17,0.137481,3,OK,-78.0067,142.517,-1560.19,OK,-120.264,113.831,-1554.13,OK,-119.994,189.919,-1560.2,,370661560,Port:3,0,1773403292,668808412,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661560,Port:65535,0,1773403292,668808412,Missing,,,,,,,,,0
4,,370661563,Port:1,0,1773403292,718808412,Enabled,0.514078,0.361353,-0.654472,0.420492,-84.5477,31.8317,-1782.76,0.160253,4,OK,-84.4049,31.7274,-1782.81,OK,-125.651,4.89231,-1792.65,OK,-116.999,-49.1818,-1793.18,OK,-59.4302,-22.4097,-1779.56,,370661563,Port:2,0,1773403292,718808412,Enabled,0.933898,-0.021102,0.0554225,0.352588,-78.1805,142.472,-1560.17,0.139541,3,OK,-78.0075,142.526,-1560.19,OK,-120.273,113.835,-1554.15,OK,-119.991,189.923,-1560.19,,370661563,Port:3,0,1773403292,718808412,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661563,Port:65535,0,1773403292,718808412,Missing,,,,,,,,,0
4,,370661566,Port:1,0,1773403292,768808412,Enabled,0.514667,0.362188,-0.653389,0.420737,-85.0749,31.7546,-1783.11,0.150911,4,OK,-84.9431,31.6445,-1783.13,OK,-126.151,4.74664,-1792.92,OK,-117.407,-49.3123,-1793.36,OK,-59.8694,-22.4513,-1779.95,,370661566,Port:2,0,1773403292,768808412,Enabled,0.933894,-0.0209486,0.0556158,0.352575,-78.1781,142.469,-1560.19,0.140368,3,OK,-78.0027,142.523,-1560.21,OK,-120.271,113.838,-1554.16,OK,-119.986,189.915,-1560.18,,370661566,Port:3,0,1773403292,768808412,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661566,Port:65535,0,1773403292,768808412,Missing,,,,,,,,,0
4,,370661569,Port:1,0,1773403292,818808414,Enabled,0.515218,0.362297,-0.652095,0.421975,-85.7817,32.0174,-1783.76,0.167705,4,OK,-85.6292,31.9083,-1783.8,OK,-126.835,4.89293,-1793.39,OK,-117.983,-49.1461,-1793.75,OK,-60.4644,-22.1167,-1780.44,,370661569,Port:2,0,1773403292,818808414,Enabled,0.93388,-0.0209484,0.055886,0.35257,-78.178,142.466,-1560.2,0.141393,3,OK,-78.002,142.52,-1560.22,OK,-120.268,113.832,-1554.14,OK,-119.986,189.918,-1560.18,,370661569,Port:3,0,1773403292,818808414,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661569,Port:65535,0,1773403292,818808414,Missing,,,,,,,,,0
4,,370661572,Port:1,0,1773403292,868808414,Enabled,0.515531,0.361362,-0.652757,0.421371,-86.1191,32.6872,-1785.21,0.155005,4,OK,-85.9801,32.5735,-1785.2,OK,-127.227,5.67361,-1794.94,OK,-118.521,-48.3832,-1795.18,OK,-60.9426,-21.5197,-1781.92,,370661572,Port:2,0,1773403292,868808414,Enabled,0.933865,-0.0209856,0.0559181,0.352603,-78.1782,142.472,-1560.19,0.14143,3,OK,-78.0055,142.53,-1560.21,OK,-120.266,113.83,-1554.13,OK,-119.987,189.922,-1560.18,,370661572,Port:3,0,1773403292,868808414,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661572,Port:65535,0,1773403292,868808414,Missing,,,,,,,,,0
4,,370661575,Port:1,0,1773403292,918808414,Enabled,0.512031,0.361557,-0.654828,0.422257,-86.8135,33.5788,-1786.86,0.152969,4,OK,-86.6637,33.4739,-1786.85,OK,-127.791,6.49632,-1796.97,OK,-118.933,-47.5588,-1797.35,OK,-61.5136,-20.5705,-1783.57,,370661575,Port:2,0,1773403292,918808414,Enabled,0.933877,-0.0209154,0.0558022,0.352595,-78.1792,142.469,-1560.19,0.140637,3,OK,-78.0044,142.523,-1560.21,OK,-120.268,113.833,-1554.14,OK,-119.99,189.92,-1560.17,,370661575,Port:3,0,1773403292,918808414,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661575,Port:65535,0,1773403292,918808414,Missing,,,,,,,,,0
4,,370661578,Port:1,0,1773403292,968808414,Enabled,0.509182,0.360668,-0.657839,0.421781,-87.2523,34.6617,-1788.25,0.156469,4,OK,-87.1103,34.5547,-1788.28,OK,-128.189,7.67915,-1798.72,OK,-119.409,-46.3747,-1799.35,OK,-62.0504,-19.5419,-1784.98,,370661578,Port:2,0,1773403292,968808414,Enabled,0.933862,-0.020832,0.0557642,0.352644,-78.1765,142.475,-1560.22,0.141431,3,OK,-77.9993,142.529,-1560.24,OK,-120.264,113.838,-1554.17,OK,-119.992,189.916,-1560.19,,370661578,Port:3,0,1773403292,968808414,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661578,Port:65535,0,1773403292,968808414,Missing,,,,,,,,,0
4,,370661581,Port:1,0,1773403293,18808414,Enabled,0.509743,0.362327,-0.655988,0.422564,-87.4227,35.0649,-1789.62,0.151224,4,OK,-87.282,34.9616,-1789.62,OK,-128.28,7.91121,-1799.95,OK,-119.301,-46.111,-1800.47,OK,-62.0163,-19.0379,-1786.4,,370661581,Port:2,0,1773403293,18808414,Enabled,0.933896,-0.0207925,0.0556445,0.352575,-78.1762,142.471,-1560.2,0.140512,3,OK,-77.9993,142.523,-1560.22,OK,-120.268,113.84,-1554.17,OK,-119.986,189.92,-1560.17,,370661581,Port:3,0,1773403293,18808414,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370661581,Port:65535,0,1773403293,18808414,Missing,,,,,,,,,0
