ToolCount,ToolInfo,Frame#,,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,365853238,3,Port:1,0,1773323153,968828407,50000000,Enabled,0.589615,0.415891,-0.637064,0.27118,-80.1568,153.865,-1699.34,0.218006,4,OK,-79.9896,153.729,-1699.5,OK,-126.154,133.943,-1701.53,OK,-126.414,80.3959,-1713.3,OK,-63.7913,97.7498,-1712,,365853238,Port:2,0,1773323153,968828407,Enabled,0.930165,0.0308352,0.0352196,0.364144,-87.4095,271.243,-1592.34,0.140921,3,OK,-87.2378,271.307,-1592.35,OK,-128.939,241.305,-1589.62,OK,-130.124,317.576,-1587.09,,365853238,Port:3,0,1773323153,968828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853238,Port:65535,0,1773323153,968828407,Missing,,,,,,,,,0
4,,365853241,3,Port:1,0,1773323154,18828407,50000000,Enabled,0.591228,0.414764,-0.635225,0.273695,-80.192,155.525,-1701.02,0.211565,4,OK,-80.0234,155.399,-1701.18,OK,-126.156,135.491,-1703.02,OK,-126.319,81.8543,-1714.41,OK,-63.7077,99.3509,-1713.33,,365853241,Port:2,0,1773323154,18828407,Enabled,0.930156,0.030969,0.0352029,0.364158,-87.4081,271.256,-1592.35,0.140158,3,OK,-87.239,271.324,-1592.36,OK,-128.938,241.318,-1589.64,OK,-130.12,317.581,-1587.09,,365853241,Port:3,0,1773323154,18828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853241,Port:65535,0,1773323154,18828407,Missing,,,,,,,,,0
4,,365853244,3,Port:1,0,1773323154,68828407,50000000,Enabled,0.590807,0.410575,-0.637455,0.27573,-80.1028,157.836,-1703.1,0.208509,4,OK,-79.9432,157.708,-1703.26,OK,-126.138,137.998,-1705.31,OK,-126.468,84.3028,-1716.38,OK,-63.7816,101.51,-1714.96,,365853244,Port:2,0,1773323154,68828407,Enabled,0.930172,0.0308904,0.0350791,0.364137,-87.408,271.248,-1592.35,0.13886,3,OK,-87.2403,271.314,-1592.37,OK,-128.938,241.311,-1589.65,OK,-130.12,317.579,-1587.1,,365853244,Port:3,0,1773323154,68828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853244,Port:65535,0,1773323154,68828407,Missing,,,,,,,,,0
4,,365853247,3,Port:1,0,1773323154,118828407,50000000,Enabled,0.59276,0.405101,-0.637632,0.279203,-79.8068,160.402,-1705.44,0.202432,4,OK,-79.6505,160.262,-1705.58,OK,-125.903,140.723,-1707.59,OK,-126.422,86.9012,-1717.96,OK,-63.6895,103.877,-1716.55,,365853247,Port:2,0,1773323154,118828407,Enabled,0.930111,0.030838,0.0357569,0.364232,-87.4057,271.251,-1592.36,0.141805,3,OK,-87.2355,271.32,-1592.38,OK,-128.927,241.301,-1589.59,OK,-130.123,317.575,-1587.09,,365853247,Port:3,0,1773323154,118828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853247,Port:65535,0,1773323154,118828407,Missing,,,,,,,,,0
4,,365853250,3,Port:1,0,1773323154,168828407,50000000,Enabled,0.595487,0.401549,-0.636099,0.282011,-79.3101,162.712,-1707.66,0.182335,4,OK,-79.1558,162.579,-1707.76,OK,-125.443,143.089,-1709.57,OK,-126.035,89.1448,-1719.3,OK,-63.2929,106.031,-1718.19,,365853250,Port:2,0,1773323154,168828407,Enabled,0.930165,0.0308141,0.0350918,0.36416,-87.41,271.251,-1592.32,0.139138,3,OK,-87.2401,271.315,-1592.33,OK,-128.938,241.314,-1589.61,OK,-130.127,317.582,-1587.08,,365853250,Port:3,0,1773323154,168828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853250,Port:65535,0,1773323154,168828407,Missing,,,,,,,,,0
4,,365853253,3,Port:1,0,1773323154,218828407,50000000,Enabled,0.594711,0.396425,-0.639058,0.284202,-78.4967,164.818,-1709.7,0.197289,4,OK,-78.3346,164.682,-1709.83,OK,-124.732,145.45,-1711.88,OK,-125.557,91.4458,-1721.31,OK,-62.7052,107.982,-1719.7,,365853253,Port:2,0,1773323154,218828407,Enabled,0.930185,0.0307905,0.0349067,0.364127,-87.4059,271.249,-1592.34,0.138339,3,OK,-87.2375,271.314,-1592.35,OK,-128.937,241.317,-1589.65,OK,-130.119,317.58,-1587.11,,365853253,Port:3,0,1773323154,218828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853253,Port:65535,0,1773323154,218828407,Missing,,,,,,,,,0
4,,365853256,3,Port:1,0,1773323154,268828407,50000000,Enabled,0.595618,0.389544,-0.640834,0.287795,-77.8158,167.112,-1712.22,0.19896,4,OK,-77.6598,166.978,-1712.35,OK,-124.145,148.006,-1714.51,OK,-125.26,93.909,-1723.29,OK,-62.3246,110.056,-1721.38,,365853256,Port:2,0,1773323154,268828407,Enabled,0.930156,0.0306677,0.0356097,0.364145,-87.4067,271.251,-1592.35,0.141787,3,OK,-87.2373,271.319,-1592.36,OK,-128.934,241.307,-1589.59,OK,-130.117,317.587,-1587.1,,365853256,Port:3,0,1773323154,268828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853256,Port:65535,0,1773323154,268828407,Missing,,,,,,,,,0
4,,365853259,3,Port:1,0,1773323154,318828407,50000000,Enabled,0.598699,0.380062,-0.642838,0.289606,-76.6674,169.969,-1715.47,0.192326,4,OK,-76.5038,169.835,-1715.58,OK,-123.243,151.444,-1717.75,OK,-125.014,97.2477,-1725.69,OK,-61.9081,112.578,-1723.72,,365853259,Port:2,0,1773323154,318828407,Enabled,0.930158,0.0306371,0.0353577,0.364168,-87.4073,271.25,-1592.36,0.143944,3,OK,-87.2326,271.317,-1592.37,OK,-128.938,241.308,-1589.62,OK,-130.125,317.583,-1587.12,,365853259,Port:3,0,1773323154,318828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853259,Port:65535,0,1773323154,318828407,Missing,,,,,,,,,0
4,,365853262,3,Port:1,0,1773323154,368828407,50000000,Enabled,0.604799,0.364172,-0.646082,0.290129,-74.9344,173.419,-1719.45,0.159839,4,OK,-74.7841,173.296,-1719.49,OK,-121.95,156.054,-1721.67,OK,-125.104,101.749,-1728.27,OK,-61.6064,115.482,-1726.37,,365853262,Port:2,0,1773323154,368828407,Enabled,0.930147,0.0310283,0.0352459,0.364174,-87.4036,271.252,-1592.36,0.142479,3,OK,-87.2309,271.32,-1592.37,OK,-128.934,241.311,-1589.64,OK,-130.118,317.576,-1587.08,,365853262,Port:3,0,1773323154,368828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853262,Port:65535,0,1773323154,368828407,Missing,,,,,,,,,0
4,,365853265,3,Port:1,0,1773323154,418828407,50000000,Enabled,0.611875,0.351479,-0.645564,0.292094,-74.0796,176.411,-1723.91,0.157633,4,OK,-73.936,176.287,-1723.96,OK,-121.401,159.842,-1725.68,OK,-125.516,105.459,-1731.02,OK,-61.7906,118.091,-1729.48,,365853265,Port:2,0,1773323154,418828407,Enabled,0.930168,0.0308617,0.0350642,0.364151,-87.4056,271.245,-1592.33,0.137512,3,OK,-87.2388,271.31,-1592.35,OK,-128.934,241.309,-1589.63,OK,-130.119,317.572,-1587.09,,365853265,Port:3,0,1773323154,418828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853265,Port:65535,0,1773323154,418828407,Missing,,,,,,,,,0
