ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,364689982,Port:1,0,1773303766,368824163,50000000,Enabled,0.565485,0.366287,-0.714581,0.188239,-84.0316,166.205,-1809.46,0.150894,4,OK,-83.9303,166.075,-1809.5,OK,-132.74,156.989,-1817.22,OK,-142.949,106.187,-1834.9,OK,-78.5142,109.377,-1827.57,,364689982,Port:2,0,1773303766,368824163,Enabled,0.916456,0.0220301,0.0389708,0.397623,-107.351,261.611,-1642.29,0.147677,3,OK,-107.182,261.694,-1642.3,OK,-146.589,228.75,-1639.09,OK,-153.341,304.786,-1637.77,,364689982,Port:3,0,1773303766,368824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689982,Port:65535,0,1773303766,368824163,Missing,,,,,,,,,0
4,,364689985,Port:1,0,1773303766,418824163,50000000,Enabled,0.565268,0.363567,-0.715711,0.189865,-84.2759,167.481,-1810.54,0.157259,4,OK,-84.1674,167.348,-1810.61,OK,-132.978,158.354,-1818.42,OK,-143.279,107.506,-1835.95,OK,-78.8445,110.565,-1828.34,,364689985,Port:2,0,1773303766,418824163,Enabled,0.916474,0.0218458,0.0386384,0.397624,-107.349,261.605,-1642.26,0.146283,3,OK,-107.179,261.684,-1642.27,OK,-146.589,228.749,-1639.09,OK,-153.345,304.78,-1637.78,,364689985,Port:3,0,1773303766,418824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689985,Port:65535,0,1773303766,418824163,Missing,,,,,,,,,0
4,,364689988,Port:1,0,1773303766,468824163,50000000,Enabled,0.56503,0.363765,-0.715009,0.192818,-85.3805,168.186,-1811.38,0.155628,4,OK,-85.2772,168.056,-1811.43,OK,-134.028,158.814,-1819.32,OK,-144.078,107.866,-1836.62,OK,-79.6881,111.217,-1828.95,,364689988,Port:2,0,1773303766,468824163,Enabled,0.916494,0.0221659,0.0384963,0.397576,-107.349,261.605,-1642.26,0.145599,3,OK,-107.181,261.686,-1642.28,OK,-146.594,228.754,-1639.12,OK,-153.336,304.779,-1637.76,,364689988,Port:3,0,1773303766,468824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689988,Port:65535,0,1773303766,468824163,Missing,,,,,,,,,0
4,,364689991,Port:1,0,1773303766,518824163,50000000,Enabled,0.56539,0.363706,-0.714129,0.195121,-85.732,168.405,-1811.69,0.162568,4,OK,-85.6246,168.261,-1811.71,OK,-134.355,158.86,-1819.63,OK,-144.242,107.806,-1836.67,OK,-79.8615,111.394,-1829.05,,364689991,Port:2,0,1773303766,518824163,Enabled,0.916498,0.0217699,0.0384479,0.397591,-107.353,261.605,-1642.25,0.144295,3,OK,-107.187,261.686,-1642.27,OK,-146.595,228.752,-1639.1,OK,-153.344,304.783,-1637.79,,364689991,Port:3,0,1773303766,518824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689991,Port:65535,0,1773303766,518824163,Missing,,,,,,,,,0
4,,364689994,Port:1,0,1773303766,568824163,50000000,Enabled,0.567465,0.363191,-0.712255,0.196898,-84.509,168.525,-1811.95,0.166709,4,OK,-84.402,168.372,-1811.98,OK,-133.146,158.848,-1819.66,OK,-143.002,107.692,-1836.4,OK,-78.5873,111.438,-1829.02,,364689994,Port:2,0,1773303766,568824163,Enabled,0.916481,0.0220691,0.0383904,0.397619,-107.35,261.608,-1642.26,0.149036,3,OK,-107.179,261.693,-1642.27,OK,-146.595,228.748,-1639.12,OK,-153.342,304.781,-1637.77,,364689994,Port:3,0,1773303766,568824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689994,Port:65535,0,1773303766,568824163,Missing,,,,,,,,,0
4,,364689997,Port:1,0,1773303766,618824163,50000000,Enabled,0.5682,0.359549,-0.714215,0.194345,-81.4849,168.521,-1812.2,0.153501,4,OK,-81.369,168.394,-1812.25,OK,-130.202,159.324,-1819.9,OK,-140.561,108.236,-1836.72,OK,-76.1188,111.364,-1829.22,,364689997,Port:2,0,1773303766,618824163,Enabled,0.916466,0.0219539,0.0391055,0.397592,-107.355,261.609,-1642.3,0.143737,3,OK,-107.188,261.687,-1642.32,OK,-146.591,228.755,-1639.09,OK,-153.344,304.787,-1637.79,,364689997,Port:3,0,1773303766,618824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689997,Port:65535,0,1773303766,618824163,Missing,,,,,,,,,0
4,,364690000,Port:1,0,1773303766,668824163,50000000,Enabled,0.570338,0.352802,-0.716562,0.191791,-78.0975,169.134,-1812.71,0.162193,4,OK,-77.994,168.989,-1812.75,OK,-126.942,160.623,-1820.41,OK,-138.054,109.652,-1836.95,OK,-73.5904,111.833,-1829.48,,364690000,Port:2,0,1773303766,668824163,Enabled,0.916484,0.0219508,0.0384238,0.397616,-107.349,261.605,-1642.25,0.147283,3,OK,-107.18,261.691,-1642.27,OK,-146.594,228.75,-1639.11,OK,-153.339,304.773,-1637.78,,364690000,Port:3,0,1773303766,668824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364690000,Port:65535,0,1773303766,668824163,Missing,,,,,,,,,0
4,,364690003,Port:1,0,1773303766,718824163,50000000,Enabled,0.570424,0.348743,-0.718786,0.190633,-76.6032,169.656,-1813.68,0.150696,4,OK,-76.4981,169.523,-1813.7,OK,-125.498,161.579,-1821.54,OK,-137.001,110.626,-1837.97,OK,-72.5445,112.266,-1830.33,,364690003,Port:2,0,1773303766,718824163,Enabled,0.916507,0.0220448,0.038284,0.397573,-107.35,261.602,-1642.25,0.141763,3,OK,-107.185,261.681,-1642.27,OK,-146.594,228.756,-1639.13,OK,-153.338,304.776,-1637.77,,364690003,Port:3,0,1773303766,718824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364690003,Port:65535,0,1773303766,718824163,Missing,,,,,,,,,0
4,,364690006,Port:1,0,1773303766,768824163,50000000,Enabled,0.572556,0.346286,-0.717235,0.194524,-76.4426,170.325,-1815.36,0.151731,4,OK,-76.3347,170.196,-1815.4,OK,-125.337,162.098,-1823.05,OK,-136.805,110.981,-1838.98,OK,-72.333,112.77,-1831.39,,364690006,Port:2,0,1773303766,768824163,Enabled,0.916516,0.0222716,0.0379143,0.397574,-107.349,261.607,-1642.24,0.146171,3,OK,-107.178,261.689,-1642.25,OK,-146.601,228.761,-1639.15,OK,-153.338,304.774,-1637.75,,364690006,Port:3,0,1773303766,768824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364690006,Port:65535,0,1773303766,768824163,Missing,,,,,,,,,0
4,,364690009,Port:1,0,1773303766,818824163,50000000,Enabled,0.572002,0.343209,-0.719048,0.194913,-75.2303,171.344,-1816.24,0.156618,4,OK,-75.1188,171.21,-1816.3,OK,-124.13,163.331,-1824.1,OK,-135.797,112.232,-1839.96,OK,-71.3359,113.731,-1832.07,,364690009,Port:2,0,1773303766,818824163,Enabled,0.916461,0.0221414,0.0386529,0.397637,-107.35,261.606,-1642.28,0.146197,3,OK,-107.182,261.688,-1642.3,OK,-146.588,228.745,-1639.12,OK,-153.342,304.778,-1637.77,,364690009,Port:3,0,1773303766,818824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364690009,Port:65535,0,1773303766,818824163,Missing,,,,,,,,,0
