ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,364659466,Port:1,0,1773303257,768824166,100000000,Enabled,0.523632,0.557378,-0.601878,0.229962,-125.484,117.037,-1762.55,0.1536,4,OK,-125.326,116.968,-1762.63,OK,-167.073,89.4446,-1767.96,OK,-158.374,41.3913,-1792.96,OK,-100.199,70.2157,-1790.09,,364659466,Port:2,0,1773303257,768824166,Enabled,0.916521,0.021739,0.0379575,0.397587,-107.319,261.627,-1642.28,0.147931,3,OK,-107.147,261.705,-1642.3,OK,-146.566,228.769,-1639.18,OK,-153.316,304.814,-1637.85,,364659466,Port:3,0,1773303257,768824166,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659466,Port:65535,0,1773303257,768824166,Missing,,,,,,,,,0
4,,364659472,Port:1,0,1773303257,868824166,100000000,Enabled,0.523136,0.557885,-0.602149,0.229149,-125.466,116.939,-1762.39,0.144796,4,OK,-125.321,116.899,-1762.49,OK,-167.059,89.3875,-1767.8,OK,-158.383,41.3513,-1793,OK,-100.2,70.146,-1790.03,,364659472,Port:2,0,1773303257,868824166,Enabled,0.916497,0.0219038,0.0380942,0.39762,-107.318,261.634,-1642.28,0.148662,3,OK,-107.147,261.717,-1642.3,OK,-146.566,228.776,-1639.17,OK,-153.314,304.807,-1637.83,,364659472,Port:3,0,1773303257,868824166,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659472,Port:65535,0,1773303257,868824166,Missing,,,,,,,,,0
4,,364659478,Port:1,0,1773303257,968824166,100000000,Enabled,0.523662,0.556998,-0.602553,0.229046,-125.168,117.074,-1762.54,0.14612,4,OK,-125.019,117.017,-1762.62,OK,-166.822,89.5877,-1767.96,OK,-158.224,41.5233,-1793.03,OK,-99.9827,70.2088,-1790.14,,364659478,Port:2,0,1773303257,968824166,Enabled,0.916499,0.021562,0.0380846,0.397635,-107.316,261.628,-1642.24,0.146406,3,OK,-107.147,261.707,-1642.26,OK,-146.56,228.77,-1639.12,OK,-153.317,304.806,-1637.83,,364659478,Port:3,0,1773303257,968824166,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659478,Port:65535,0,1773303257,968824166,Missing,,,,,,,,,0
4,,364659484,Port:1,0,1773303258,68824166,100000000,Enabled,0.524102,0.55633,-0.602264,0.230417,-125.523,117.227,-1762.68,0.160921,4,OK,-125.363,117.147,-1762.76,OK,-167.151,89.6779,-1768.06,OK,-158.493,41.5796,-1792.96,OK,-100.282,70.3186,-1790.1,,364659484,Port:2,0,1773303258,68824166,Enabled,0.916444,0.0221602,0.038801,0.397661,-107.327,261.63,-1642.34,0.141553,3,OK,-107.166,261.713,-1642.35,OK,-146.56,228.772,-1639.17,OK,-153.317,304.794,-1637.82,,364659484,Port:3,0,1773303258,68824166,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659484,Port:65535,0,1773303258,68824166,Missing,,,,,,,,,0
4,,364659490,Port:1,0,1773303258,168824166,99999996,Enabled,0.523903,0.555926,-0.602671,0.230781,-125.512,117.272,-1762.88,0.160945,4,OK,-125.361,117.204,-1763,OK,-167.13,89.7417,-1768.26,OK,-158.485,41.6186,-1793.21,OK,-100.26,70.3337,-1790.23,,364659490,Port:2,0,1773303258,168824166,Enabled,0.916505,0.0220477,0.0379049,0.397612,-107.322,261.632,-1642.27,0.139603,3,OK,-107.159,261.706,-1642.28,OK,-146.563,228.782,-1639.18,OK,-153.318,304.806,-1637.81,,364659490,Port:3,0,1773303258,168824166,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659490,Port:65535,0,1773303258,168824166,Missing,,,,,,,,,0
4,,364659496,Port:1,0,1773303258,268824162,150000000,Enabled,0.524775,0.55654,-0.601366,0.230722,-125.645,117.207,-1762.79,0.154481,4,OK,-125.497,117.133,-1762.87,OK,-167.248,89.6066,-1768.07,OK,-158.568,41.4767,-1792.93,OK,-100.369,70.2839,-1790.2,,364659496,Port:2,0,1773303258,268824162,Enabled,0.916471,0.02187,0.0383738,0.397655,-107.32,261.633,-1642.3,0.148803,3,OK,-107.147,261.715,-1642.31,OK,-146.562,228.772,-1639.16,OK,-153.319,304.804,-1637.83,,364659496,Port:3,0,1773303258,268824162,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659496,Port:65535,0,1773303258,268824162,Missing,,,,,,,,,0
4,,364659505,Port:1,0,1773303258,418824162,100000000,Enabled,0.525672,0.553584,-0.602282,0.233389,-125.245,118.482,-1763.72,0.14745,4,OK,-125.095,118.407,-1763.79,OK,-166.879,90.945,-1769.01,OK,-158.199,42.6062,-1793.47,OK,-99.9755,71.3169,-1790.71,,364659505,Port:2,0,1773303258,418824162,Enabled,0.916455,0.0223106,0.0387508,0.397631,-107.322,261.632,-1642.32,0.147284,3,OK,-107.152,261.716,-1642.34,OK,-146.563,228.774,-1639.16,OK,-153.312,304.801,-1637.79,,364659505,Port:3,0,1773303258,418824162,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659505,Port:65535,0,1773303258,418824162,Missing,,,,,,,,,0
4,,364659511,Port:1,0,1773303258,518824162,100000000,Enabled,0.528116,0.543987,-0.608317,0.234781,-123.552,121.89,-1765.97,0.156782,4,OK,-123.399,121.813,-1766.06,OK,-165.618,95.0252,-1771.31,OK,-157.598,46.2799,-1795.17,OK,-98.883,73.9768,-1792.14,,364659511,Port:2,0,1773303258,518824162,Enabled,0.916496,0.0220798,0.0382458,0.397599,-107.323,261.629,-1642.3,0.1477,3,OK,-107.152,261.708,-1642.31,OK,-146.569,228.772,-1639.18,OK,-153.317,304.806,-1637.81,,364659511,Port:3,0,1773303258,518824162,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659511,Port:65535,0,1773303258,518824162,Missing,,,,,,,,,0
4,,364659517,Port:1,0,1773303258,618824162,100000000,Enabled,0.529209,0.533235,-0.615821,0.237408,-122.173,125.326,-1768.58,0.169656,4,OK,-121.997,125.236,-1768.67,OK,-164.645,99.1743,-1774.22,OK,-157.242,50.0152,-1797.35,OK,-98.0741,76.6671,-1793.79,,364659517,Port:2,0,1773303258,618824162,Enabled,0.91647,0.0219806,0.0384853,0.397641,-107.325,261.633,-1642.31,0.147587,3,OK,-107.154,261.716,-1642.32,OK,-146.567,228.776,-1639.16,OK,-153.321,304.803,-1637.82,,364659517,Port:3,0,1773303258,618824162,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659517,Port:65535,0,1773303258,618824162,Missing,,,,,,,,,0
4,,364659523,Port:1,0,1773303258,718824162,150000000,Enabled,0.530334,0.530848,-0.61688,0.237499,-121.466,126.391,-1769.42,0.173723,4,OK,-121.299,126.311,-1769.55,OK,-164.056,100.421,-1774.96,OK,-156.843,51.1394,-1798.02,OK,-97.556,77.5241,-1794.42,,364659523,Port:2,0,1773303258,718824162,Enabled,0.916458,0.0219935,0.0387763,0.397639,-107.321,261.638,-1642.33,0.147085,3,OK,-107.15,261.717,-1642.35,OK,-146.559,228.779,-1639.15,OK,-153.317,304.811,-1637.83,,364659523,Port:3,0,1773303258,718824162,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364659523,Port:65535,0,1773303258,718824162,Missing,,,,,,,,,0
