ToolCount,ToolInfo,Frame#,,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,6574,16,Port:10,0,0,0,Enabled,0.615896,0.270104,-0.419956,-0.609388,-23.6599,69.8536,-92.2609,0.0932991,0
1,,6590,16,Port:10,0,0,0,Enabled,0.610637,0.288421,-0.423024,-0.604141,-27.8466,66.1354,-94.5254,0.0959268,0
1,,6606,16,Port:10,0,0,0,Enabled,0.607252,0.308663,-0.424939,-0.596153,-31.8495,61.1607,-97.541,0.0953422,0
1,,6622,16,Port:10,0,0,0,Enabled,0.607509,0.329272,-0.426829,-0.583378,-35.5537,55.4231,-100.888,0.0964244,0
1,,6638,16,Port:10,0,0,0,Enabled,0.608918,0.346926,-0.425276,-0.572715,-39.1442,49.5821,-103.506,0.0883789,0
1,,6662,24,Port:10,0,0,0,Enabled,0.610985,0.370161,-0.430327,-0.551813,-45.0815,41.8788,-108.033,0.0916811,0
1,,6678,16,Port:10,0,0,0,Enabled,0.605987,0.38757,-0.435448,-0.541253,-49.0818,37.8009,-110.941,0.0947675,0
1,,6694,16,Port:10,0,0,0,Enabled,0.601864,0.402011,-0.442546,-0.529435,-52.5056,34.469,-113.865,0.0997045,0
1,,6710,16,Port:10,0,0,0,Enabled,0.594243,0.418659,-0.445692,-0.522455,-55.1031,30.9762,-116.603,0.0990872,0
1,,6726,16,Port:10,0,0,0,Enabled,0.591136,0.433371,-0.44986,-0.510268,-57.549,27.2571,-120.552,0.0944692,0
1,,6742,16,Port:10,0,0,0,Enabled,0.585313,0.448253,-0.456244,-0.498317,-60.6285,23.8088,-125.55,0.0812038,0
1,,6750,8,Port:10,0,0,0,Enabled,0.58059,0.456696,-0.460176,-0.492527,-62.1954,22.1613,-128.667,0.0787629,0
1,,6774,24,Port:10,0,0,0,Enabled,0.569258,0.482133,-0.466735,-0.475029,-66.0472,16.9895,-138.276,0.0988246,0
1,,6782,8,Port:10,0,0,0,Enabled,0.566133,0.489372,-0.466863,-0.47122,-66.7865,15.4951,-140.954,0.0928616,0
1,,6798,16,Port:10,0,0,0,Enabled,0.560639,0.499724,-0.465286,-0.468476,-67.6922,12.933,-145.294,0.109541,0
1,,6814,16,Port:10,0,0,0,Enabled,0.55606,0.507962,-0.462152,-0.468175,-67.9911,10.4189,-148.558,0.120984,0
1,,6830,16,Port:10,0,0,0,Enabled,0.555041,0.516256,-0.460442,-0.461956,-68.3706,7.51318,-152.027,0.132685,0
1,,6846,16,Port:10,0,0,0,Enabled,0.554479,0.527864,-0.462991,-0.446714,-69.1234,4.19595,-157.176,0.1467,0
1,,6862,16,Port:10,0,0,0,Enabled,0.55024,0.540267,-0.468104,-0.43154,-69.777,0.880949,-163.148,0.163977,0
1,,6886,24,Port:10,0,0,0,Enabled,0.542956,0.560504,-0.471155,-0.411152,-70.1907,-4.58904,-171.799,0.175523,0
1,,6902,16,Port:10,0,0,0,Enabled,0.5373,0.572109,-0.471824,-0.401724,-69.9992,-7.48916,-176.661,0.184325,0
1,,6918,16,Port:10,0,0,0,Enabled,0.533637,0.580216,-0.473078,-0.393417,-69.9159,-9.71489,-180.371,0.191172,0
1,,6934,16,Port:10,0,0,0,Enabled,0.531999,0.586208,-0.47512,-0.384187,-70.1239,-11.6776,-183.231,0.191177,0
1,,6950,16,Port:10,0,0,0,Enabled,0.529593,0.591557,-0.476629,-0.377381,-70.5095,-13.098,-185.582,0.195857,0
1,,6966,16,Port:10,0,0,0,Enabled,0.527395,0.596121,-0.479709,-0.369288,-70.6266,-14.2069,-187.918,0.189025,0
1,,6982,16,Port:10,0,0,0,Enabled,0.52469,0.598368,-0.482101,-0.366381,-70.7507,-14.5497,-189.956,0.191994,0
1,,6990,8,Port:10,0,0,0,Enabled,0.523476,0.599265,-0.483821,-0.364378,-70.9587,-14.8746,-191.327,0.189462,0
1,,7006,16,Port:10,0,0,0,Enabled,0.519106,0.603389,-0.487405,-0.359008,-71.1539,-15.8727,-194.851,0.203767,0
1,,7022,16,Port:10,0,0,0,Enabled,0.515317,0.610484,-0.487403,-0.352414,-70.7346,-17.7984,-198.394,0.200813,0
1,,7038,16,Port:10,0,0,0,Enabled,0.511809,0.617245,-0.485251,-0.3487,-70.1732,-19.9038,-201.966,0.20013,0
1,,7054,16,Port:10,0,0,0,Enabled,0.508435,0.623097,-0.483127,-0.346169,-69.4669,-22.0367,-205.124,0.202458,0
1,,7070,16,Port:10,0,0,0,Enabled,0.504424,0.630085,-0.479422,-0.344536,-68.8921,-24.0069,-208.375,0.21243,0
1,,7086,16,Port:10,0,0,0,Enabled,0.502772,0.636353,-0.479695,-0.334914,-67.8819,-26.2979,-211.507,0.212564,0
1,,7102,16,Port:10,0,0,0,Enabled,0.500251,0.64289,-0.47813,-0.328381,-67.1148,-28.2369,-214.276,0.217113,0
1,,7126,24,Port:10,0,0,0,Enabled,0.499647,0.648262,-0.474883,-0.323413,-65.7614,-30.3926,-215.79,0.208828,0
1,,7142,16,Port:10,0,0,0,Enabled,0.501096,0.648785,-0.473154,-0.322657,-65.5375,-30.9971,-216.671,0.212926,0
1,,7158,16,Port:10,0,0,0,Enabled,0.501702,0.648365,-0.474491,-0.320587,-65.3564,-30.8952,-216.373,0.234154,0
1,,7174,16,Port:10,0,0,0,Enabled,0.50212,0.647043,-0.475278,-0.321437,-65.4628,-30.4413,-214.835,0.183376,0
1,,7190,16,Port:10,0,0,0,Enabled,0.504435,0.643895,-0.473974,-0.326027,-65.5339,-29.3956,-213.55,0.222515,0
1,,7206,16,Port:10,0,0,0,Enabled,0.508312,0.637868,-0.473642,-0.332276,-65.7596,-27.9807,-210.877,0.216707,0
1,,7222,16,Port:10,0,0,0,Enabled,0.512976,0.629577,-0.47261,-0.34224,-66.1591,-25.5663,-207.196,0.220952,0
1,,7238,16,Port:10,0,0,0,Enabled,0.517571,0.617811,-0.472314,-0.356861,-66.2583,-22.7738,-202.699,0.227906,0
1,,7246,8,Port:10,0,0,0,Enabled,0.520205,0.611597,-0.470985,-0.36539,-66.1075,-21.0596,-199.769,0.233725,0
1,,7262,16,Port:10,0,0,0,Enabled,0.530167,0.592916,-0.46673,-0.386699,-65.8982,-16.922,-192.679,0.222336,0
1,,7278,16,Port:10,0,0,0,Enabled,0.540122,0.575231,-0.464253,-0.402302,-65.0655,-12.7419,-184.324,0.202164,0
1,,7310,32,Port:10,0,0,0,Enabled,0.558587,0.540884,-0.460048,-0.428698,-64.0922,-4.39905,-170.248,0.167889,0
1,,7326,16,Port:10,0,0,0,Enabled,0.569047,0.52076,-0.458375,-0.441462,-63.286,0.0694625,-163.5,0.149638,0
1,,7342,16,Port:10,0,0,0,Enabled,0.576945,0.500439,-0.456374,-0.456529,-61.6261,4.72081,-156.756,0.107861,0
1,,7358,16,Port:10,0,0,0,Enabled,0.586575,0.478064,-0.451697,-0.472605,-59.301,9.46019,-149.81,0.0854019,0
1,,7366,8,Port:10,0,0,0,Enabled,0.593082,0.467135,-0.450008,-0.477005,-57.9598,11.5477,-146.679,0.0863989,0
1,,7382,16,Port:10,0,0,0,Enabled,0.607159,0.445117,-0.445861,-0.484188,-55.1307,15.633,-140.91,0.0949563,0
1,,7398,16,Port:10,0,0,0,Enabled,0.620456,0.428375,-0.441441,-0.486478,-52.6571,18.8566,-135.854,0.101322,0
