ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,455654,Port:10,0,0,0,Enabled,0.607483,0.380571,-0.224199,-0.660201,-40.2161,66.3654,-88.7632,0.0913227,0
1,,455670,Port:10,0,0,0,Enabled,0.607755,0.38018,-0.224698,-0.660007,-40.2524,66.5579,-88.5776,0.0900147,0
1,,455686,Port:10,0,0,0,Enabled,0.607457,0.379178,-0.225039,-0.66074,-40.115,66.8832,-88.2822,0.0910027,0
1,,455702,Port:10,0,0,0,Enabled,0.608415,0.378888,-0.224667,-0.660152,-39.8266,66.8622,-88.1012,0.0906171,0
1,,455718,Port:10,0,0,0,Enabled,0.608194,0.378378,-0.224379,-0.660745,-39.5683,66.9136,-87.971,0.0918707,0
1,,455734,Port:10,0,0,0,Enabled,0.608736,0.378123,-0.224513,-0.660347,-39.5233,66.9244,-87.9008,0.0909663,0
1,,455750,Port:10,0,0,0,Enabled,0.608274,0.377775,-0.224156,-0.661092,-39.347,67.1477,-87.6583,0.0911626,0
1,,455766,Port:10,0,0,0,Enabled,0.60943,0.377065,-0.224178,-0.660425,-39.0884,67.4229,-87.3562,0.0923871,0
1,,455782,Port:10,0,0,0,Enabled,0.609524,0.374526,-0.224512,-0.661669,-38.6061,68.2776,-86.6903,0.0935222,0
1,,455798,Port:10,0,0,0,Enabled,0.609553,0.372753,-0.225027,-0.662468,-38.2101,69.3363,-85.8296,0.091693,0
1,,455806,Port:10,0,0,0,Enabled,0.610453,0.372254,-0.225616,-0.661719,-38.0886,69.8631,-85.3979,0.094454,0
1,,455822,Port:10,0,0,0,Enabled,0.610892,0.369947,-0.226292,-0.662377,-37.7405,71.0172,-84.1104,0.0937019,0
1,,455838,Port:10,0,0,0,Enabled,0.611167,0.367405,-0.227417,-0.663152,-37.9079,72.0829,-82.9083,0.0921212,0
1,,455854,Port:10,0,0,0,Enabled,0.611673,0.36641,-0.230839,-0.662052,-38.7859,72.8868,-82.4644,0.0921432,0
1,,455870,Port:10,0,0,0,Enabled,0.612217,0.366684,-0.232668,-0.660756,-38.9325,73.1042,-82.4134,0.0912794,0
1,,455886,Port:10,0,0,0,Enabled,0.613616,0.366054,-0.233045,-0.659674,-37.6793,73.0681,-82.4248,0.0924727,0
1,,455902,Port:10,0,0,0,Enabled,0.613605,0.362801,-0.229273,-0.662796,-34.8245,73.2561,-82.123,0.0946974,0
1,,455918,Port:10,0,0,0,Enabled,0.614268,0.358287,-0.224017,-0.666425,-31.8731,73.5525,-81.1937,0.0947478,0
1,,455934,Port:10,0,0,0,Enabled,0.614045,0.35443,-0.221975,-0.669369,-30.5242,74.638,-80.4228,0.0954243,0
1,,455950,Port:10,0,0,0,Enabled,0.615877,0.35172,-0.224579,-0.668246,-30.2165,75.9837,-79.9429,0.095044,0
1,,455966,Port:10,0,0,0,Enabled,0.615559,0.349486,-0.223346,-0.670121,-28.8738,76.8167,-78.7838,0.0906838,0
1,,455974,Port:10,0,0,0,Enabled,0.615582,0.346842,-0.222637,-0.671708,-28.0638,76.9285,-78.4611,0.0913135,0
1,,455990,Port:10,0,0,0,Enabled,0.61546,0.346571,-0.221321,-0.672394,-27.0808,76.2688,-78.9303,0.0911833,0
1,,456006,Port:10,0,0,0,Enabled,0.61676,0.349941,-0.22083,-0.669613,-26.7937,75.3637,-80.1172,0.0952533,0
1,,456022,Port:10,0,0,0,Enabled,0.617034,0.351062,-0.223371,-0.66793,-26.6313,75.4435,-80.5566,0.0935018,0
1,,456038,Port:10,0,0,0,Enabled,0.61578,0.351668,-0.226033,-0.667873,-26.8627,74.6643,-81.4978,0.0942446,0
1,,456054,Port:10,0,0,0,Enabled,0.614989,0.358457,-0.225137,-0.665289,-27.5298,71.8402,-83.6112,0.0964895,0
1,,456070,Port:10,0,0,0,Enabled,0.617697,0.36493,-0.223618,-0.659751,-27.5584,69.5182,-85.2764,0.104101,0
1,,456078,Port:10,0,0,0,Enabled,0.617844,0.364571,-0.222843,-0.660075,-27.0363,69.4208,-85.3167,0.103936,0
1,,456094,Port:10,0,0,0,Enabled,0.615455,0.360244,-0.222229,-0.664871,-26.0496,70.3793,-84.3297,0.100157,0
1,,456110,Port:10,0,0,0,Enabled,0.616205,0.358946,-0.22117,-0.665232,-25.5408,70.6257,-83.3521,0.0991686,0
1,,456126,Port:10,0,0,0,Enabled,0.615969,0.357466,-0.222458,-0.665817,-25.8758,71.174,-82.6688,0.0996587,0
1,,456142,Port:10,0,0,0,Enabled,0.616324,0.356809,-0.223866,-0.665369,-26.4031,71.3056,-82.4851,0.0979661,0
1,,456158,Port:10,0,0,0,Enabled,0.616034,0.358224,-0.226011,-0.664151,-27.4515,71.1547,-82.7576,0.0977058,0
1,,456174,Port:10,0,0,0,Enabled,0.616696,0.359659,-0.228108,-0.662041,-28.5318,70.8216,-83.0361,0.0989482,0
1,,456190,Port:10,0,0,0,Enabled,0.616468,0.359629,-0.230473,-0.661451,-29.4643,71.0614,-82.8763,0.0982571,0
1,,456206,Port:10,0,0,0,Enabled,0.617738,0.359075,-0.233101,-0.659643,-30.242,71.5,-82.4548,0.0957208,0
1,,456214,Port:10,0,0,0,Enabled,0.618246,0.358609,-0.234569,-0.6589,-30.6813,71.8449,-82.1732,0.0977102,0
1,,456230,Port:10,0,0,0,Enabled,0.61781,0.357922,-0.236257,-0.659079,-31.3905,72.3705,-81.3867,0.0936484,0
1,,456246,Port:10,0,0,0,Enabled,0.617534,0.359174,-0.238071,-0.658002,-32.5468,72.1861,-80.8984,0.0949414,0
1,,456262,Port:10,0,0,0,Enabled,0.617678,0.361518,-0.23795,-0.656626,-33.323,71.169,-80.3965,0.0955534,0
