ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,
4,,365942455,Port:1,0,1773324640,918826765,50000000,Enabled,0.49501,0.470394,-0.724026,0.0973665,-105.033,118.902,-1727.12,0.166624,4,OK,-104.906,118.828,-1727.06,OK,-153.105,109.415,-1738.12,OK,-159.979,65.5503,-1770.2,OK,-95.863,70.5296,-1761.43,,365942455,Port:2,0,1773324640,918826765,Enabled,0.930165,0.0309027,0.0352214,0.36414,-87.485,271.274,-1592.31,0.142758,3,OK,-87.3117,271.341,-1592.32,OK,-129.018,241.337,-1589.59,OK,-130.198,317.603,-1587.05,,365942455,Port:3,0,1773324640,918826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942455,Port:65535,0,1773324640,918826765,Missing,,,,,,,,,3,OK,-40.9293,206.21,-2041.49,OK,-43.484,201.773,-2245.81,OK,-63.8164,219.267,-2294.97,,,,,,,,,,,,,,,,,,,,
4,,365942458,Port:1,0,1773324640,968826765,50000000,Enabled,0.492291,0.474759,-0.722843,0.0987454,-105.983,118.674,-1726.79,0.190615,4,OK,-105.886,118.571,-1726.72,OK,-153.929,108.79,-1738.01,OK,-160.257,65.0447,-1770.24,OK,-96.2568,70.5502,-1761.31,,365942458,Port:2,0,1773324640,968826765,Enabled,0.93017,0.0309174,0.0353502,0.364114,-87.4848,271.279,-1592.32,0.144397,3,OK,-87.3115,271.349,-1592.33,OK,-129.02,241.339,-1589.59,OK,-130.193,317.612,-1587.06,,365942458,Port:3,0,1773324640,968826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942458,Port:65535,0,1773324640,968826765,Missing,,,,,,,,,3,OK,-40.9228,206.207,-2041.52,OK,-43.4676,201.77,-2245.81,OK,-63.8277,219.272,-2295.2,,,,,,,,,,,,,,,,,,,,
4,,365942461,Port:1,0,1773324641,18826767,50000002,Enabled,0.492514,0.481247,-0.718224,0.0999233,-107.281,117.743,-1725.94,0.156551,4,OK,-107.168,117.675,-1725.88,OK,-155.129,107.206,-1736.91,OK,-160.994,63.4261,-1769.37,OK,-97.0065,69.873,-1760.67,,365942461,Port:2,0,1773324641,18826767,Enabled,0.930183,0.0307962,0.0351541,0.36411,-87.488,271.271,-1592.28,0.14342,3,OK,-87.314,271.339,-1592.29,OK,-129.024,241.336,-1589.57,OK,-130.199,317.604,-1587.04,,365942461,Port:3,0,1773324641,18826767,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942461,Port:65535,0,1773324641,18826767,Missing,,,,,,,,,3,OK,-40.9203,206.212,-2041.48,OK,-43.4707,201.775,-2245.81,OK,-63.8361,219.259,-2295.1,,,,,,,,,,,,,,,,,,,,
4,,365942464,Port:1,0,1773324641,68826767,50000000,Enabled,0.497365,0.487033,-0.710368,0.103939,-108.136,117.534,-1726.2,0.142695,4,OK,-108.025,117.466,-1726.17,OK,-155.902,106.022,-1736.49,OK,-161.333,61.946,-1768.66,OK,-97.3664,69.6454,-1760.73,,365942464,Port:2,0,1773324641,68826767,Enabled,0.93017,0.0307169,0.0351218,0.364153,-87.4866,271.274,-1592.28,0.141536,3,OK,-87.3175,271.342,-1592.29,OK,-129.017,241.329,-1589.57,OK,-130.201,317.612,-1587.05,,365942464,Port:3,0,1773324641,68826767,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942464,Port:65535,0,1773324641,68826767,Missing,,,,,,,,,3,OK,-40.9205,206.206,-2041.48,OK,-43.4699,201.768,-2245.79,OK,-63.8503,219.267,-2295.04,,,,,,,,,,,,,,,,,,,,
4,,365942467,Port:1,0,1773324641,118826767,50000000,Enabled,0.495023,0.488066,-0.711037,0.105695,-108.673,118.124,-1726.83,0.150797,4,OK,-108.541,118.075,-1726.76,OK,-156.345,106.476,-1737.42,OK,-161.483,62.3946,-1769.64,OK,-97.5742,70.3062,-1761.36,,365942467,Port:2,0,1773324641,118826767,Enabled,0.930147,0.0311481,0.0350977,0.364176,-87.4874,271.278,-1592.3,0.141836,3,OK,-87.3166,271.348,-1592.32,OK,-129.018,241.337,-1589.61,OK,-130.201,317.601,-1587.02,,365942467,Port:3,0,1773324641,118826767,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942467,Port:65535,0,1773324641,118826767,Missing,,,,,,,,,3,OK,-40.9183,206.215,-2041.56,OK,-43.4747,201.781,-2245.76,OK,-63.841,219.269,-2295.18,,,,,,,,,,,,,,,,,,,,
4,,365942470,Port:1,0,1773324641,168826766,49999999,Enabled,0.49286,0.489326,-0.711168,0.109037,-109.123,119.214,-1727.73,0.167405,4,OK,-109.022,119.14,-1727.66,OK,-156.663,107.309,-1738.63,OK,-161.328,63.1571,-1770.75,OK,-97.5564,71.4032,-1762.15,,365942470,Port:2,0,1773324641,168826766,Enabled,0.930174,0.0309762,0.0351902,0.364114,-87.4864,271.27,-1592.31,0.141399,3,OK,-87.3151,271.336,-1592.32,OK,-129.019,241.333,-1589.6,OK,-130.196,317.604,-1587.04,,365942470,Port:3,0,1773324641,168826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942470,Port:65535,0,1773324641,168826766,Missing,,,,,,,,,3,OK,-40.9542,206.194,-2041.39,OK,-43.4709,201.754,-2245.74,OK,-63.85,219.265,-2295.12,,,,,,,,,,,,,,,,,,,,
4,,365942473,Port:1,0,1773324641,218826767,50000001,Enabled,0.493364,0.488373,-0.711044,0.111805,-108.507,120.465,-1728.29,0.197963,4,OK,-108.399,120.382,-1728.19,OK,-156.024,108.429,-1739.26,OK,-160.534,64.1172,-1771.07,OK,-96.803,72.488,-1762.45,,365942473,Port:2,0,1773324641,218826767,Enabled,0.930146,0.030958,0.0354444,0.364161,-87.4852,271.28,-1592.31,0.139582,3,OK,-87.3174,271.348,-1592.32,OK,-129.012,241.339,-1589.57,OK,-130.196,317.606,-1587.03,,365942473,Port:3,0,1773324641,218826767,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942473,Port:65535,0,1773324641,218826767,Missing,,,,,,,,,3,OK,-40.9487,206.212,-2041.52,OK,-43.4793,201.775,-2245.84,OK,-63.8542,219.281,-2295.16,,,,,,,,,,,,,,,,,,,,
4,,365942476,Port:1,0,1773324641,268826767,50000000,Enabled,0.49566,0.486995,-0.710175,0.113175,-106.986,121.599,-1728.45,0.154736,4,OK,-106.867,121.526,-1728.41,OK,-154.524,109.498,-1739.17,OK,-159.161,65.0165,-1770.84,OK,-95.3745,73.435,-1762.3,,365942476,Port:2,0,1773324641,268826767,Enabled,0.930134,0.0311606,0.035597,0.36416,-87.4892,271.277,-1592.33,0.143433,3,OK,-87.3177,271.348,-1592.35,OK,-129.018,241.333,-1589.59,OK,-130.197,317.603,-1587.03,,365942476,Port:3,0,1773324641,268826767,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942476,Port:65535,0,1773324641,268826767,Missing,,,,,,,,,3,OK,-40.938,206.203,-2041.46,OK,-43.4738,201.766,-2245.74,OK,-63.8296,219.257,-2294.98,,,,,,,,,,,,,,,,,,,,
4,,365942479,Port:1,0,1773324641,318826767,50000000,Enabled,0.499769,0.488054,-0.706352,0.114459,-105.293,122.726,-1728.97,0.154916,4,OK,-105.176,122.668,-1728.91,OK,-152.85,110.304,-1739.21,OK,-157.515,65.6101,-1770.59,OK,-93.7019,74.4236,-1762.66,,365942479,Port:2,0,1773324641,318826767,Enabled,0.930096,0.0312374,0.036082,0.364203,-87.4908,271.28,-1592.37,0.145578,3,OK,-87.3157,271.351,-1592.38,OK,-129.015,241.331,-1589.57,OK,-130.202,317.601,-1587.03,,365942479,Port:3,0,1773324641,318826767,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942479,Port:65535,0,1773324641,318826767,Missing,,,,,,,,,3,OK,-40.9367,206.207,-2041.43,OK,-43.4693,201.769,-2245.74,OK,-63.8464,219.261,-2295.12,,,,,,,,,,,,,,,,,,,,
4,,365942482,Port:1,0,1773324641,368826767,50000000,Enabled,0.500629,0.487433,-0.705927,0.115961,-103.943,123.742,-1729.93,0.158634,4,OK,-103.825,123.684,-1729.88,OK,-151.5,111.253,-1740.13,OK,-156.111,66.4254,-1771.34,OK,-92.312,75.3195,-1763.46,,365942482,Port:2,0,1773324641,368826767,Enabled,0.930138,0.0309982,0.0356247,0.36416,-87.4876,271.278,-1592.34,0.144989,3,OK,-87.3137,271.349,-1592.35,OK,-129.018,241.333,-1589.58,OK,-130.198,317.605,-1587.05,,365942482,Port:3,0,1773324641,368826767,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942482,Port:65535,0,1773324641,368826767,Missing,,,,,,,,,3,OK,-40.9351,206.206,-2041.5,OK,-43.4615,201.768,-2245.78,OK,-63.8433,219.268,-2295.16,,,,,,,,,,,,,,,,,,,,
