#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,6502,Port:10,0,0,0,Enabled,0.604536,-0.239098,-0.109428,0.751926,-23.2926,89.2158,-138.695,0.237851,0
,,6518,Port:10,0,0,0,Enabled,0.604515,-0.2391,-0.10938,0.75195,-23.2978,89.2092,-138.7,0.238049,0
,,6526,Port:10,0,0,0,Enabled,0.604578,-0.239111,-0.109417,0.75189,-23.2944,89.208,-138.705,0.238385,0
,,6542,Port:10,0,0,0,Enabled,0.604604,-0.239115,-0.109421,0.751868,-23.2919,89.2033,-138.708,0.238598,0
,,6566,Port:10,0,0,0,Enabled,0.604655,-0.239129,-0.109451,0.751818,-23.2885,89.2045,-138.711,0.238331,0
,,6582,Port:10,0,0,0,Enabled,0.604678,-0.23906,-0.109542,0.751808,-23.2918,89.2183,-138.698,0.2391,0
,,6590,Port:10,0,0,0,Enabled,0.604703,-0.239071,-0.109577,0.75178,-23.2876,89.2201,-138.701,0.239217,0
,,6606,Port:10,0,0,0,Enabled,0.604686,-0.239105,-0.109484,0.751796,-23.2895,89.2108,-138.704,0.237819,0
,,6630,Port:10,0,0,0,Enabled,0.604694,-0.239123,-0.109515,0.75178,-23.2855,89.2133,-138.707,0.237646,0
,,6638,Port:10,0,0,0,Enabled,0.604681,-0.2391,-0.109475,0.751802,-23.2927,89.2122,-138.701,0.237192,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,14854,Port:10,0,0,0,Enabled,0.625554,-0.0122528,0.0336848,0.779357,47.488,115.918,-236.607,0.342265,0
,,14862,Port:10,0,0,0,Enabled,0.62576,-0.0121934,0.0335433,0.779199,47.5034,115.949,-236.634,0.343946,0
,,14870,Port:10,0,0,0,Enabled,0.62525,-0.0123358,0.0338881,0.779591,47.4801,115.883,-236.623,0.337919,0
,,14886,Port:10,0,0,0,Enabled,0.625201,-0.0123074,0.0337136,0.779638,47.4987,115.9,-236.624,0.339722,0
,,14902,Port:10,0,0,0,Enabled,0.625627,-0.0124988,0.0336771,0.779295,47.5461,115.895,-236.664,0.34334,0
,,14918,Port:10,0,0,0,Enabled,0.62547,-0.0124222,0.0336594,0.779423,47.5279,115.916,-236.649,0.341129,0
,,14942,Port:10,0,0,0,Enabled,0.624588,-0.0124997,0.0340854,0.78011,47.4852,115.846,-236.659,0.335814,0
