#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,21030,Port:10,0,0,0,Enabled,0.613153,-0.352636,-0.429022,0.561811,-58.8895,66.0126,-356.369,0.329115,0
,,21062,Port:10,0,0,0,Enabled,0.612771,-0.352961,-0.428586,0.562356,-58.9884,65.9206,-356.433,0.339737,0
,,21070,Port:10,0,0,0,Enabled,0.613034,-0.352782,-0.428579,0.562187,-59.047,65.8802,-356.389,0.333809,0
,,21086,Port:10,0,0,0,Enabled,0.61326,-0.352475,-0.428947,0.561852,-59.0248,66.0828,-356.472,0.332871,0
,,21102,Port:10,0,0,0,Enabled,0.613099,-0.352667,-0.428647,0.562137,-59.074,65.9715,-356.501,0.334816,0
,,21118,Port:10,0,0,0,Enabled,0.613361,-0.352349,-0.429243,0.561596,-58.9928,66.1346,-356.783,0.329389,0
,,21134,Port:10,0,0,0,Enabled,0.613599,-0.352265,-0.429022,0.561556,-59.0707,65.9842,-356.459,0.326611,0
,,21150,Port:10,0,0,0,Enabled,0.613684,-0.35202,-0.42937,0.561352,-59.085,66.1563,-356.732,0.324753,0
,,21166,Port:10,0,0,0,Enabled,0.6136,-0.35236,-0.428935,0.561563,-59.0478,65.9058,-356.396,0.324065,0
,,21182,Port:10,0,0,0,Enabled,0.613548,-0.352245,-0.429088,0.561574,-59.0847,66.0105,-356.665,0.32399,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,46086,Port:10,0,0,0,Enabled,0.68383,0.148772,-0.473268,0.535034,-25.2811,0.28146,-184.418,0.219298,0
,,46094,Port:10,0,0,0,Enabled,0.683843,0.148722,-0.473265,0.535034,-25.2787,0.276322,-184.404,0.219634,0
,,46102,Port:10,0,0,0,Enabled,0.683805,0.148685,-0.473307,0.535055,-25.2657,0.27831,-184.415,0.219762,0
,,46110,Port:10,0,0,0,Enabled,0.683788,0.148721,-0.473314,0.535061,-25.2688,0.284495,-184.423,0.2201,0
,,46126,Port:10,0,0,0,Enabled,0.683818,0.14871,-0.473292,0.535045,-25.2689,0.276379,-184.408,0.219809,0
,,46142,Port:10,0,0,0,Enabled,0.683766,0.1487,-0.473333,0.535078,-25.2578,0.279558,-184.435,0.218991,0
,,46158,Port:10,0,0,0,Enabled,0.683766,0.148651,-0.473341,0.535085,-25.2601,0.279843,-184.418,0.219736,0
,,46182,Port:10,0,0,0,Enabled,0.683757,0.148677,-0.473322,0.535106,-25.2703,0.279257,-184.421,0.22043,0
,,46190,Port:10,0,0,0,Enabled,0.683747,0.148624,-0.473345,0.535113,-25.2636,0.281645,-184.417,0.220958,0
,,46206,Port:10,0,0,0,Enabled,0.683692,0.148624,-0.473361,0.535169,-25.2653,0.282706,-184.439,0.221381,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,58430,Port:10,0,0,0,Enabled,0.248994,-0.721851,-0.513754,0.39114,-52.5829,72.2542,-267.51,0.384883,0
,,58438,Port:10,0,0,0,Enabled,0.248928,-0.721905,-0.513713,0.391137,-52.5657,72.247,-267.467,0.381985,0
,,58446,Port:10,0,0,0,Enabled,0.248948,-0.721809,-0.513784,0.391207,-52.5904,72.215,-267.467,0.382056,0
,,58462,Port:10,0,0,0,Enabled,0.249063,-0.721777,-0.513773,0.391207,-52.6112,72.2559,-267.518,0.38544,0
,,58470,Port:10,0,0,0,Enabled,0.248989,-0.72177,-0.513883,0.391123,-52.5807,72.2252,-267.483,0.386125,0
,,58486,Port:10,0,0,0,Enabled,0.249069,-0.721795,-0.513832,0.391094,-52.5717,72.2414,-267.513,0.384558,0
,,58510,Port:10,0,0,0,Enabled,0.24906,-0.721622,-0.51404,0.391143,-52.5763,72.1739,-267.441,0.379265,0
,,58518,Port:10,0,0,0,Enabled,0.249281,-0.721477,-0.514191,0.391072,-52.5882,72.2214,-267.433,0.379977,0
,,58534,Port:10,0,0,0,Enabled,0.248933,-0.721722,-0.513865,0.391271,-52.604,72.173,-267.458,0.379751,0
,,58550,Port:10,0,0,0,Enabled,0.248951,-0.721876,-0.513639,0.391272,-52.615,72.2277,-267.463,0.374674,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,64966,Port:10,0,0,0,Enabled,0.482004,-0.201632,-0.483468,0.702336,-74.2628,74.6056,-259.825,0.310634,0
,,64974,Port:10,0,0,0,Enabled,0.481996,-0.201583,-0.483451,0.702367,-74.2825,74.6076,-259.78,0.31058,0
,,64990,Port:10,0,0,0,Enabled,0.48193,-0.201657,-0.483539,0.70233,-74.2627,74.6484,-259.848,0.309393,0
,,65006,Port:10,0,0,0,Enabled,0.481958,-0.201639,-0.483454,0.702375,-74.2778,74.6164,-259.787,0.309947,0
,,65022,Port:10,0,0,0,Enabled,0.482,-0.201554,-0.483552,0.702302,-74.2882,74.6455,-259.848,0.309397,0
,,65038,Port:10,0,0,0,Enabled,0.48185,-0.20172,-0.483377,0.702479,-74.2954,74.5966,-259.793,0.306952,0
,,65054,Port:10,0,0,0,Enabled,0.481874,-0.201668,-0.483437,0.702436,-74.2898,74.6027,-259.823,0.307551,0
,,65070,Port:10,0,0,0,Enabled,0.481872,-0.201755,-0.483416,0.702427,-74.2656,74.5888,-259.813,0.307291,0
,,65086,Port:10,0,0,0,Enabled,0.481882,-0.201665,-0.483351,0.70249,-74.2994,74.5516,-259.792,0.307943,0
,,65102,Port:10,0,0,0,Enabled,0.481762,-0.20188,-0.483352,0.702511,-74.254,74.5657,-259.843,0.308155,0
