#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,29934,Port:10,0,0,0,Enabled,0.185737,-0.730438,-0.534946,0.381832,-70.8095,75.3439,-149.946,0.0735201,0
,,29942,Port:10,0,0,0,Enabled,0.185676,-0.730521,-0.534826,0.381869,-70.8111,75.343,-149.942,0.0738989,0
,,29958,Port:10,0,0,0,Enabled,0.185568,-0.730642,-0.534716,0.381845,-70.8017,75.3441,-149.946,0.0735013,0
,,29974,Port:10,0,0,0,Enabled,0.185707,-0.730522,-0.534841,0.381832,-70.8063,75.3517,-149.94,0.0736324,0
,,29990,Port:10,0,0,0,Enabled,0.185705,-0.730536,-0.534835,0.381816,-70.8101,75.3575,-149.95,0.0729282,0
,,30006,Port:10,0,0,0,Enabled,0.18568,-0.730554,-0.534772,0.381881,-70.816,75.3514,-149.948,0.0731393,0
,,30022,Port:10,0,0,0,Enabled,0.185474,-0.730742,-0.534605,0.381855,-70.7949,75.3417,-149.95,0.0725066,0
,,30038,Port:10,0,0,0,Enabled,0.185458,-0.730739,-0.534565,0.381924,-70.8032,75.3365,-149.947,0.0729015,0
,,30054,Port:10,0,0,0,Enabled,0.185546,-0.730669,-0.534675,0.381862,-70.8009,75.3426,-149.95,0.0729969,0
,,30070,Port:10,0,0,0,Enabled,0.185631,-0.730597,-0.534713,0.381906,-70.8139,75.3472,-149.943,0.0736635,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,32294,Port:10,0,0,0,Enabled,0.185751,-0.730472,-0.534932,0.381779,-70.8021,75.356,-149.95,0.0735971,0
,,32302,Port:10,0,0,0,Enabled,0.185687,-0.730551,-0.53482,0.381814,-70.8015,75.3541,-149.945,0.0738614,0
,,32310,Port:10,0,0,0,Enabled,0.185846,-0.730395,-0.534961,0.381839,-70.8195,75.3621,-149.943,0.0740064,0
,,32326,Port:10,0,0,0,Enabled,0.185858,-0.730415,-0.534979,0.381769,-70.812,75.3697,-149.945,0.0744118,0
,,32342,Port:10,0,0,0,Enabled,0.185638,-0.73056,-0.534785,0.381872,-70.807,75.3473,-149.94,0.0741351,0
,,32358,Port:10,0,0,0,Enabled,0.185625,-0.730581,-0.534793,0.381826,-70.801,75.3486,-149.948,0.0739112,0
,,32374,Port:10,0,0,0,Enabled,0.185575,-0.730619,-0.534717,0.381884,-70.8043,75.3441,-149.945,0.0738004,0
,,32390,Port:10,0,0,0,Enabled,0.185557,-0.730706,-0.534635,0.381843,-70.8014,75.3526,-149.949,0.0737289,0
,,32406,Port:10,0,0,0,Enabled,0.185688,-0.730485,-0.53487,0.381872,-70.8107,75.3435,-149.943,0.0742482,0
